data_cohort,comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
FROZEN,GEN10_REC_HYBRID_vs_GEN9_SHAPE_RECOMPOSED,0.0006805192637967,-0.0047576402129296,0.0055645877712191,-0.004683436364316,0.0056395973041045,0.0005667729091737,152,71,4,5
FROZEN,GEN10_REC_HYBRID_vs_REC_ecfp_plus_recovered,0.0139547173516614,0.000237298927908,0.0274405422802983,0.001561477984817,0.0293694812054696,0.0089565807417176,152,76,5,5
FROZEN,GEN10_REC_ALL_vs_GEN9_SHAPE_RECOMPOSED,0.000201578360328,-0.0054080897769022,0.0058614095901536,-0.0048097089668568,0.0068451084682542,-0.0003386137884697,152,65,2,5
FROZEN,GEN10_REC_ALL_vs_REC_ecfp_plus_recovered,0.0134757764481927,-0.0005056761844251,0.0275787905655599,0.00117227258514,0.0302036092498252,0.0080511940440741,152,71,5,5
FROZEN,GEN10_REC_RANK_vs_GEN9_SHAPE_RECOMPOSED,0.0003571487643032,-0.0030328901893757,0.00502757706984,-0.0026329119063654,0.0059207520369788,-0.0002668481820601,152,66,3,5
FROZEN,GEN10_REC_RANK_vs_REC_ecfp_plus_recovered,0.0136313468521679,0.0016941788003866,0.0266583472801616,0.0036589259744567,0.0295569572885089,0.0081229596504837,152,75,5,5
FROZEN,GEN10_REC_GEN9_PLUS_vs_GEN9_SHAPE_RECOMPOSED,0.0007477684954063,-0.0009966616454412,0.0023125825136775,-0.0012637397683956,0.0021282820321983,0.0009773277087178,152,73,5,5
FROZEN,GEN10_REC_GEN9_PLUS_vs_REC_ecfp_plus_recovered,0.014021966583271,0.0031828134749212,0.0246203032007571,0.0043160444522653,0.0260740697252687,0.0093671355412617,152,82,5,5
FROZEN,GEN10_LEVEL_SHAPE_vs_GEN9_SHAPE_RECOMPOSED,-0.0161277996675937,-0.0397033687169112,0.0051567652289251,-0.0531025799090214,-9.594216618254273e-05,-0.0090024589987893,152,66,0,5
FROZEN,GEN10_LEVEL_SHAPE_vs_REC_ecfp_plus_recovered,-0.002853601579729,-0.0276840184035549,0.0201905975154713,-0.0347430229258127,0.0166230142672953,-0.0006126511662454,152,81,2,5
