arm,family,n_comparisons,n_ligands,shift_median__median,shift_median__p90,shift_p95__median,shift_p95__p95,shift_max__max,shape_shift_median__median,level_shift__median
FROZEN,CONTEXT,1685,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,DECOY,1800,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,DENSITY,2665,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,EXTEND,5400,66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,NESTED,8425,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,PERMUTE,1685,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FROZEN,SPARSE,6262,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,CONTEXT,1685,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,DECOY,1800,66,0.090064777640328,0.2439116388917254,0.2163217647358458,0.5418260254573641,1.0470891186494184,0.0615828436572857,0.0675671718323088
REL_MONOLITH,DENSITY,2665,66,0.0077652398559067,0.048267651869408,0.0152516250113097,0.3666107176298764,0.8871159529445203,0.0040999571760226,0.0070725468810573
REL_MONOLITH,EXTEND,5400,66,0.0598050797667322,0.1922879559621957,0.1435917820282712,0.4826149124075208,1.129717018019479,0.0395602051255109,0.064890681529943
REL_MONOLITH,NESTED,8425,130,0.028865070028918,0.1311407314354721,0.0805202377730593,0.3552138825134995,0.8966636275678346,0.0221673647092245,0.0314431860154706
REL_MONOLITH,PERMUTE,1685,130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,SPARSE,6262,130,0.0186405948676808,0.2717192567340525,0.0307077954166829,0.5637686841732424,1.588884837754563,0.0081685610519066,0.0162259308172637
SHAPE_RECOMPOSED,CONTEXT,1685,130,0.0,8.326672684688674e-17,0.0,2.220446049250313e-16,8.881784197001252e-16,0.0,0.0
SHAPE_RECOMPOSED,DECOY,1800,66,0.1174334821508416,0.2814361003933939,0.3199190963653256,0.6808654493569899,1.4144772409020714,0.1207547605412186,0.0238399565611884
SHAPE_RECOMPOSED,DENSITY,2665,66,0.018493204836684,0.1067562545364325,0.0282049633501312,0.6234523316227091,1.4632403324087746,0.0033909664506851,0.0183472767393831
SHAPE_RECOMPOSED,EXTEND,5400,66,0.0726602370819332,0.2222473311582735,0.2167676660308319,0.5899350327539546,1.856138109658041,0.0756345296446636,0.0533694017012451
SHAPE_RECOMPOSED,NESTED,8425,130,0.0455116043635808,0.1662385572680029,0.1283768839424638,0.51814396000065,1.6476475018888428,0.0418827488881299,0.0325898288753161
SHAPE_RECOMPOSED,PERMUTE,1685,130,0.0,2.1649348980190742e-16,4.4408920985006246e-17,3.996802888650563e-16,8.881784197001252e-16,0.0,0.0
SHAPE_RECOMPOSED,SPARSE,6262,130,0.0419545980254695,0.3460456260589035,0.0573153336527633,0.6409404634076272,1.6487236176074156,0.0094749912040825,0.029311506322011
