policy,mae,regret,gap_recovered,rank_percentile,frac_harmed,matches_surrogate,n_ligands
ORACLE,0.4627743512719403,0.0,1.0,0.0002707268802235,0.0770979020979021,1.0,143
SURROGATE_ORACLE,0.4803594364311983,0.0175850851592581,0.3464415651784922,0.1175482677762529,0.1216783216783216,1.0,143
MEDOID,0.6285530451945075,0.1657786939225672,-7.704729688420204,0.4361051714753882,0.2849650349650349,0.2431818181818181,143
CENTRAL,0.6316888751283979,0.1689145238564575,-5.429663455147398,0.4334115304809247,0.2947552447552447,0.2486013986013985,143
LEARNED_BLEND[geometry],0.6342363005608818,0.1714619492889414,-5.96229617996322,0.4354839454100057,0.2993006993006993,0.2465034965034965,143
LEARNED_BLEND[geometry+prediction],0.6382799518105224,0.1755056005385822,-5.585477236774701,0.4428039868430526,0.3069930069930069,0.2410839160839161,143
LEARNED_SCALAR[geometry],0.6404111968719249,0.1776368455999846,-23.22446732824185,0.433243513492156,0.3066433566433567,0.226048951048951,143
MEDIAN_PREDICTION,0.6446736803996217,0.1818993291276814,-7.672366917108187,0.4354228762889002,0.2958041958041957,0.2522727272727273,143
LEARNED_RANK[geometry],0.6478343255021222,0.1850599742301818,-9.881616904273022,0.4398941573282588,0.3103146853146853,0.2138111888111888,143
MAX_CONDITION_COVERAGE,0.6526723949884959,0.1898980437165557,-8.505374863170823,0.4416905487536818,0.3062937062937063,0.2463286713286713,143
LEARNED_RANK[geometry+prediction],0.6536546814697726,0.1908803301978323,-12.205863751320818,0.4544867090077371,0.3237762237762238,0.2027972027972027,143
MIN_GP_DESIGN_VAR,0.6556166444770248,0.1928422932050846,-12.862818579524196,0.4750236891916597,0.311013986013986,0.2033216783216783,143
LEARNED_SCALAR[geometry+prediction],0.665206737914386,0.2024323866424457,-11.555131409790684,0.4694637952609197,0.3234265734265734,0.1912587412587412,143
MID_ACID,0.6722563340080147,0.2094819827360743,-7.404817276491838,0.4977102664323209,0.3099650349650349,0.1776223776223776,143
MAX_PREDICTION,0.6789145447164916,0.2161401934445513,-19.55186691496139,0.5174210602917891,0.3730769230769231,0.1491258741258741,143
MAX_ENSEMBLE_SD,0.687511078419324,0.2247367271473838,-6.50964206696276,0.5170025601695672,0.3433566433566433,0.1655594405594405,143
RANDOM,0.6916592833782195,0.2288849321062792,-9.53068079768768,0.4912083343317119,0.3419580419580419,0.2052447552447552,143
MIN_ENSEMBLE_SD,0.6950010982088084,0.2322267469368681,-8.556448371330346,0.5001959461951028,0.3326923076923077,0.1907342657342657,143
FARTHEST_FROM_EXISTING,0.7540045111864573,0.291230159914517,-12.94407412977934,0.553925942176038,0.3966783216783217,0.147027972027972,143
MIN_PREDICTION,0.781435847326756,0.3186614960548157,-17.552905070311816,0.5981062129836939,0.377097902097902,0.1351398601398601,143
