model,cohort,n_rows,n_ligands,row_mae,ligand_macro_mae,cluster_macro_mae,offset_mae,ligand_shape_mae,curve_shape_mae
GEN9_REL_MONOLITH,A_CONSISTENT,23455,145,1.137704046009686,0.9627498521680236,0.9431837115271836,0.7690048900507213,0.5183917170952806,0.4483869288879901
GEN9_REL_MONOLITH,B_MISMATCH,1355,15,1.120006900785362,1.0324330587638888,1.0324330587638888,0.6962718098093944,0.6314342165933405,0.4706991772302876
GEN9_REL_MONOLITH,C_DUPLICATE,1090,3,1.2857859029037717,1.2947083958257803,1.2947083958257803,1.0641542710830427,0.798555490561904,0.5390543159560812
GEN9_REL_MONOLITH,D_TWE24,30,1,4.089655695495122,4.089655695495122,4.089655695495122,4.089655695495122,0.4878220971750736,0.4619026482381381
GEN9_REL_MONOLITH,E_UNCERTAIN,310,3,1.4160150685772377,1.4922921875131685,1.4922921875131685,1.185233972128889,0.9904461234576412,0.5904489473563972
GEN9_SHAPE_RECOMPOSED,A_CONSISTENT,23455,145,1.1069687733379128,0.946892262031616,0.9289099058997832,0.7574817194655113,0.515907663893882,0.4273579273500866
GEN9_SHAPE_RECOMPOSED,B_MISMATCH,1355,15,1.1254036103555636,1.0000961360721805,1.00009613607218,0.6832389439725578,0.6268863831673966,0.4561678214960306
GEN9_SHAPE_RECOMPOSED,C_DUPLICATE,1090,3,1.2893656429498384,1.3018344777098017,1.3018344777098017,1.0775643862341098,0.8075260669851604,0.536507710277066
GEN9_SHAPE_RECOMPOSED,D_TWE24,30,1,4.097533983469158,4.097533983469158,4.097533983469158,4.097533983469158,0.5102685591364607,0.4988037261065708
GEN9_SHAPE_RECOMPOSED,E_UNCERTAIN,310,3,1.3468630841011195,1.4054879462063543,1.4054879462063543,1.19826699093018,0.9459519961139023,0.5291893058071682
REC_ecfp_plus_recovered,A_CONSISTENT,23455,145,1.146699820083528,0.957767422792076,0.938218152569835,0.7574817194655113,0.5320801176492791,0.4836007478798077
REC_ecfp_plus_recovered,B_MISMATCH,1355,15,1.1425747096134058,1.0298033461770566,1.0298033461770566,0.6832389439725578,0.6576097047729711,0.4856793272637277
REC_ecfp_plus_recovered,C_DUPLICATE,1090,3,1.2908230721360436,1.303500288162579,1.303500288162579,1.0775643862341098,0.8266460346493094,0.547933394153374
REC_ecfp_plus_recovered,D_TWE24,30,1,4.097533983469158,4.097533983469158,4.097533983469158,4.097533983469158,0.4559710295851137,0.4362653376227703
REC_ecfp_plus_recovered,E_UNCERTAIN,310,3,1.4127112194840254,1.502555204460552,1.5025552044605524,1.19826699093018,0.996416165631858,0.615073240821693
