global_model,adapter,1,2,3,5
GEN9_REL_MONOLITH,NEAREST_OBSERVED,0.7538848498932323,0.6178749916954337,0.5392852737342606,0.5191199199517904
GEN9_REL_MONOLITH,NO_MODEL,0.7538848498932323,0.7281122188801588,0.7172105407461676,0.7615849126435005
GEN9_REL_MONOLITH,OFFSET_K1,0.63015227199747,0.603170527711453,0.5898499008297534,0.6088239481264252
GEN9_REL_MONOLITH,OFFSET_K2,0.63015227199747,0.575608589276991,0.5497599453379991,0.5427997347578525
GEN9_REL_MONOLITH,OFFSET_K3,0.63015227199747,0.5409267803406813,0.4886912190707198,0.4779285849047324
GEN9_REL_MONOLITH,SERIES_FIXED,0.63015227199747,0.5389035137472532,0.4841494344718171,0.4637572279166046
GEN9_REL_MONOLITH,SERIES_INNER,0.63015227199747,0.5359411009801194,0.5233935639335782,0.4499789470991426
GEN9_REL_MONOLITH,SERIES_MAP,0.63015227199747,0.5958602245097017,0.5728722701735506,0.5734596996274665
GEN9_REL_MONOLITH,SERIES_MAP_LEVELONLY,0.63015227199747,0.5970945797870009,0.575035306618193,0.5768449069899555
GEN9_REL_MONOLITH,SERIES_MAP_NOSERIES,0.63015227199747,0.6015498012014285,0.5871074842312133,0.6045553218157254
GEN9_REL_MONOLITH,SERIES_ML,0.63015227199747,0.5132178461485684,0.4557087917198228,0.434126068576583
GEN9_REL_MONOLITH,SERIES_ML_NOSERIES,0.63015227199747,0.5234331042667755,0.4693578513604766,0.4618830916205177
GEN9_REL_MONOLITH,SLOPE_L_s1_K3,0.6199394394879013,0.5308014706299407,0.4794940025385192,0.467744264481011
GEN9_REL_MONOLITH,ZERO_SHOT,0.9959303212615686,0.9959303212615686,1.000224661023479,1.0651898881419934
GEN9_SHAPE_RECOMPOSED,NEAREST_OBSERVED,0.7538848498932323,0.6178749916954337,0.5392852737342606,0.5191199199517904
GEN9_SHAPE_RECOMPOSED,NO_MODEL,0.7538848498932323,0.7281122188801588,0.7172105407461676,0.7615849126435005
GEN9_SHAPE_RECOMPOSED,OFFSET_K1,0.6310880648872855,0.5993774425151784,0.584398361469161,0.5943048948700314
GEN9_SHAPE_RECOMPOSED,OFFSET_K2,0.6310880648872855,0.5740844007108284,0.5456680121010898,0.5335982120096423
GEN9_SHAPE_RECOMPOSED,OFFSET_K3,0.6310880648872855,0.5447314212909511,0.4915409642845572,0.4788515075255072
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,0.6310880648872855,0.5424892789359403,0.486789008363596,0.4642681943453942
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,0.6310880648872855,0.534950108283962,0.5231015888468116,0.4650778592530279
GEN9_SHAPE_RECOMPOSED,SERIES_MAP,0.6310880648872855,0.5914812280659696,0.5660488981861401,0.5572251343914435
GEN9_SHAPE_RECOMPOSED,SERIES_MAP_LEVELONLY,0.6310880648872855,0.5925294425490847,0.5679683054188986,0.560222234562002
GEN9_SHAPE_RECOMPOSED,SERIES_MAP_NOSERIES,0.6310880648872855,0.5979829732337862,0.5819264269002284,0.5904425917376088
GEN9_SHAPE_RECOMPOSED,SERIES_ML,0.6310880648872855,0.5192871207961747,0.4608523855099508,0.4405418081356232
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,0.6310880648872855,0.5294883075947662,0.4744880419819539,0.4670382536511963
GEN9_SHAPE_RECOMPOSED,SLOPE_L_s1_K3,0.6231061046191176,0.536637891601519,0.4846247537035022,0.4714168201788862
GEN9_SHAPE_RECOMPOSED,ZERO_SHOT,0.9804791350377098,0.9804791350377098,0.98417750081158,1.0357994416277343
