axis,candidate,reference,metric,doi,n_curves,n_ligands,publication_mean_gain,share_of_summed_gain,effect_without,effect_full,curves_improved_without
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,doi:10.1016/j.aca.2004.09.023,12,1,0.4270934634520361,0.1690275443111898,0.1761965010299613,0.1956207819916703,0.902097902097902
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1080/01496395.2016.1274760, https://doi.org/10.1021/jacs.5c19738",18,1,0.1558527691772083,0.0925210045426532,0.2008457763760521,0.1956207819916703,0.8978102189781022
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1007/s10967-020-07242-1, https://doi.org/10.1021/jacs.5c19738",14,1,0.1546474403512485,0.0714042534769551,0.199689057048166,0.1956207819916703,0.9078014184397164
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1016/j.seppur.2014.03.005, https://doi.org/10.1021/jacs.5c19738",9,1,0.209769761619249,0.0622642419834656,0.1947485846173675,0.1956207819916703,0.9041095890410958
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,DOI: 10.1080/07366290601169352,6,1,0.3056253695058842,0.0604775185146109,0.1911910670582119,0.1956207819916703,0.906040268456376
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,DOI: 10.1080/07366299.2011.539127,5,1,0.3566341581389516,0.0588093328570352,0.1902536694534276,0.1956207819916703,0.9066666666666666
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1007/s10967-020-07368-2, https://doi.org/10.1021/jacs.5c19738",7,7,0.2348127425487805,0.0542092017510614,0.1937671081815367,0.1956207819916703,0.9121621621621622
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,DOI:10.1021/jacs.7b07318,5,1,0.3072744288428336,0.0506698636456268,0.1918989937632982,0.1956207819916703,0.9066666666666666
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1007/s41365-016-0055-0 , https://doi.org/10.1021/jacs.5c19738",7,1,0.1758544580740237,0.0405980088349674,0.1965556756904779,0.1956207819916703,0.9054054054054054
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,dx.doi.org/10.1016/j.seppur.2014.03.005,6,1,0.1733208093906087,0.034296931815034,0.1965187674655385,0.1956207819916703,0.906040268456376
extractant,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,"https://doi.org/10.1007/s41365-017-0229-4 , https://doi.org/10.1021/jacs.5c19738",9,1,0.1027690528825521,0.0305040971000637,0.2013445187175748,0.1956207819916703,0.9041095890410958
