model,cohort,n_rows,model_residual_median,nn_residual_median,model_minus_nn_mean,seeds_model_better,median_wilcoxon_p
REC_ecfp_plus_recovered,A_CONSISTENT,680.8,0.5380145975338431,0.6391283462761324,-0.1619490405654781,5,2.3695681264752077e-11
REC_ecfp_plus_recovered,B_MISMATCH,81.0,1.0085796647377392,0.748498106593204,-0.0574885879777198,3,0.6914263294706919
REC_ecfp_plus_recovered,C_DUPLICATE,36.0,1.16532760722204,0.3335865036306221,0.4313402023372604,0,0.0013479328918037
REC_ecfp_plus_recovered,E_UNCERTAIN,9.6,1.651494759160937,0.6023481095849522,0.8748696839329877,0,0.01611328125
GEN9_REL_MONOLITH,A_CONSISTENT,680.8,0.5369935007735875,0.6391283462761324,-0.1614323514632323,5,1.9230812304291056e-09
GEN9_REL_MONOLITH,B_MISMATCH,81.0,0.9574198573834298,0.748498106593204,-0.0965912477314032,5,0.386930794482193
GEN9_REL_MONOLITH,C_DUPLICATE,36.0,1.2321672653520008,0.3335865036306221,0.4670196629560384,0,0.0005286230589263
GEN9_REL_MONOLITH,E_UNCERTAIN,9.6,1.5598072837817092,0.6023481095849522,0.8601747814674695,0,0.00927734375
GEN9_SHAPE_RECOMPOSED,A_CONSISTENT,680.8,0.5361198563588725,0.6391283462761324,-0.1665993376177153,5,4.2225223237946746e-10
GEN9_SHAPE_RECOMPOSED,B_MISMATCH,81.0,0.9175060368196788,0.748498106593204,-0.1033529596266645,5,0.3177994908957187
GEN9_SHAPE_RECOMPOSED,C_DUPLICATE,36.0,1.1696971622781696,0.3335865036306221,0.4472742563689034,0,0.0005642504402203
GEN9_SHAPE_RECOMPOSED,E_UNCERTAIN,9.6,1.6013092078334068,0.6023481095849522,0.9183597493924728,0,0.01220703125
