global_model,adapter,split_seed,fold,method,penalty_series,penalty_response,k2_series,k2_response,k3_series,k3_response,k5_series,k5_response,tau_series,tau_response,sigma,converged,tau_moment_series,tau_moment_response
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,104729,0,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,104729,1,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,104729,2,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,104729,3,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,104729,4,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,130363,0,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,130363,1,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,130363,2,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,130363,3,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,130363,4,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,155921,0,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,155921,1,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,155921,2,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,155921,3,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,155921,4,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,196613,0,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,196613,1,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,196613,2,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,196613,3,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,196613,4,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,262147,0,FIXED,4.0,4.0,,,,,,,,,,,,
