global_model,policy,k,comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_FIXED_vs_OFFSET_K3,0.0020232665934281,-0.0004829869152709,0.00411017537154,-9.180051596155272e-05,0.0045486956438268,0.0004524533165689,143,35,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_INNER_vs_OFFSET_K3,0.0049856793605619,-0.0023738314773221,0.0139797400683381,-0.0008672905142773,0.0184003233187306,0.003369238893173,143,63,4,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_ML_vs_OFFSET_K3,0.0277089341921129,0.0189242483151282,0.0373624569523903,0.0193678385745077,0.0380225467544852,0.0312300301315282,143,92,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_ML_NOSERIES_vs_OFFSET_K3,0.0174936760739058,0.0103755600184083,0.0243832336746157,0.0104979871132365,0.0244739702618838,0.0209750262288786,143,88,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_MAP_vs_OFFSET_K3,-0.0549334441690204,-0.0719480590079357,-0.0391371192448814,-0.073450299341882,-0.0402813610841674,-0.0615786730181428,143,34,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_MAP_NOSERIES_vs_OFFSET_K3,-0.0606230208607471,-0.0763741447625817,-0.0434463970167178,-0.0783033500561188,-0.0446674919112595,-0.0644170969774532,143,32,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SLOPE_L_s1_K3_vs_OFFSET_K3,0.0101253097107406,0.0019001689784056,0.0198366061468396,0.0041800699474649,0.0267061806217831,0.0050664909875055,143,19,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,OFFSET_K1_vs_OFFSET_K3,-0.0622437473707715,-0.0783167142646322,-0.0445269210543956,-0.0804840281380186,-0.0457853460363648,-0.0658642276515704,143,31,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_FIXED_vs_OFFSET_K3,0.0045417845989025,4.534797365151411e-05,0.0084172873457957,0.0008217161280181,0.0092718662417907,0.0017117558214225,140,34,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_INNER_vs_OFFSET_K3,-0.0347023448628583,-0.0503966015912208,-0.021616441109861,-0.0500014538029896,-0.0211310659634837,-0.0450169133373614,140,36,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_ML_vs_OFFSET_K3,0.0329824273508969,0.0227546934741629,0.0440193449117581,0.0228498493412445,0.0442140795039884,0.0341063688535912,140,91,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_ML_NOSERIES_vs_OFFSET_K3,0.0193333677102431,0.0127607880205342,0.0272124797754345,0.0132690720602305,0.0277894732090363,0.0235409628125213,140,93,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_MAP_vs_OFFSET_K3,-0.0841810511028307,-0.1116653306852654,-0.0616696477214657,-0.1122681419500772,-0.0621174890879385,-0.0974578252590674,140,27,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_MAP_NOSERIES_vs_OFFSET_K3,-0.0984162651604934,-0.1236913102675852,-0.0745355459327094,-0.1282642891591449,-0.0775480271929535,-0.1064208991663221,140,24,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SLOPE_L_s1_K3_vs_OFFSET_K3,0.0091972165322006,0.0012109253221086,0.0177773544458172,0.0030785818952952,0.0240841904607205,0.0042525442378108,140,20,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,OFFSET_K1_vs_OFFSET_K3,-0.1011586817590336,-0.1270109309088635,-0.0763820100604997,-0.1320587243790544,-0.0798290264773392,-0.1091453913149875,140,24,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,5,SERIES_FIXED_vs_OFFSET_K3,0.0141713569881277,0.0040024198676528,0.0236796939980328,0.0059421908287847,0.0267778345755272,0.0103941948635829,99,32,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,5,SERIES_INNER_vs_OFFSET_K3,0.0279496378055897,0.0171883200708903,0.0442657531111882,0.0168610978476026,0.0439958617944344,0.0336113558291882,99,65,4,5
