axis,candidate,reference,metric,n_curves,n_ligands,n_publications,curves_improved,scheme,point,ci_low,ci_high,n_blocks,ci_width,positive
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,row_mae,155,25,32,0.8516129032258064,publication,0.143200192523114,0.0935783141982909,0.1973914754901824,32.0,0.1038131612918914,True
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,row_mae,155,25,32,0.8516129032258064,ligand,0.143200192523114,0.0687401442467004,0.1889647342380485,25.0,0.1202245899913481,True
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,row_mae,155,25,32,0.8516129032258064,two_factor,0.143200192523114,0.0928547077111637,0.1982795131853907,,0.1054248054742269,True
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,span_recovery_distance,155,25,32,0.9870967741935484,chemotype,0.3848348026536531,0.2443580647713801,0.3955237093824666,8.0,0.1511656446110864,True
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,span_recovery_distance,155,25,32,0.9870967741935484,publication,0.3848348026536531,0.3065490009442932,0.4697736144291963,32.0,0.163224613484903,True
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,span_recovery_distance,155,25,32,0.9870967741935484,ligand,0.3848348026536531,0.3098531510507141,0.4747917093974924,25.0,0.1649385583467782,True
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,span_recovery_distance,155,25,32,0.9870967741935484,two_factor,0.3848348026536531,0.3077286379982696,0.4699335942043093,,0.1622049562060396,True
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,spearman,155,25,32,0.8129032258064516,chemotype,0.1939760135744106,0.0588525982079162,0.3663347738471753,8.0,0.307482175639259,True
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,spearman,155,25,32,0.8129032258064516,publication,0.1939760135744106,0.1117755519577098,0.2727427759148632,32.0,0.1609672239571534,True
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,spearman,155,25,32,0.8129032258064516,ligand,0.1939760135744106,0.1233076091744399,0.2807414898582011,25.0,0.1574338806837611,True
extractant,GEN9_SHAPE_RECOMPOSED,GEN9_A0_ROW_ONLY,spearman,155,25,32,0.8129032258064516,two_factor,0.1939760135744106,0.111050117522196,0.2730889030800333,,0.1620387855578372,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548388,chemotype,0.0976350844687598,0.0535047981376994,0.1155532642077281,8.0,0.0620484660700286,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548388,publication,0.0976350844687598,0.0662219920257216,0.1262950640720083,32.0,0.0600730720462866,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548388,ligand,0.0976350844687598,0.0712000093394213,0.1132532397558598,25.0,0.0420532304164385,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,shape_mae,155,25,32,0.9096774193548388,two_factor,0.0976350844687598,0.0655350910156906,0.1270523148420843,,0.0615172238263936,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.8903225806451613,chemotype,0.4487446453252014,0.2251990132942095,0.4623005520178671,8.0,0.2371015387236576,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.8903225806451613,publication,0.4487446453252014,0.2683529357425307,0.6360513986154473,32.0,0.3676984628729166,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.8903225806451613,ligand,0.4487446453252014,0.2660846720232138,0.6615418011249875,25.0,0.3954571291017736,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,slope_abs_error,155,25,32,0.8903225806451613,two_factor,0.4487446453252014,0.266576288940633,0.6358743599318032,,0.3692980709911702,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,row_mae,155,25,32,0.5935483870967742,chemotype,0.0356703054246474,0.0184411556623227,0.1242055614073697,8.0,0.1057644057450469,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,row_mae,155,25,32,0.5935483870967742,publication,0.0356703054246474,-0.0075422401654158,0.0849745954642456,32.0,0.0925168356296614,False
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,row_mae,155,25,32,0.5935483870967742,ligand,0.0356703054246474,-0.0322129698680982,0.0822541764944204,25.0,0.1144671463625186,False
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,row_mae,155,25,32,0.5935483870967742,two_factor,0.0356703054246474,-0.009073338929367,0.0846931243138856,,0.0937664632432527,False
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,span_recovery_distance,155,25,32,0.9612903225806452,chemotype,0.206403858627171,0.1107389725483735,0.2115502122631794,8.0,0.1008112397148058,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,span_recovery_distance,155,25,32,0.9612903225806452,publication,0.206403858627171,0.1438647550222265,0.2833187664690895,32.0,0.1394540114468629,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,span_recovery_distance,155,25,32,0.9612903225806452,ligand,0.206403858627171,0.1465285777650974,0.3045168789999999,25.0,0.1579883012349025,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,span_recovery_distance,155,25,32,0.9612903225806452,two_factor,0.206403858627171,0.1442947123623379,0.2828747477078296,,0.1385800353454916,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,spearman,155,25,32,0.7483870967741936,chemotype,0.2578388766487735,0.0626760095947875,0.3476134356721949,8.0,0.2849374260774073,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,spearman,155,25,32,0.7483870967741936,publication,0.2578388766487735,0.0873364484486104,0.4362601335180118,32.0,0.3489236850694014,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,spearman,155,25,32,0.7483870967741936,ligand,0.2578388766487735,0.110155365168369,0.327675123493867,25.0,0.217519758325498,True
extractant,GEN9_REL_MONOLITH,REC_ecfp_plus_recovered,spearman,155,25,32,0.7483870967741936,two_factor,0.2578388766487735,0.0829350320886802,0.4382113455260633,,0.3552763134373831,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,shape_mae,155,25,32,0.9419354838709676,chemotype,0.0990831139865428,0.0431305564133112,0.1027035129854279,8.0,0.0595729565721167,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,shape_mae,155,25,32,0.9419354838709676,publication,0.0990831139865428,0.0718770682787718,0.1233805741407267,32.0,0.0515035058619549,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,shape_mae,155,25,32,0.9419354838709676,ligand,0.0990831139865428,0.0729680525380453,0.1137240401751889,25.0,0.0407559876371436,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,shape_mae,155,25,32,0.9419354838709676,two_factor,0.0990831139865428,0.0715047247769942,0.1243387266649022,,0.052834001887908,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,slope_abs_error,155,25,32,0.9290322580645162,chemotype,0.459783179533036,0.1836220427466713,0.4753272075459246,8.0,0.2917051647992533,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,slope_abs_error,155,25,32,0.9290322580645162,publication,0.459783179533036,0.289760787587424,0.6415991817799931,32.0,0.351838394192569,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,slope_abs_error,155,25,32,0.9290322580645162,ligand,0.459783179533036,0.2801193842982251,0.6741225236568096,25.0,0.3940031393585844,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,slope_abs_error,155,25,32,0.9290322580645162,two_factor,0.459783179533036,0.2888700483678484,0.6422620978135974,,0.353392049445749,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,row_mae,155,25,32,0.6838709677419355,chemotype,0.0565831770295475,0.0281521858970151,0.1609339271006493,8.0,0.1327817412036341,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,row_mae,155,25,32,0.6838709677419355,publication,0.0565831770295475,0.007836570950044,0.1064024272069961,32.0,0.098565856256952,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,row_mae,155,25,32,0.6838709677419355,ligand,0.0565831770295475,-0.0142448155307334,0.1011326389079318,25.0,0.1153774544386652,False
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,row_mae,155,25,32,0.6838709677419355,two_factor,0.0565831770295475,0.006620740608064,0.1081501611330205,,0.1015294205249564,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,span_recovery_distance,155,25,32,1.0,chemotype,0.2135928242444035,0.1027689420110651,0.2199839777245387,8.0,0.1172150357134736,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,span_recovery_distance,155,25,32,1.0,publication,0.2135928242444035,0.1526083467912737,0.2911893863478084,32.0,0.1385810395565346,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,span_recovery_distance,155,25,32,1.0,ligand,0.2135928242444035,0.1533414388767215,0.3128708079621823,25.0,0.1595293690854607,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,span_recovery_distance,155,25,32,1.0,two_factor,0.2135928242444035,0.1531034247460916,0.2900163596989846,,0.136912934952893,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,spearman,155,25,32,0.7419354838709677,chemotype,0.1485578142117202,0.0098154145923539,0.1855521097141894,8.0,0.1757366951218355,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,spearman,155,25,32,0.7419354838709677,publication,0.1485578142117202,0.0430944393757535,0.2385287253692449,32.0,0.1954342859934913,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,spearman,155,25,32,0.7419354838709677,ligand,0.1485578142117202,0.0779022242948347,0.2354290917010996,25.0,0.1575268674062649,True
extractant,GEN9_REL_MONOLITH,GEN9_A0_ROW_ONLY,spearman,155,25,32,0.7419354838709677,two_factor,0.1485578142117202,0.0431065816080097,0.2379418046319728,,0.194835223023963,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,421,68,50,0.6793349168646081,chemotype,0.0437016396692269,0.0003129484403036,0.0560409711516024,38.0,0.0557280227112988,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,421,68,50,0.6793349168646081,publication,0.0437016396692269,0.0236286297547315,0.0737419857220806,50.0,0.050113355967349,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,421,68,50,0.6793349168646081,ligand,0.0437016396692269,0.0193248777561633,0.0620699526420941,68.0,0.0427450748859308,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,shape_mae,421,68,50,0.6793349168646081,two_factor,0.0437016396692269,0.0231599685419264,0.0736551393364935,,0.0504951707945671,True
