global_model,cohort,k,best_arm,best_mae,n_ligands,mae_ZERO_SHOT,mae_OFFSET_K1@CENTRAL_THEN_SPREAD,mae_OFFSET_K3@CENTRAL_THEN_SPREAD,mae_SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD
GEN9_SHAPE_RECOMPOSED,A_CONSISTENT,0,ZERO_SHOT,0.9415919125969626,135,0.9415919125969626,,,
GEN9_SHAPE_RECOMPOSED,A_CONSISTENT,1,SLOPE_L_s1_K3@MEDOID,0.6013862228219835,135,0.9415919125969628,0.6097048472397709,0.6097048472397709,0.6013862228219835
GEN9_SHAPE_RECOMPOSED,A_CONSISTENT,2,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.5089755622812489,135,0.9415919125969628,0.5794915232996969,0.5252797307564472,0.5170130917288737
GEN9_SHAPE_RECOMPOSED,A_CONSISTENT,3,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.4636395651120823,132,0.9446306212410504,0.5623491326257878,0.4704574572961896,0.4636395651120823
GEN9_SHAPE_RECOMPOSED,A_CONSISTENT,5,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.4499087641996827,92,1.0177368755165082,0.5694138966624867,0.4572907556825988,0.4504896485490238
GEN9_SHAPE_RECOMPOSED,B_MISMATCH,0,ZERO_SHOT,0.6965521989395385,1,0.6965521989395385,,,
GEN9_SHAPE_RECOMPOSED,B_MISMATCH,1,ZERO_SHOT,0.6965521989395385,1,0.6965521989395385,1.2425364512347186,1.2425364512347186,1.2393540299837575
GEN9_SHAPE_RECOMPOSED,B_MISMATCH,2,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.6399297341623785,1,0.6965521989395385,0.7415621970046982,0.85238023752284,0.8654589504833924
GEN9_SHAPE_RECOMPOSED,B_MISMATCH,3,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.5691568088799518,1,0.6965521989395385,0.7530348511164303,0.6628879300071204,0.670622277221851
GEN9_SHAPE_RECOMPOSED,B_MISMATCH,5,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.5322286143376146,1,0.6965521989395385,0.7245203351476637,0.5361225630103068,0.5322286143376146
GEN9_SHAPE_RECOMPOSED,C_DUPLICATE,0,ZERO_SHOT,1.3187358191204328,3,1.3187358191204328,,,
GEN9_SHAPE_RECOMPOSED,C_DUPLICATE,1,SERIES_MAP_LEVELONLY@MEDOID,0.8846916479502543,3,1.3187358191204328,0.8846916479502543,0.8846916479502543,0.8846916479502543
GEN9_SHAPE_RECOMPOSED,C_DUPLICATE,2,SERIES_MAP_LEVELONLY@MEDOID,0.7663418063359266,3,1.3187358191204328,1.0120940360405528,0.9064623209667652,0.9064623209667652
GEN9_SHAPE_RECOMPOSED,C_DUPLICATE,3,SERIES_MAP@CENTRAL,0.7223214746839632,3,1.3187358191204328,1.0314945399227302,0.906944220369342,0.906944220369342
GEN9_SHAPE_RECOMPOSED,C_DUPLICATE,5,SERIES_MAP@CENTRAL,0.6603627491466307,3,1.3187358191204328,0.8834049227518604,0.7814486590315871,0.7814486590315871
GEN9_SHAPE_RECOMPOSED,D_TWE24,0,ZERO_SHOT,4.18125593617561,1,4.18125593617561,,,
GEN9_SHAPE_RECOMPOSED,D_TWE24,1,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.5625937310364206,1,4.18125593617561,0.8168872213245216,0.8168872213245216,0.8168872213245216
GEN9_SHAPE_RECOMPOSED,D_TWE24,2,OFFSET_K3@MAX_PREDICTIVE_VARIANCE,0.4958813389812801,1,4.18125593617561,0.5979230491149661,0.5990900575171302,0.5990900575171302
GEN9_SHAPE_RECOMPOSED,D_TWE24,3,SLOPE_L_s1_K3@CENTRAL,0.5449406884056318,1,4.18125593617561,0.5765752114532905,0.5449406884056319,0.5449406884056319
GEN9_SHAPE_RECOMPOSED,E_UNCERTAIN,0,ZERO_SHOT,1.419864172442029,3,1.419864172442029,,,
GEN9_SHAPE_RECOMPOSED,E_UNCERTAIN,1,SLOPE_L_s1_K3@MEDOID,1.0689055614690053,3,1.419864172442029,1.0739800950342493,1.0739800950342493,1.0689055614690053
GEN9_SHAPE_RECOMPOSED,E_UNCERTAIN,2,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.8813653576794538,3,1.419864172442029,1.0346170933233716,0.9376574448484566,0.9195050482394818
GEN9_SHAPE_RECOMPOSED,E_UNCERTAIN,3,NEAREST_OBSERVED@LEARNED_BLEND,0.8380500923496926,3,1.419864172442029,1.053863805580216,0.9288964524067316,0.9035490989866471
GEN9_SHAPE_RECOMPOSED,E_UNCERTAIN,5,NEAREST_OBSERVED@LEARNED_BLEND,0.6896479861448691,3,1.419864172442029,1.0251236652603632,0.8183603940403511,0.7828809799223881
REC_ecfp_plus_recovered,A_CONSISTENT,0,ZERO_SHOT,0.9543198909515812,135,0.9543198909515812,,,
REC_ecfp_plus_recovered,A_CONSISTENT,1,SLOPE_L_s1_K3@MEDOID,0.6088084420616104,135,0.9543198909515812,0.6254052599583865,0.6254052599583865,0.6088084420616104
REC_ecfp_plus_recovered,A_CONSISTENT,2,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.5107519348199384,135,0.9543198909515812,0.6014488915081367,0.5366710736810393,0.5201941940761534
REC_ecfp_plus_recovered,A_CONSISTENT,3,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.4653737703031928,132,0.9576424383127722,0.5841697305750512,0.4790601221440616,0.4653737703031928
REC_ecfp_plus_recovered,A_CONSISTENT,5,SLOPE_L_s1_K3@D_OPTIMAL,0.4523062758945259,92,1.039632462654614,0.6012249264454212,0.467498654780312,0.4546364233197637
REC_ecfp_plus_recovered,B_MISMATCH,0,ZERO_SHOT,0.8648021783055104,1,0.8648021783055104,,,
REC_ecfp_plus_recovered,B_MISMATCH,1,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.7676753316826292,1,0.8648021783055105,1.5443422825608673,1.5443422825608673,1.5156239781840397
REC_ecfp_plus_recovered,B_MISMATCH,2,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.7009222283993689,1,0.8648021783055105,0.8979563318534833,1.0417454306895846,1.076087476101799
REC_ecfp_plus_recovered,B_MISMATCH,3,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.6249891749612828,1,0.8648021783055105,0.9402676500915248,0.7996678264400364,0.8245326403901686
