partition,n_rows,n_curves_touching,n_rows_outside,n_curves_straddling,split_seed,fold
s104729f0,382,77,0,0,104729,0
s104729f1,3753,841,0,0,104729,1
s104729f2,286,36,0,0,104729,2
s104729f3,501,175,0,0,104729,3
s104729f4,326,47,0,0,104729,4
s130363f0,3812,918,0,0,130363,0
s130363f1,311,68,0,0,130363,1
s130363f2,482,85,0,0,130363,2
s130363f3,412,69,0,0,130363,3
s130363f4,231,36,0,0,130363,4
s155921f0,3700,842,0,0,155921,0
s155921f1,420,65,0,0,155921,1
s155921f2,239,38,0,0,155921,2
s155921f3,519,180,0,0,155921,3
s155921f4,370,51,0,0,155921,4
s196613f0,3762,850,0,0,196613,0
s196613f1,455,154,0,0,196613,1
s196613f2,345,67,0,0,196613,2
s196613f3,155,20,0,0,196613,3
s196613f4,531,85,0,0,196613,4
s262147f0,319,52,0,0,262147,0
s262147f1,4049,997,0,0,262147,1
s262147f2,265,32,0,0,262147,2
s262147f3,200,34,0,0,262147,3
s262147f4,415,61,0,0,262147,4
