model,split_seed,expected_rows,returned_rows,missing_rows,duplicate_rows,nan_predictions,inf_predictions,nan_truth,scored_rows
GEN10_LEVEL_SHAPE,104729,5248,5248,0,0,0,0,0,5248
GEN10_LEVEL_SHAPE,130363,5248,5248,0,0,0,0,0,5248
GEN10_LEVEL_SHAPE,155921,5248,5248,0,0,0,0,0,5248
GEN10_LEVEL_SHAPE,196613,5248,5248,0,0,0,0,0,5248
GEN10_LEVEL_SHAPE,262147,5248,5248,0,0,0,0,0,5248
GEN10_RESIDUAL_SHAPE,104729,5248,5248,0,0,0,0,0,5248
GEN10_RESIDUAL_SHAPE,130363,5248,5248,0,0,0,0,0,5248
GEN10_RESIDUAL_SHAPE,155921,5248,5248,0,0,0,0,0,5248
GEN10_RESIDUAL_SHAPE,196613,5248,5248,0,0,0,0,0,5248
GEN10_RESIDUAL_SHAPE,262147,5248,5248,0,0,0,0,0,5248
GEN10_RESIDUAL_SHAPE_INSAMPLE,104729,5248,5248,0,0,0,0,0,5248
GEN10_RESIDUAL_SHAPE_INSAMPLE,130363,5248,5248,0,0,0,0,0,5248
GEN10_RESIDUAL_SHAPE_INSAMPLE,155921,5248,5248,0,0,0,0,0,5248
GEN10_RESIDUAL_SHAPE_INSAMPLE,196613,5248,5248,0,0,0,0,0,5248
GEN10_RESIDUAL_SHAPE_INSAMPLE,262147,5248,5248,0,0,0,0,0,5248
GEN10_TWO_BRANCH,104729,5248,5248,0,0,0,0,0,5248
GEN10_TWO_BRANCH,130363,5248,5248,0,0,0,0,0,5248
GEN10_TWO_BRANCH,155921,5248,5248,0,0,0,0,0,5248
GEN10_TWO_BRANCH,196613,5248,5248,0,0,0,0,0,5248
GEN10_TWO_BRANCH,262147,5248,5248,0,0,0,0,0,5248
GEN10_TWO_BRANCH_INTERACT,104729,5248,5248,0,0,0,0,0,5248
GEN10_TWO_BRANCH_INTERACT,130363,5248,5248,0,0,0,0,0,5248
GEN10_TWO_BRANCH_INTERACT,155921,5248,5248,0,0,0,0,0,5248
GEN10_TWO_BRANCH_INTERACT,196613,5248,5248,0,0,0,0,0,5248
GEN10_TWO_BRANCH_INTERACT,262147,5248,5248,0,0,0,0,0,5248
GEN9_SHAPE_RECOMPOSED,104729,5248,5248,0,0,0,0,0,5248
GEN9_SHAPE_RECOMPOSED,130363,5248,5248,0,0,0,0,0,5248
GEN9_SHAPE_RECOMPOSED,155921,5248,5248,0,0,0,0,0,5248
GEN9_SHAPE_RECOMPOSED,196613,5248,5248,0,0,0,0,0,5248
GEN9_SHAPE_RECOMPOSED,262147,5248,5248,0,0,0,0,0,5248
