pair_label,split_seed,arm,r2
Nd-Eu,104729,PRIOR,-0.14736009732487987
Nd-Gd,104729,PRIOR,-0.5890627766197019
Nd-Tb,104729,PRIOR,-1.1584673690891378
Nd-Dy,104729,PRIOR,-0.70431738470738
Sm-Eu,104729,PRIOR,-0.34369940201713756
Sm-Gd,104729,PRIOR,-0.5961733114711598
Sm-Tb,104729,PRIOR,-0.6597472308346837
Sm-Dy,104729,PRIOR,-0.841267509754696
Eu-Gd,104729,PRIOR,-0.022024279018547865
Eu-Tb,104729,PRIOR,-0.5350888847012258
Eu-Dy,104729,PRIOR,-0.34490810483018985
Gd-Tb,104729,PRIOR,-0.12375645101590904
Gd-Dy,104729,PRIOR,-0.4776172716521905
Tb-Dy,104729,PRIOR,-0.020433816269151084
Nd-Ho,104729,PRIOR,-0.7767399881322732
Nd-Er,104729,PRIOR,-0.7917350556471656
Sm-Ho,104729,PRIOR,-0.8153284680448181
Sm-Er,104729,PRIOR,-0.8409065794386779
Gd-Ho,104729,PRIOR,-0.3261463978219634
Gd-Er,104729,PRIOR,-0.3524180016923182
Dy-Ho,104729,PRIOR,-0.09720350684925894
Dy-Er,104729,PRIOR,0.06033637585174301
Ho-Er,104729,PRIOR,-0.06988692789367823
La-Ce,104729,PRIOR,0.06865066841041834
La-Pr,104729,PRIOR,0.060387029037282325
La-Eu,104729,PRIOR,0.10604805041736798
La-Tb,104729,PRIOR,-0.18413731328649074
La-Tm,104729,PRIOR,-0.22889076360208338
La-Yb,104729,PRIOR,-0.15453031936099837
La-Lu,104729,PRIOR,0.037589323869758995
Ce-Tm,104729,PRIOR,-0.6447778028563016
Ce-Yb,104729,PRIOR,-0.5508205705861475
Ce-Lu,104729,PRIOR,-0.47991138387023935
Pr-Tm,104729,PRIOR,-0.17420749762390808
Pr-Yb,104729,PRIOR,-0.07964491147415043
Pr-Lu,104729,PRIOR,0.10331620477034731
Eu-Tm,104729,PRIOR,-0.43649320247048484
Eu-Yb,104729,PRIOR,-0.2466525846296037
Eu-Lu,104729,PRIOR,-0.005907988570251765
Tb-Tm,104729,PRIOR,0.006248031489773598
Tb-Yb,104729,PRIOR,0.05126716604275772
Tb-Lu,104729,PRIOR,0.11599461013454904
Tm-Yb,104729,PRIOR,-0.1237121232795626
Tm-Lu,104729,PRIOR,0.031008451759129363
Yb-Lu,104729,PRIOR,-0.22516823505749217
Ho-Yb,104729,PRIOR,0.10110318014987774
Er-Tm,104729,PRIOR,0.07625445682513843
Er-Yb,104729,PRIOR,0.025212011344443286
La-Nd,104729,PRIOR,0.1952294502685321
La-Sm,104729,PRIOR,0.19305959908428094
Gd-Tm,104729,PRIOR,-0.43383812243976916
Gd-Yb,104729,PRIOR,-0.19579099370512343
Gd-Lu,104729,PRIOR,-0.10796924007490527
Tb-Ho,104729,PRIOR,-0.02649862095399369
Tb-Er,104729,PRIOR,-0.0013828626632728103
Dy-Tm,104729,PRIOR,0.1017922147812429
Dy-Yb,104729,PRIOR,0.12119336388356394
Dy-Lu,104729,PRIOR,0.1289107568003257
Ho-Lu,104729,PRIOR,0.154861828881254
Er-Lu,104729,PRIOR,0.029299698789603923
La-Gd,104729,PRIOR,0.016295858775558614
La-Dy,104729,PRIOR,0.00449881409250763
La-Ho,104729,PRIOR,-0.34886215232530104
La-Er,104729,PRIOR,-0.16144642906440998
Ce-Ho,104729,PRIOR,-0.6066574146866086
Ce-Er,104729,PRIOR,-0.765821821803101
Pr-Ho,104729,PRIOR,-0.2152233442968341
Pr-Er,104729,PRIOR,-0.13643321883846826
Nd-Tm,104729,PRIOR,-1.4750189490355297
Nd-Yb,104729,PRIOR,-1.1444936210152146
Nd-Lu,104729,PRIOR,-0.5268329561020866
Sm-Tm,104729,PRIOR,-1.1751909045691598
Sm-Yb,104729,PRIOR,-0.7832358200007927
Sm-Lu,104729,PRIOR,-0.3957250941881003
