arm,n_rows,n_extractants,equal_extractant_macro_mae,pooled_micro_mae,median_extractant_mae,worst_quartile_extractant_mae,fraction_extractants_improved_vs_A2,extractants_improved_vs_A2,pooled_r2,equal_extractant_macro_r2,median_extractant_r2,extractants_in_r2_metrics,pearson_squared_scale_free,prediction_dispersion_ratio,adjacent_ln_mae,nonadjacent_ln_mae,sign_accuracy,pooled_statistics_are_row_weighted,split_seed,within_pair_r2,median_pair_level_r2
A2_refit,6699,34,0.31644229490997167,0.4155549170373346,0.27454923869333925,0.5794627656642567,0.0,0,0.32497446643281624,-0.535718085102144,0.557405530436859,31,0.371558519219373,0.7509346747695284,0.11638864538360728,0.4731196624374199,0.8450515002239141,True,104729,-0.06650776184732576,-0.17459654645105305
PRIOR,6699,34,0.3082692759528167,0.40195637350060676,0.2748068982163953,0.5654313376225732,0.5882352941176471,20,0.36093968836059886,-0.42411169009778116,0.5854508958556279,31,0.39555221493681264,0.7395368066852179,0.11559875072844517,0.45705651415861787,0.8489326765188834,True,104729,-0.04916846384247853,-0.13643321883846826
PRIOR_TRENDONLY,6699,34,0.31949793860945475,0.42194528857871744,0.27636020004018136,0.5798997889038637,0.47058823529411764,16,0.30358735508640544,-0.549378844965768,0.5459248625341355,31,0.35566994180965095,0.7542009135569754,0.11761313688286001,0.4805040383087319,0.8462457083146738,True,104729,-0.09117940229868715,-0.14777431227772886
A2_lig2d,6699,34,0.3162879495077858,0.4035893317427836,0.27264795592854285,0.5814114734328564,0.4117647058823529,14,0.3736380086667753,-0.6814523014356285,0.4024754109441563,31,0.4057455778110093,0.6818822414446573,0.11412153935433199,0.45928792262422113,0.8535602328705777,True,104729,0.08745386998261884,-0.11339482085337638
A2_lig2d_SHUF,6699,34,0.34374188386775467,0.39856402268990815,0.284793913857867,0.5956570236575929,0.38235294117647056,13,0.3724864268951322,-0.3587033902530511,0.28472861403608285,31,0.40325306114130977,0.6843462748400334,0.11353436444286377,0.4534086400920183,0.8566950291088222,True,104729,-0.06153115217179539,-0.16466839878136508
SCALE_s50,6699,34,0.3061506833383672,0.46392832043026255,0.25699632460283534,0.5792401720013896,0.5882352941176471,20,0.1129073096515203,-0.8103465360300399,0.5588377892116692,31,0.26287653011729145,0.8101203756405253,0.1253467185544648,0.5290772545042636,0.77444394685774,True,104729,-0.21742773652068093,-0.41402481946532554
HIER,6699,34,0.3233780544563598,0.372250935800998,0.28488186236697427,0.5511003770363453,0.4117647058823529,14,0.4875272945472775,-0.42457589231126824,0.42895445182604663,31,0.504972253029237,0.7300511390647931,0.11672656318971128,0.4214182278609484,0.8413195999402896,True,104729,0.16748935116181718,0.017503078195946098
A2_ens,6699,34,0.3158020988843426,0.41782805962782993,0.27371254356188784,0.578040661525195,0.5588235294117647,19,0.3151451361439378,-0.5321357417316116,0.564862499207644,31,0.363955684483332,0.7493194829452515,0.11745994741490898,0.47562405985961487,0.8450515002239141,True,104729,-0.07456766652508251,-0.18242800693782835
A2_refit_TP,6699,34,0.3161718193082468,0.41607988518162053,0.27527338023876946,0.5777392566010645,0.5294117647058824,18,0.3284777538091638,-0.5234572056616986,0.5632480494815422,31,0.3741219176373883,0.7490558542094997,0.12123356448751725,0.4728133975828888,0.8420659799970145,True,104729,-0.06274260027230172,-0.2248846179520183
PRIOR_TP,6699,34,0.30661590542184153,0.40269001259443193,0.2760244181491167,0.5634627856979736,0.6470588235294118,22,0.3637652385147244,-0.41280382236422736,0.606882488878878,31,0.3999144660819471,0.742522969768201,0.11895517514856531,0.45728548416420445,0.844902224212569,True,104729,-0.045650955224649126,-0.14725203668253162
PRIOR_TRENDONLY_TP,6699,34,0.31866582806313476,0.4219912247719686,0.2783517063555402,0.5774331016192488,0.47058823529411764,16,0.3073604646055621,-0.5346830010801603,0.5581573769605248,31,0.3583038616480752,0.7521715959404438,0.12211546159463044,0.4796924885659705,0.8419167039856695,True,104729,-0.0871781977630417,-0.25425401384576274
A2_lig2d_TP,6699,34,0.31450884127674933,0.4038212926446877,0.2716833560925379,0.5766658211830222,0.4411764705882353,15,0.37571742010905484,-0.6718847979931769,0.42036881512885726,31,0.41028339969065086,0.686654170187516,0.11602488393116195,0.4591982805085754,0.8553515450067174,True,104729,0.09087914896296878,-0.1312925699273555
A2_lig2d_SHUF_TP,6699,34,0.34090265483675264,0.40055127921936606,0.28282631575070666,0.5924060998129608,0.4117647058823529,14,0.37602218838424195,-0.34583175100120517,0.2862851090963703,31,0.410102931525458,0.6906171537702365,0.11704367896769824,0.45510302643760264,0.8525153007911629,True,104729,-0.056384195697292805,-0.19933920105511116
SCALE_s50_TP,6699,34,0.3050153256890935,0.4604892241622337,0.2585295875916609,0.5785220543272156,0.6470588235294118,22,0.11652721082473771,-0.800506647937006,0.5609451267253385,31,0.2609233216253232,0.8036512956049497,0.12560157126860902,0.5249273788041006,0.7819077474249888,True,104729,-0.21507535042246695,-0.4489430743242022
HIER_TP,6699,34,0.3205523024176318,0.3692300644668374,0.28941005035256673,0.5446938316272049,0.47058823529411764,16,0.49246836059034904,-0.4114338993661862,0.4351076959469433,31,0.5085308923447681,0.7225667238030042,0.11742879404141338,0.41768096751594447,0.8450515002239141,True,104729,0.1690171041847327,0.004522481135293743
A2_ens_TP,6699,34,0.3155048309032691,0.4185320321792038,0.2749090603751807,0.5761516924141785,0.5882352941176471,20,0.3183712099967906,-0.5212051309926401,0.5676808732567903,31,0.3668583319539934,0.7486521192422033,0.1217064465631735,0.4756463892548408,0.8434094640991193,True,104729,-0.07111606188539166,-0.2528146219207761
A2_run,6699,34,0.3164422949099717,0.4155549170373346,0.27454923869333925,0.5794627656642567,0.11764705882352941,4,0.32497446643281624,-0.535718085102144,0.5574055304368588,31,0.371558519219373,0.7509346747695284,0.1163886453836073,0.4731196624374199,0.8450515002239141,True,104729,-0.06650776184732576,-0.17459654645105327
A2_run_TP,6699,34,0.3161718193082467,0.41607988518162053,0.2752733802387695,0.5777392566010645,0.5294117647058824,18,0.32847775380916366,-0.5234572056616988,0.5632480494815422,31,0.3741219176373883,0.7490558542094997,0.12123356448751725,0.4728133975828889,0.8420659799970145,True,104729,-0.06274260027230172,-0.2248846179520183
