arm,mean_macro_5seeds,mean_macro_confirm,delta_mean_5seeds,delta_mean_confirm,positive_confirm_seeds,positive_all_seeds,boot_delta_confirm,ci95_low,ci95_high,p_better,extractants_improved,holm_p_two_sided,passes_rule
A2_refit,0.31922069395861274,0.319915293720773,0.0,0.0,0,0,,,,,,,False
PRIOR,0.3169400981781374,0.31910780373446757,0.0022805957804753474,0.0008074899863054347,3,4,0.0008074899863054338,-0.01038894818471978,0.011066208094798032,0.5726,18,0.8548,False
A2_lig2d,0.3274512543032712,0.3302420805021426,-0.008230560344658489,-0.010326786781369585,1,2,-0.01032678678136956,-0.02613862254046038,0.006356053122051871,0.1049,13,0.4196,False
SCALE_s50,0.3443943090931664,0.3539552155318661,-0.025173615134553594,-0.034039921811093124,0,1,-0.0340399218110931,-0.06310637988891056,-0.0064479621186954925,0.0082,13,0.04920000000000001,False
A2_refit_TP,0.3174635416663392,0.3177864722558623,0.0017571522922735006,0.0021288214649106407,4,5,0.0021288214649106516,0.0003116964061163001,0.004120604556477293,0.9884,22,,False
PRIOR_TP,0.31470043519149826,0.31672156763391246,0.004520258767114505,0.003193726086860582,3,4,0.003193726086860572,-0.007861517184713236,0.01350312917451771,0.7289,20,,False
A2_lig2d_TP,0.32561665093503794,0.3283936033496101,-0.006395956976425199,-0.008478309628837097,1,2,-0.008478309628837092,-0.024072712846002483,0.00797920371838521,0.147,13,,False
A2_run,0.31922069395861274,0.319915293720773,0.0,0.0,0,0,2.44902137784961e-18,-1.224510688924805e-17,1.469412826709766e-17,0.6437,7,,False
A2_run_TP,0.3174635416663393,0.31778647225586243,0.0017571522922734783,0.002128821464910613,4,5,0.00212882146491064,0.00031169640611629763,0.004120604556477283,0.9884,22,,False
PAIRMEAN_baseline,0.4481814482251588,0.4469666043150248,-0.12896075426654607,-0.12705131059425176,0,0,-0.12705131059425176,-0.19157403411301077,-0.0625880973988128,0.0,11,,False
