band,arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_curve_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_extractants,n_seeds,n_extractants_band
far,B3_NN_TANIMOTO,0.5020830329058339,,0.46211607372464825,0.23684983805748602,0.689516230130339,0.811729084618918,0.46592159757443474,0.6838226397221432,0.2803444570731038,0.9532470315807628,0.706266318537859,16,1,16
far,M_LOWRANK_K2,0.5409885842667005,,0.5062860690456112,0.25895807892257666,0.7398976531769691,0.6240419024367156,0.18647145076072005,0.687276919062282,0.27612712053647087,0.9642322546173561,0.6560052219321149,16,1,16
far,M_PHYSICS_radius+radius_sq,0.5418837402050944,,0.5082962059163209,0.2551906650553779,0.7469993032518296,0.7874988288311149,0.3510643835988138,0.6979272087861861,0.2743117491824167,0.9803619346941962,0.6932114882506527,16,1,16
far,B0_ZERO,0.5859399585944097,,0.5368319333552426,0.2733959305119664,0.8140493938849941,0.0,,0.8142730744365354,0.2852069854976415,1.173181413343095,0.0,16,1,16
far,C_DIRECT_ROW,0.6049227274408672,,0.5655390283318792,0.2676598040275732,0.8327542869696118,0.4964256373724282,0.10182079360609679,0.8346867081529161,0.28723143996468303,1.2057439234053198,0.6005221932114883,16,1,16
far,B1_MEAN_CURVE,0.7204719189832287,,0.6908006335956351,0.32026147309222086,0.984392553448208,0.4236428334566585,-0.05144687281213813,0.8079108607772423,0.2857223879702433,1.164647870556537,0.7232375979112271,16,1,16
far,B2_PAIRMEAN,0.7359546140611941,,0.7098892642429304,0.31793741024874317,1.0075772233047668,0.42782964803811513,-0.04100545540757907,0.8015974338659035,0.2733622844625951,1.1640843795693596,0.7330287206266318,16,1,16
mid,C_DIRECT_ROW,0.6332868273987466,,0.7163399113805985,0.2052805842181581,0.847527603840586,0.7530981465827732,0.6174909414582754,0.4384892470999321,0.17808396581530442,0.6345467344562157,0.8807272727272727,24,1,24
mid,M_PHYSICS_radius+radius_sq,0.6602205447646001,,0.7770609427799869,0.2185333458130463,0.890705309852517,0.7835629634268549,0.46680503782754895,0.4773333086155696,0.18321186244007637,0.7041701062560191,0.8043636363636364,24,1,24
mid,M_LOWRANK_K2,0.6637036322325697,,0.7556893326443406,0.22671586960131776,0.9007936666112628,0.7614542918099155,0.483496172530055,0.48912855263206334,0.18768961233084996,0.7215221767409166,0.768,24,1,24
mid,B3_NN_TANIMOTO,0.7321982685143212,,0.7998319298954498,0.2402068976074017,0.9953386779829336,0.5981924853278218,0.26100938873391766,0.5503665123353473,0.20370036590049337,0.8208436573715195,0.5476363636363636,24,1,24
mid,B2_PAIRMEAN,0.746967620271416,,0.7849717994356685,0.23829948033012527,1.027251737497294,0.6313141911782741,0.37822082917856426,0.5525458275749494,0.19654171155078198,0.8271193154489354,0.7614545454545455,24,1,24
mid,B1_MEAN_CURVE,0.7534830541781531,,0.7973482197066152,0.24302327494293047,1.0353635968560264,0.6180855896718269,0.35606964197153573,0.5496216018149851,0.2026421205620714,0.8143787993731588,0.728,24,1,24
mid,B0_ZERO,0.7622430793229941,,0.8443086810729399,0.2555472615773478,1.0449224745363892,0.0,,0.5409829861850591,0.20864550771427495,0.7976256179085448,0.0,24,1,24
near,C_DIRECT_ROW,0.3880431178292224,,0.4166761817603513,0.1786643831047687,0.4874711268692094,0.7229862843997709,0.5019868387622834,0.44258111232256736,0.17652690436832488,0.6731983385978436,0.8842592592592593,50,1,50
near,M_PHYSICS_radius+radius_sq,0.4156937347538357,,0.4250080094830629,0.19866540486865222,0.5265034933167481,0.7326652933176603,0.44138417745830766,0.47626564938183985,0.19440234183092175,0.7183266008247347,0.8605324074074074,50,1,50
near,M_LOWRANK_K2,0.4378823213713325,,0.4661754462193088,0.20000018903274105,0.5700453241354859,0.6341580791487277,0.37245285499936326,0.5109866827110944,0.19301718909474688,0.7943892620514446,0.7021604938271605,50,1,50
near,B3_NN_TANIMOTO,0.4761057433995286,,0.4319270330231888,0.20746696841076662,0.6347037991553282,0.49151653585590943,0.05186733720793999,0.6660537328253957,0.2244308873138945,1.0713098834195849,0.36400462962962965,50,1,50
near,B0_ZERO,0.5059337903770835,,0.512492647478334,0.21339268566067618,0.6860019142201167,0.0,,0.6438236207554321,0.21416235726867172,1.0373344542780896,0.0,50,1,50
near,B1_MEAN_CURVE,0.5123844847847573,,0.5584896523938583,0.20791383478845385,0.6837354807950033,0.657056781203737,0.3293454252710004,0.5838862189121578,0.20417512916926533,0.9289720483316039,0.8097993827160493,50,1,50
near,B2_PAIRMEAN,0.5124587955840373,,0.562792339724223,0.2022097828265745,0.691893426995185,0.670759000833809,0.355515598207246,0.5657747352511652,0.19294082611867389,0.9030716671119009,0.8447145061728395,50,1,50
