arm,support_design,n_pairs,n_extractants,n_cells,macro_mae_zero_shot,macro_mae_zero_shot_seed_sd,macro_mae_conditional,macro_mae_conditional_seed_sd,macro_mae_rescale,macro_mae_rescale_seed_sd,macro_mae_no_model_linear,macro_mae_no_model_linear_seed_sd,gain,macro_mae_basis_shift,macro_mae_basis_shift_seed_sd
X_ENS_DIRECT+LOWRANK_K2,widest,68145,89,383,0.4547960491453833,0.007398232456555423,0.25098375706295534,0.002235596672970992,0.35928886964181406,0.010770881967989572,0.27182623903950676,0.0,0.20381229208242796,,
C_DIRECT_ROW,widest,68145,89,383,0.4693693401063059,0.01809921406001867,0.255070953126254,0.002224089693784726,0.36810904466520206,0.01193645548986308,0.27182623903950676,0.0,0.21429838698005188,,
M_PHYSICS_radius+radius_sq,widest,68145,89,383,0.4715863687687124,0.007368475488116662,0.2576061363204973,0.002658490647537173,0.38081361673648734,0.011627149524549275,0.27182623903950676,0.0,0.21398023244821512,0.2838840669018021,0.002162929452058756
M_SELECTED,widest,68145,89,383,0.4751977938580736,0.0068571541691758164,0.2596046483461126,0.0065283203955319455,0.3835246032292525,0.019025996571515918,0.27182623903950676,0.0,0.21559314551196102,0.29434646206574877,0.012527760894528138
B1_MEAN_CURVE,widest,68145,89,383,0.5744375093450103,0.014177118476902707,0.26810134220135656,0.0016623634620519002,0.42860748423951095,0.017595186438861703,0.27182623903950676,0.0,0.3063361671436537,,
X_ENS_DIRECT+LOWRANK_K2,random,340725,89,383,0.46350255962429704,0.008215241616752699,0.36183097183034774,0.0087930054050374,0.4204765406266301,0.009146490146602479,0.48324125549192604,0.012632936146195402,0.1016715877939493,,
C_DIRECT_ROW,random,340725,89,383,0.47871787471911065,0.019612339649789146,0.3677461369447207,0.011019236852624268,0.43577863329662164,0.01953090526721269,0.48324125549192604,0.012632936146195402,0.11097173777438996,,
M_PHYSICS_radius+radius_sq,random,340725,89,383,0.48052211650463433,0.008350034651345057,0.3749058060574799,0.007297865029397072,0.4376116288866868,0.009844609223039296,0.48324125549192604,0.012632936146195402,0.10561631044715442,0.39630922309512634,0.009498287816932807
M_SELECTED,random,340725,89,383,0.48442014879246553,0.006533096219046148,0.37737807985646016,0.010408737424519993,0.4395875600416838,0.01310130262850628,0.48324125549192604,0.012632936146195402,0.10704206893600537,0.4526391888898881,0.036837157657323115
B1_MEAN_CURVE,random,340725,89,383,0.588032017857363,0.01611018579833411,0.424286069312562,0.006463552388956477,0.5403728267659321,0.018154221114150784,0.48324125549192604,0.012632936146195402,0.163745948544801,,
