arm,n_pairs,n_ext,base_incl,corrected_incl,base_excl,corrected_excl
C_DIRECT_ROW,14012,89,0.47687541330389194,0.2291610840955314,0.4675206502375241,0.24974286957200822
X_ENS_DIRECT+LOWRANK_K2,14012,89,0.4613851451182247,0.22586287473544506,0.452575823423332,0.24502301506827426
