variant,ext_macro_mae,pooled_mae,frac_removed
baseline,0.4426398338208271,0.539199107424151,0.0
pc1_shrunk__oracle_all_pairs,0.1775190870517359,0.19254405194318078,0.598953656024567
pc1_shrunk__leave_scored_pair_out,0.18053917133122305,0.19530900889425168,0.5921307628985282
pc1_complete14__oracle_all_pairs,0.17578751596781347,0.19331291362597436,0.6028655748163659
pc1_complete14__leave_scored_pair_out,0.17878282598340445,0.19607008134895623,0.5960986510405826
radius__oracle_all_pairs,0.18376957864239196,0.19617553617850964,0.5848327136396434
radius__leave_scored_pair_out,0.18694844864121685,0.19907857520180552,0.5776510960898058
pc2_shrunk__oracle_all_pairs,0.42651416247040574,0.5197999581961431,0.03643068273188621
pc2_shrunk__leave_scored_pair_out,0.43339526300959486,0.5272836919485848,0.02088508558173352
pc1pc2__oracle_all_pairs,0.15387731719483358,0.15771229941911458,0.6523645062248952
pc1pc2__leave_scored_pair_out,0.15911958869739007,0.1622422830588903,0.6405213075292295
rand0__oracle_all_pairs,0.4304514815453838,0.5244263238063784,0.0275355974410042
rand0__leave_scored_pair_out,0.43661863843213883,0.5312235141377705,0.01360292257638418
rand1__oracle_all_pairs,0.430135601536121,0.5239722018913852,0.02824922505679317
rand1__leave_scored_pair_out,0.43587183232625715,0.5300651320733764,0.015290086832333127
rand2__oracle_all_pairs,0.4206954974547093,0.5046105208332566,0.0495760541402166
rand2__leave_scored_pair_out,0.42772975811393726,0.5123462393064148,0.03368444176880203
rand3__oracle_all_pairs,0.43772446414342575,0.535808906758308,0.011104670890037971
rand3__leave_scored_pair_out,0.4435135718007628,0.542119624462066,-0.0019739253297508252
rand4__oracle_all_pairs,0.43046703835414696,0.5229141203481504,0.02750045191731998
rand4__leave_scored_pair_out,0.4376098383386855,0.5307140683396538,0.011363630423234072
