target,family_size,n_chemotype_units,perm_reps,null_p95_max_abs_rho,null_p50_max_abs_rho,observed_max_abs_rho,observed_argmax,familywise_p
a,12,40,2000,0.6161732385261797,0.3714285714285714,0.6016511867905057,quad__NAIVE__S14,0.059
abs_a,12,40,2000,0.6000825593395251,0.3735177865612649,0.4745595798227377,quad__NAIVE__S3,0.21
b,12,40,2000,0.6078905408317172,0.3688273273513548,0.7502579979360166,quad__NAIVE__S14,0.004
