target,family_size,n_chemotype_units,perm_reps,null_p95_max_abs_rho,null_p50_max_abs_rho,observed_max_abs_rho,observed_argmax,familywise_p
a,12,40,2000,0.6087912087912088,0.3729749411008781,0.6016511867905057,slope__NAIVE__S14,0.0565
abs_a,12,40,2000,0.613332426087844,0.3773656029128292,0.4238866396761134,slope__NAIVE__S3,0.3605
b,12,40,2000,0.6043956043956044,0.3714285714285714,0.7502579979360166,slope__NAIVE__S14,0.003
