extractant,n_metals,slope_full,slope_odd,slope_even,jk_se
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,14,-1194.289174870028,-1126.570224812213,-1253.3318355720164,158.75840066529562
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,8,-741.2147920407858,-572.65191974186,-940.6395739814682,319.88455996860387
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,13,-1.0076386085901787,-0.8327506554734155,-1.1209545133549033,0.27745384922390187
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,13,-1.3072712914104059,-1.1524416605182268,-1.405905477554214,0.18625494670401932
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,14,-900.7302272328681,-849.619185996049,-945.304697182134,119.63682069813511
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,23,-1350.863651485351,-1358.8882088622966,-1342.6294535101408,138.88179922865507
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,6,-1578.8663214836897,-1422.0901301216945,-1676.89908325351,405.1827028687391
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,14,-1341.2354003485018,-1265.0677331731085,-1407.5629609476612,178.3582578469334
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,14,-1539.169611376288,-1451.4253715972543,-1615.818954680826,205.17508659096094
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,13,-1690.702563469045,-1863.646135212369,-1572.3918030875504,241.15241631863213
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,14,-1376.7465762260852,-1299.1384072632675,-1444.223461157984,182.93815338922545
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,27,93.44241722051437,-61.55213024127155,248.95344550089,162.32654120838205
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,9,-1460.7435559314042,-1857.8861702204563,-1249.047734459685,727.2940540297406
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,20,-1488.1426597906602,-1429.7614903079711,-1599.3119159578164,201.92762882779257
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,7,-1540.702313041036,-2688.7005220756673,-1230.486154428026,1110.1720974373193
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,14,-1755.6734451303796,-1656.200360779032,-1842.4877182734745,233.28845121325668
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,11,-1857.4431155076168,-2015.8669102534202,-1752.5687490942037,312.53293103613004
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,14,-849.7685709580854,-801.6485061694559,-891.7541420284324,113.06849693186939
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,7,-67.20660165192382,-77.8614568785826,-63.76998138611166,15.866860016342255
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,12,-1073.0396910951008,-1028.423828182277,-1104.6481101433083,157.5314323923821
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,9,-61.43038952571096,-67.52922666091092,-60.22265115844612,22.78333552107362
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,27,-881.6268475715741,-903.4314764385476,-864.3920043352534,76.17857955536266
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,14,-1157.6087455813301,-1092.0770683674266,-1214.6637873491434,153.84687548888203
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,8,-1025.1176633867203,-792.4168320998393,-1300.3800851998526,442.4976102652487
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,8,-1309.595212661793,-1012.1482783031876,-1661.5094273293605,565.6835523330603
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,14,-974.396849289119,-919.3562925425631,-1022.310993619747,129.53677771277097
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,14,-1488.1799216976967,-1403.64272883841,-1561.9785428547875,197.90986205994022
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,14,-1047.8552063511672,-988.4617729066313,-1099.6203678053723,139.27987812663537
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,14,-1854.7473480317035,-1749.8008278809282,-1946.134530590752,246.59327813424838
