model,set,target,held_out_chemotype,rho
NAIVE,S8,a,sc000,0.39200725239857975
NAIVE,S8,a,sc001,0.39200725239857975
NAIVE,S8,a,sc007,0.3897937599153886
NAIVE,S8,a,sc008,0.38603913273400314
NAIVE,S8,a,sc009,0.21926910299003324
NAIVE,S8,a,sc010,0.39011105235325216
NAIVE,S8,a,sc012,0.3959809624537281
NAIVE,S8,a,sc015,0.43648863035430985
NAIVE,S8,a,sc017,0.39200725239857975
NAIVE,S8,a,sc018,0.39200725239857975
NAIVE,S8,a,sc019,0.3844526705446853
NAIVE,S8,a,sc020,0.39200725239857975
NAIVE,S8,a,sc021,0.3864621893178212
NAIVE,S8,a,sc027,0.4113465481886534
NAIVE,S8,a,sc028,0.5046957488191165
NAIVE,S8,a,sc029,0.37288135593220345
NAIVE,S8,a,sc030,0.4074034902168165
NAIVE,S8,a,sc031,0.35159766601833853
NAIVE,S8,a,sc033,0.3832892649391855
NAIVE,S8,a,sc036,0.3627118644067797
NAIVE,S8,a,sc055,0.4391327340031729
NAIVE,S8,a,sc057,0.38508725542041244
NAIVE,S8,a,sc058,0.39200725239857975
NAIVE,S8,a,sc059,0.3859862506610258
NAIVE,S8,a,sc060,0.37419354838709673
NAIVE,S8,a,sc061,0.4750208391219784
NAIVE,S8,a,sc068,0.37180473099756994
NAIVE,S8,a,sc069,0.3839955543206447
NAIVE,S8,a,sc070,0.39200725239857975
NAIVE,S8,a,sc071,0.3834479111581173
NAIVE,S8,a,sc075,0.38815441565309355
NAIVE,S8,a,sc076,0.3818614489687995
NAIVE,S8,a,sc077,0.38566895822316233
NAIVE,S8,a,sc078,0.38736118455843466
NAIVE,S8,a,sc083,0.3836065573770491
NAIVE,S8,a,sc084,0.39200725239857975
NAIVE,S8,a,sc085,0.39200725239857975
NAIVE,S8,a,sc086,0.3864093072448439
NAIVE,S8,a,sc096,0.39200725239857975
NAIVE,S8,a,sc097,0.39200725239857975
NAIVE,S8,abs_a,sc000,-0.34355720077560375
NAIVE,S8,abs_a,sc001,-0.34355720077560375
NAIVE,S8,abs_a,sc007,-0.342411422527763
NAIVE,S8,abs_a,sc008,-0.3365415124272871
NAIVE,S8,abs_a,sc009,-0.18514044095439447
NAIVE,S8,abs_a,sc010,-0.338762559492332
NAIVE,S8,abs_a,sc012,-0.33511369645690103
NAIVE,S8,abs_a,sc015,-0.38847170809095716
NAIVE,S8,abs_a,sc017,-0.34355720077560375
NAIVE,S8,abs_a,sc018,-0.34355720077560375
NAIVE,S8,abs_a,sc019,-0.3357482813326282
NAIVE,S8,abs_a,sc020,-0.34355720077560375
NAIVE,S8,abs_a,sc021,-0.33500793231094655
NAIVE,S8,abs_a,sc027,-0.45755297334244704
NAIVE,S8,abs_a,sc028,-0.3442622950819673
NAIVE,S8,abs_a,sc029,-0.3151957919345413
NAIVE,S8,abs_a,sc030,-0.3423056583818085
NAIVE,S8,abs_a,sc031,-0.3528202278410671
NAIVE,S8,abs_a,sc033,-0.3330512956107879
NAIVE,S8,abs_a,sc036,-0.3174215059738817
NAIVE,S8,abs_a,sc055,-0.3441036488630354
NAIVE,S8,abs_a,sc057,-0.33543098889476464
NAIVE,S8,abs_a,sc058,-0.34355720077560375
NAIVE,S8,abs_a,sc059,-0.34648334214701215
NAIVE,S8,abs_a,sc060,-0.38434690639873076
NAIVE,S8,abs_a,sc061,-0.42206168380105585
NAIVE,S8,abs_a,sc068,-0.352363960749331
NAIVE,S8,abs_a,sc069,-0.32614615170880806
NAIVE,S8,abs_a,sc070,-0.34355720077560375
NAIVE,S8,abs_a,sc071,-0.3396086726599682
NAIVE,S8,abs_a,sc075,-0.3376520359598096
NAIVE,S8,abs_a,sc076,-0.33923849814912743
NAIVE,S8,abs_a,sc077,-0.33617133791644627
NAIVE,S8,abs_a,sc078,-0.3121628767847699
NAIVE,S8,abs_a,sc083,-0.33945002644103645
NAIVE,S8,abs_a,sc084,-0.34355720077560375
NAIVE,S8,abs_a,sc085,-0.34355720077560375
NAIVE,S8,abs_a,sc086,-0.3406663141195134
NAIVE,S8,abs_a,sc096,-0.34355720077560375
NAIVE,S8,abs_a,sc097,-0.34355720077560375
NAIVE,S8,b,sc000,0.48769862254790874
NAIVE,S8,b,sc001,0.48769862254790874
NAIVE,S8,b,sc007,0.4861977789529348
NAIVE,S8,b,sc008,0.5111052353252248
NAIVE,S8,b,sc009,0.43823618242222895
NAIVE,S8,b,sc010,0.48276044420941294
NAIVE,S8,b,sc012,0.5410893707033314
NAIVE,S8,b,sc015,0.5380750925436277
NAIVE,S8,b,sc017,0.48769862254790874
NAIVE,S8,b,sc018,0.48769862254790874
NAIVE,S8,b,sc019,0.48783712321522993
NAIVE,S8,b,sc020,0.48769862254790874
NAIVE,S8,b,sc021,0.4837123215230036
NAIVE,S8,b,sc027,0.43663704716336293
NAIVE,S8,b,sc028,0.47174215059738817
NAIVE,S8,b,sc029,0.47451782583284635
NAIVE,S8,b,sc030,0.4879957694341618
NAIVE,S8,b,sc031,0.45696026674076146
NAIVE,S8,b,sc033,0.4839238498149126
NAIVE,S8,b,sc036,0.4471242011669909
NAIVE,S8,b,sc055,0.4802749867794817
NAIVE,S8,b,sc057,0.48402961396086724
NAIVE,S8,b,sc058,0.48769862254790874
NAIVE,S8,b,sc059,0.4900052882072977
NAIVE,S8,b,sc060,0.47334743521946054
NAIVE,S8,b,sc061,0.5394831897749376
NAIVE,S8,b,sc068,0.49115629517979636
NAIVE,S8,b,sc069,0.48441233676021134
NAIVE,S8,b,sc070,0.48769862254790874
NAIVE,S8,b,sc071,0.48434690639873085
NAIVE,S8,b,sc075,0.48704389212057103
NAIVE,S8,b,sc076,0.48789000528820714
NAIVE,S8,b,sc077,0.49032258064516127
NAIVE,S8,b,sc078,0.47477525118984654
NAIVE,S8,b,sc083,0.48434690639873085
NAIVE,S8,b,sc084,0.48769862254790874
NAIVE,S8,b,sc085,0.48769862254790874
NAIVE,S8,b,sc086,0.4855103120042305
NAIVE,S8,b,sc096,0.48769862254790874
NAIVE,S8,b,sc097,0.48769862254790874
NAIVE,S14,a,sc000,0.6439271255060729
NAIVE,S14,a,sc001,0.6439271255060729
NAIVE,S14,a,sc007,0.6476638581901739
NAIVE,S14,a,sc008,0.6439271255060729
NAIVE,S14,a,sc009,0.5984615384615385
NAIVE,S14,a,sc010,0.6439271255060729
NAIVE,S14,a,sc012,0.6439271255060729
NAIVE,S14,a,sc015,0.6439271255060729
NAIVE,S14,a,sc017,0.6439271255060729
NAIVE,S14,a,sc018,0.6439271255060729
NAIVE,S14,a,sc019,0.647226173541963
NAIVE,S14,a,sc020,0.6439271255060729
NAIVE,S14,a,sc021,0.6487580698107014
NAIVE,S14,a,sc027,0.7014005602240896
NAIVE,S14,a,sc028,0.7450486924171135
NAIVE,S14,a,sc029,0.6084942084942085
NAIVE,S14,a,sc030,0.6439271255060729
NAIVE,S14,a,sc031,0.6439271255060729
NAIVE,S14,a,sc033,0.6439435386803808
NAIVE,S14,a,sc036,0.6439271255060729
NAIVE,S14,a,sc055,0.6439271255060729
NAIVE,S14,a,sc057,0.6441623810044863
NAIVE,S14,a,sc058,0.6439271255060729
NAIVE,S14,a,sc059,0.628186891344786
NAIVE,S14,a,sc060,0.6194331983805668
NAIVE,S14,a,sc061,0.6439271255060729
NAIVE,S14,a,sc068,0.6041184041184041
NAIVE,S14,a,sc069,0.6401137980085349
NAIVE,S14,a,sc070,0.6439271255060729
NAIVE,S14,a,sc071,0.6292811029653135
NAIVE,S14,a,sc075,0.6340956340956341
NAIVE,S14,a,sc076,0.6255607834555202
NAIVE,S14,a,sc077,0.6439271255060729
NAIVE,S14,a,sc078,0.6439271255060729
NAIVE,S14,a,sc083,0.6292811029653135
NAIVE,S14,a,sc084,0.6439271255060729
NAIVE,S14,a,sc085,0.6439271255060729
NAIVE,S14,a,sc086,0.6336579494474232
NAIVE,S14,a,sc096,0.6439271255060729
NAIVE,S14,a,sc097,0.6439271255060729
NAIVE,S14,abs_a,sc000,-0.4246963562753037
NAIVE,S14,abs_a,sc001,-0.4246963562753037
NAIVE,S14,abs_a,sc007,-0.42422584527847684
NAIVE,S14,abs_a,sc008,-0.4246963562753037
NAIVE,S14,abs_a,sc009,-0.2353846153846154
NAIVE,S14,abs_a,sc010,-0.4246963562753037
NAIVE,S14,abs_a,sc012,-0.4246963562753037
NAIVE,S14,abs_a,sc015,-0.4246963562753037
NAIVE,S14,abs_a,sc017,-0.4246963562753037
NAIVE,S14,abs_a,sc018,-0.4246963562753037
NAIVE,S14,abs_a,sc019,-0.42072436809278907
NAIVE,S14,abs_a,sc020,-0.4246963562753037
NAIVE,S14,abs_a,sc021,-0.41569099463836306
NAIVE,S14,abs_a,sc027,-0.5630252100840336
NAIVE,S14,abs_a,sc028,-0.4296969033811139
NAIVE,S14,abs_a,sc029,-0.3626769626769627
NAIVE,S14,abs_a,sc030,-0.4246963562753037
NAIVE,S14,abs_a,sc031,-0.4246963562753037
NAIVE,S14,abs_a,sc033,-0.41744173323120687
NAIVE,S14,abs_a,sc036,-0.4246963562753037
NAIVE,S14,abs_a,sc055,-0.4246963562753037
NAIVE,S14,abs_a,sc057,-0.4163475216106795
NAIVE,S14,abs_a,sc058,-0.4246963562753037
NAIVE,S14,abs_a,sc059,-0.4305722726775358
NAIVE,S14,abs_a,sc060,-0.513732355837619
NAIVE,S14,abs_a,sc061,-0.4246963562753037
NAIVE,S14,abs_a,sc068,-0.4481338481338482
NAIVE,S14,abs_a,sc069,-0.38809862494073016
NAIVE,S14,abs_a,sc070,-0.4246963562753037
NAIVE,S14,abs_a,sc071,-0.4170040485829959
NAIVE,S14,abs_a,sc075,-0.4163475216106795
NAIVE,S14,abs_a,sc076,-0.41197067512856983
NAIVE,S14,abs_a,sc077,-0.4246963562753037
NAIVE,S14,abs_a,sc078,-0.4246963562753037
NAIVE,S14,abs_a,sc083,-0.4170040485829959
NAIVE,S14,abs_a,sc084,-0.4246963562753037
NAIVE,S14,abs_a,sc085,-0.4246963562753037
NAIVE,S14,abs_a,sc086,-0.42313163365794937
NAIVE,S14,abs_a,sc096,-0.4246963562753037
NAIVE,S14,abs_a,sc097,-0.4246963562753037
NAIVE,S14,b,sc000,0.640080971659919
NAIVE,S14,b,sc001,0.640080971659919
NAIVE,S14,b,sc007,0.646350804245541
NAIVE,S14,b,sc008,0.640080971659919
NAIVE,S14,b,sc009,0.6607692307692308
NAIVE,S14,b,sc010,0.640080971659919
NAIVE,S14,b,sc012,0.640080971659919
NAIVE,S14,b,sc015,0.640080971659919
NAIVE,S14,b,sc017,0.640080971659919
NAIVE,S14,b,sc018,0.640080971659919
NAIVE,S14,b,sc019,0.6424116424116424
