subset,construction,target,n_gen16,rho_gen16,p_gen16,rho_given_n_metals_gen16,n_gen15,rho_gen15,p_gen15,rho_given_n_metals_gen15,d_n,d_rho,d_p,d_rho_given_n_metals,reproduces,role
complete 14 ENERGY metals (n rows entering the naive fit == 14),naive,a,39,0.6439271255060729,9.745568326920046e-06,0.645329623563704,,,,,,,,,,39_vs_41_diagnosis
complete 14 ENERGY metals (n rows entering the naive fit == 14),naive,abs_a,39,-0.4246963562753037,0.0070423862449584245,-0.4088877827703608,,,,,,,,,,39_vs_41_diagnosis
complete 14 ENERGY metals (n rows entering the naive fit == 14),A,a,39,0.2105263157894737,0.19829128606637533,0.20907164438860001,,,,,,,,,,39_vs_41_diagnosis
complete 14 ENERGY metals (n rows entering the naive fit == 14),A,abs_a,39,-0.19433198380566802,0.23583561101418735,-0.18648720931107146,,,,,,,,,,39_vs_41_diagnosis
complete 14 ENERGY metals (n rows entering the naive fit == 14),B,a,39,0.39635627530364376,0.012490839172481519,0.3963006897254866,,,,,,,,,,39_vs_41_diagnosis
complete 14 ENERGY metals (n rows entering the naive fit == 14),B,abs_a,39,-0.5548582995951417,0.0002465659193245822,-0.5399034306219836,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the chosen series energised",naive,a,77,0.49229717650770277,5.426368192970516e-06,0.46524622968819207,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the chosen series energised",naive,abs_a,77,-0.4210000525789999,0.00013748716603799815,-0.3580702350697815,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the chosen series energised",A,a,76,0.08776486671223513,0.4509138541974835,0.07088829537884841,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the chosen series energised",A,abs_a,76,-0.11636363636363636,0.31681334580580883,-0.084340437834413,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the chosen series energised",B,a,77,0.21178821178821178,0.06444735956610949,0.18376333878418055,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the chosen series energised",B,abs_a,77,-0.24546506125453488,0.03141674597771474,-0.1931904899220691,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the main block energised",naive,a,80,0.4618143459915612,1.6181654965494034e-05,0.44127068168250577,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the main block energised",naive,abs_a,80,-0.3886310360993906,0.000367431698642984,-0.3432070600201871,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the main block energised",A,a,79,0.10421129503407985,0.36072821048657483,0.09767730853720796,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the main block energised",A,abs_a,79,-0.08373904576436222,0.46312206935420697,-0.0708911808915225,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the main block energised",B,a,80,0.22168307548054383,0.04812637984069175,0.1967446343832138,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every metal of the main block energised",B,abs_a,80,-0.22934833567744958,0.04071376329031265,-0.17432136989882813,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every geometry of the extractant energised",naive,a,77,0.49229717650770277,5.426368192970516e-06,0.46524622968819207,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every geometry of the extractant energised",naive,abs_a,77,-0.4210000525789999,0.00013748716603799815,-0.3580702350697815,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every geometry of the extractant energised",A,a,76,0.08776486671223513,0.4509138541974835,0.07088829537884841,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every geometry of the extractant energised",A,abs_a,76,-0.11636363636363636,0.31681334580580883,-0.084340437834413,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every geometry of the extractant energised",B,a,77,0.21178821178821178,0.06444735956610949,0.18376333878418055,,,,,,,,,,39_vs_41_diagnosis
"all cohort extractants, every geometry of the extractant energised",B,abs_a,77,-0.24546506125453488,0.03141674597771474,-0.1931904899220691,,,,,,,,,,39_vs_41_diagnosis
