comparison,checkpoint,statistic,n_foldseeds,point_delta,n_positive,ci95_low,ci95_high,bca_low,bca_high
maxmin_vs_random,5,macro_mae,15,0.1138534725909369,8,0.01087252133645031,0.2275732830286597,0.020811784891598604,0.24472169309768102
maxmin_vs_random,5,hard,15,0.17059945194019693,9,0.03598710141090532,0.3236435699638902,0.04800685070054039,0.3396083875067703
maxmin_vs_random,5,offset,15,0.13412092354738026,8,0.011484428517074811,0.2709018051279504,0.024474027452864557,0.2922374083181639
maxmin_vs_random,8,macro_mae,15,0.09610728841027426,10,0.00474417915804216,0.20381523213478725,0.01595821555801236,0.2254039075599588
maxmin_vs_random,8,hard,15,0.18769898549205136,11,0.049619799429776686,0.3633838627003401,0.06817156895357897,0.39742294886767127
maxmin_vs_random,8,offset,15,0.08127031577979991,6,-0.02105612362772123,0.19901870382600442,-0.007961199715912724,0.22268152479981818
maxmin_vs_random,12,macro_mae,15,0.09971893910236437,10,0.020965298212328686,0.19143168039859682,0.031718076276412044,0.211543999520793
maxmin_vs_random,12,hard,15,0.21727451436426495,12,0.0838623096975401,0.38627763213585936,0.1074787665737798,0.42507277486019646
maxmin_vs_random,12,offset,15,0.07856549634315226,9,-0.013489137916441176,0.17825405716409004,-0.007738049101615171,0.188383995704693
maxmin_vs_random,16,macro_mae,15,0.10209324881613814,11,0.03474200144087685,0.17959230837000337,0.04309086847667566,0.1944350892449957
maxmin_vs_random,16,hard,15,0.22086628500922298,12,0.10353980931847293,0.36508004785402376,0.12292272278482162,0.402783004163959
maxmin_vs_random,16,offset,15,0.08315150312125508,9,0.009497931705161593,0.16743315300189163,0.018460153694790735,0.18291243270876112
maxmin_vs_random,20,macro_mae,15,0.12060122928048572,13,0.04760465676588429,0.19092954567149287,0.04472947600511622,0.18901399678894684
maxmin_vs_random,20,hard,15,0.23826938972315345,13,0.12017458265290142,0.365018163000598,0.12553001972638145,0.3695588907365985
maxmin_vs_random,20,offset,15,0.10917021910101703,12,0.016627914181043403,0.1917949246033627,0.00884799085560751,0.1870541721762449
maxmin_vs_random,25,macro_mae,15,0.13495655764466605,12,0.06586001025205547,0.19836672116935444,0.06666240911822285,0.1991444352601507
maxmin_vs_random,25,hard,15,0.25034841540631325,13,0.14640388783820057,0.3670923892612973,0.15717896464278336,0.3871700956390122
maxmin_vs_random,25,offset,15,0.1147265454074162,12,0.034488235075673175,0.1879345706789661,0.03291544880726832,0.18687244596401725
maxmin_vs_random,30,macro_mae,15,0.09322116204636922,12,0.02434639824748911,0.15589868241835286,0.023654913740561685,0.15562186979801987
maxmin_vs_random,30,hard,15,0.17832913499408612,12,0.08817040092674898,0.2771123174699943,0.09684523407136487,0.29047901951158306
maxmin_vs_random,30,offset,15,0.06392777790321062,10,-0.012831412987948052,0.13522190923118874,-0.010709625289410744,0.13685187427799592
diversity_x_uncertainty_vs_random,5,macro_mae,15,0.10713926506198,10,-0.004603291599171364,0.23376286228389373,0.008889596507996948,0.2566398375392181
diversity_x_uncertainty_vs_random,5,hard,15,0.15267352961543895,11,0.02639922722208058,0.28885494296545516,0.03590096896719537,0.30136283571619643
diversity_x_uncertainty_vs_random,5,offset,15,0.11625571657784921,8,-0.024237261005387905,0.28137167612226605,-0.005073947298817999,0.3197171491380363
diversity_x_uncertainty_vs_random,8,macro_mae,15,0.1410080610676451,12,0.03081746334095762,0.25407794583433996,0.03384782539563479,0.25845751060555505
diversity_x_uncertainty_vs_random,8,hard,15,0.22868986398681188,12,0.07510977013756884,0.3961318631102926,0.0910804517924256,0.42392961084641734
diversity_x_uncertainty_vs_random,8,offset,15,0.13588662867932585,11,0.013421082661779103,0.25885338080274567,0.014028216716527066,0.2599642632992037
diversity_x_uncertainty_vs_random,12,macro_mae,15,0.17399365033107186,13,0.07514876471036241,0.27794007201174864,0.0774902202583641,0.2809136972790275
diversity_x_uncertainty_vs_random,12,hard,15,0.29891030680942454,13,0.14058810849839867,0.47304584298704266,0.15414967345053357,0.49600972084157235
diversity_x_uncertainty_vs_random,12,offset,15,0.17856561112728325,12,0.06738913124751211,0.29115991787928036,0.06651477630064502,0.2909875727236248
diversity_x_uncertainty_vs_random,16,macro_mae,15,0.20846513886926765,13,0.1016496465930725,0.3109497374382797,0.09811525388101928,0.30680750753741837
diversity_x_uncertainty_vs_random,16,hard,15,0.3298557622416521,13,0.1654393296566035,0.5014547308346237,0.18271697031061263,0.5175208353356981
diversity_x_uncertainty_vs_random,16,offset,15,0.21238007945730483,13,0.09668050881854205,0.3199979425376802,0.0929129130951459,0.3175132415479324
diversity_x_uncertainty_vs_random,20,macro_mae,15,0.19265445605792966,13,0.07734510689442572,0.2991671890387062,0.07238105217811282,0.295471521677516
diversity_x_uncertainty_vs_random,20,hard,15,0.29691841510680267,13,0.1401665454750143,0.45331512377810285,0.14390647181705363,0.4555949077708272
diversity_x_uncertainty_vs_random,20,offset,15,0.2045347774462926,13,0.06799285986680556,0.33038320973655055,0.05729659676868705,0.3218228517787456
diversity_x_uncertainty_vs_random,25,macro_mae,15,0.20113261100813654,13,0.11986924148825226,0.2777471216524226,0.117648506242536,0.27577038239434454
