split_seed,fold,n_start_ligands,n_start_rows,start_chemotype,largest_chemotype_ligands,n_pool_ligands,n_pool_rows,start_is_short,n_test_rows,n_hard_rows_0_4,n_hard_rows_0_6
104729,0,10,2928,tan055,38,120,1938,False,382,170,356
104729,1,2,244,tan016,2,80,1251,True,3753,3753,3753
104729,2,10,2928,tan055,38,124,2034,False,286,150,182
104729,3,10,2928,tan055,38,124,1819,False,501,435,487
104729,4,10,2928,tan055,38,118,1994,False,326,258,267
130363,0,1,140,tan084,1,97,1296,True,3812,3812,3812
130363,1,10,2928,tan055,38,121,2009,False,311,171,287
130363,2,10,2928,tan055,38,115,1838,False,482,261,470
130363,3,10,2928,tan055,38,114,1908,False,412,253,370
130363,4,10,2928,tan055,38,120,2089,False,231,50,100
155921,0,2,244,tan016,2,94,1304,True,3700,3670,3700
155921,1,10,2928,tan055,38,120,1900,False,420,196,406
155921,2,10,2928,tan055,38,122,2081,False,239,85,193
155921,3,10,2928,tan055,38,123,1801,False,519,471,476
155921,4,10,2928,tan055,38,107,1950,False,370,211,246
