n_folds,checkpoint,endpoint,n_rows,comparison,reference,candidate,statistic,point_delta,ci95_low,ci95_high,p_worse_one_sided,units_improved,units_total,bootstrap_blocks,bootstrap_replicates,block_macro_delta,n_blocks_positive,largest_block_unit_share,cluster_robust_se,cluster_robust_low,cluster_robust_high,cluster_robust_p_two_sided,bca_low,bca_high,bca_z0,bca_acceleration
15,1,all,15744,maxmin_vs_random,random,maxmin,mae,0.04952774284056466,0.0006623457791372354,0.09357147455434586,0.022395520895820836,79,131,79,5000,0.036546791230233196,44,0.21374045801526717,0.026750616506309374,-0.0037286436199269954,0.10278412930105632,0.06788785699424799,0.009053693010320819,0.10886984573482485,0.08834811272693276,0.13066179302771253
15,1,all,15744,maxmin_vs_random,random,maxmin,offset_mae,0.03673727532584983,-0.02052379147751473,0.09021176945937158,0.1929614077184563,78,131,79,5000,0.007827289376015574,42,0.21374045801526717,0.032818029563637184,-0.028598402635092668,0.10207295328679233,0.2663948326435071,-0.011445623704929854,0.10980723014177995,0.08935472965343721,0.14189216281381867
15,1,all,15744,maxmin_vs_random,random,maxmin,shape_mae,0.030542697970770007,0.0025944783617909426,0.05209802822698193,0.017996400719856028,80,131,79,5000,0.02931070689246677,44,0.21374045801526717,0.012869759957546507,0.004920974082978473,0.05616442185856154,0.020095855029730256,0.006390158045454679,0.05556293634247949,0.04312737186562014,0.06578204288712913
15,1,all,15744,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,mae,0.05678480507920127,-0.014220172761918644,0.12372390729424085,0.10617876424715057,78,131,79,5000,0.024886879203000485,44,0.21374045801526717,0.04056680177913005,-0.02397749333384467,0.13754710349224722,0.16554249409513455,-0.0037292672622584963,0.14624213722496882,0.07225371305299166,0.14358469372099966
15,1,all,15744,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,offset_mae,0.04281944587780994,-0.04438744291665025,0.12501246388769352,0.30133973205358927,72,131,79,5000,-0.008591198681856545,37,0.21374045801526717,0.05045441300028216,-0.05762757435241627,0.14326646610803614,0.3986587099807222,-0.02994128008719705,0.15863619715467292,0.10194541722009817,0.14828142628404753
15,1,all,15744,diversity_x_uncertainty_vs_random,random,diversity_x_uncertainty,shape_mae,0.026945328540407116,0.003813686403845139,0.04542122131526608,0.010797840431913617,79,131,79,5000,0.025003826428925645,44,0.21374045801526717,0.010770312674446614,0.0055032831222996716,0.04838737395851456,0.014449304599529976,0.0061410421044222835,0.047504628139961994,0.00150397753176512,0.051410256633355154
15,1,all,15744,same_chemotype_first_vs_random,random,same_chemotype_first,mae,-0.04668966443490774,-0.08392565223693732,-0.01677904123240966,0.9992001599680064,48,131,79,5000,-0.04094189821842373,28,0.21374045801526717,0.01785812343746974,-0.08224245713487173,-0.011136871734943751,0.010721938683671882,-0.07931157779513422,-0.012876914304708359,0.026071887453559196,0.06538900776823364
15,1,all,15744,same_chemotype_first_vs_random,random,same_chemotype_first,offset_mae,-0.027889947111883202,-0.0710226227686814,0.00544332914977161,0.9446110777844431,57,131,79,5000,-0.03096455663005648,34,0.21374045801526717,0.019761975371752987,-0.06723301785466645,0.011453123630900057,0.1621345493217097,-0.06695186971358634,0.008214847342420863,0.019051527317045326,0.039224808139443616
15,1,all,15744,same_chemotype_first_vs_random,random,same_chemotype_first,shape_mae,-0.034573794184009785,-0.07246692748850234,-0.007262253771194929,0.99500099980004,54,131,79,5000,-0.04074732349291354,31,0.21374045801526717,0.016627078697885773,-0.06767576507259698,-0.0014718232954225863,0.04086964458143684,-0.06988877804881909,-0.0054376451833758775,0.00852263930681304,0.03677421944151887
15,1,hard_nn<0.4,13946,maxmin_vs_random,random,maxmin,mae,0.05283415691125293,-0.008608257181389531,0.10170587528851392,0.05878824235152969,74,119,69,5000,0.04467307686321801,39,0.23529411764705882,0.030259589775394967,-0.00754791436335988,0.11321622818586574,0.08532199239830843,0.0017672271619244982,0.11406033934193362,0.06572094093465736,0.11603682114094765
