arm,k_measured,macro_mae,seed_sd,n_cells
B1_MEAN_CURVE,0,0.523283978330296,0.01023557863936747,321
B1_MEAN_CURVE,1,0.22810371680383343,0.002436670083090453,321
B1_MEAN_CURVE,2,0.20723101690567222,0.002108145081105727,321
B1_MEAN_CURVE,3,0.17626705995305833,0.0038922740956507393,321
X_ENS_DIRECT+LOWRANK_K2,0,0.4090913928492454,0.00687029915641445,321
X_ENS_DIRECT+LOWRANK_K2,1,0.2106198814217462,0.0021990130346859443,321
X_ENS_DIRECT+LOWRANK_K2,2,0.19330570995215718,0.0012706762112449155,321
X_ENS_DIRECT+LOWRANK_K2,3,0.1674378108957494,0.00460952778768213,321
