shrink,noise_var,support,mae,zero
0.0,0.01,widest,0.25077099132144903,0.4547960491453833
0.0,0.01,random,0.3542264670616832,0.46103306694749724
0.0,0.05,widest,0.24987656717846093,0.4547960491453833
0.0,0.05,random,0.35097302253117607,0.46103306694749724
0.0,0.09,widest,0.2495457383065892,0.4547960491453833
0.0,0.09,random,0.35248260699219064,0.46103306694749724
0.0,0.2,widest,0.25083531994449604,0.4547960491453833
0.0,0.2,random,0.36223452324591926,0.46103306694749724
0.0,0.4,widest,0.2581645412458383,0.4547960491453833
0.0,0.4,random,0.3763661775596997,0.46103306694749724
0.15,0.01,widest,0.2480283481629974,0.4547960491453833
0.15,0.01,random,0.3502575070383834,0.46103306694749724
0.15,0.05,widest,0.24822617369143846,0.4547960491453833
0.15,0.05,random,0.3533864918643482,0.46103306694749724
0.15,0.09,widest,0.24897703469799987,0.4547960491453833
0.15,0.09,random,0.3575069741866015,0.46103306694749724
0.15,0.2,widest,0.25290843615019826,0.4547960491453833
0.15,0.2,random,0.36788386963763153,0.46103306694749724
0.15,0.4,widest,0.2632813969770124,0.4547960491453833
0.15,0.4,random,0.38238111000614633,0.46103306694749724
0.25,0.01,widest,0.2484672419897243,0.4547960491453833
0.25,0.01,random,0.35372544438768483,0.46103306694749724
0.25,0.05,widest,0.24950293422974773,0.4547960491453833
0.25,0.05,random,0.3579743506967297,0.46103306694749724
0.25,0.09,widest,0.25098375706295534,0.4547960491453833
0.25,0.09,random,0.3623022338734939,0.46103306694749724
0.25,0.2,widest,0.25649677720641756,0.4547960491453833
0.25,0.2,random,0.3728978829670496,0.46103306694749724
0.25,0.4,widest,0.2686816116644585,0.4547960491453833
0.25,0.4,random,0.38714080420967545,0.46103306694749724
0.4,0.01,widest,0.2541140915561476,0.4547960491453833
0.4,0.01,random,0.36284612133302724,0.46103306694749724
0.4,0.05,widest,0.25616534174068895,0.4547960491453833
0.4,0.05,random,0.3675561079613733,0.46103306694749724
0.4,0.09,widest,0.258584901406386,0.4547960491453833
0.4,0.09,random,0.3718771646165708,0.46103306694749724
0.4,0.2,widest,0.2661139824713846,0.4547960491453833
0.4,0.2,random,0.38211876820784185,0.46103306694749724
0.4,0.4,widest,0.28068685200290444,0.4547960491453833
0.4,0.4,random,0.39538070220726007,0.46103306694749724
0.6,0.01,widest,0.2745444072697683,0.4547960491453833
0.6,0.01,random,0.380915404468024,0.46103306694749724
0.6,0.05,widest,0.2775744833705887,0.4547960491453833
0.6,0.05,random,0.3850299527908685,0.46103306694749724
0.6,0.09,widest,0.28080159453374576,0.4547960491453833
0.6,0.09,random,0.38876552169474027,0.46103306694749724
0.6,0.2,widest,0.29007802224731,0.4547960491453833
0.6,0.2,random,0.397450190564126,0.46103306694749724
0.6,0.4,widest,0.3060268903133726,0.4547960491453833
0.6,0.4,random,0.40833274590988616,0.46103306694749724
