arm,split_seed,extractant,chemotype,mae_all
B1_MEAN_CURVE|no_model_linear,104729,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,sc000,0.25287640785197507
B1_MEAN_CURVE|no_model_linear,104729,C1COCCOCCOCCOCCOCCO1,sc001,0.4067567048598693
B1_MEAN_CURVE|no_model_linear,104729,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,sc007,0.3198109630013404
B1_MEAN_CURVE|no_model_linear,104729,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,sc008,0.3424319353212809
B1_MEAN_CURVE|no_model_linear,104729,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,sc010,0.1990274773930559
B1_MEAN_CURVE|no_model_linear,104729,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,sc012,1.4178513502242793
B1_MEAN_CURVE|no_model_linear,104729,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,sc015,0.7934715047451802
B1_MEAN_CURVE|no_model_linear,104729,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,sc009,0.4968951042754603
B1_MEAN_CURVE|no_model_linear,104729,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,sc009,0.20341849972291198
B1_MEAN_CURVE|no_model_linear,104729,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,sc017,0.21659206871309267
B1_MEAN_CURVE|no_model_linear,104729,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,sc018,0.3815828019044039
B1_MEAN_CURVE|no_model_linear,104729,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,sc009,0.2621128660731363
B1_MEAN_CURVE|no_model_linear,104729,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,sc019,0.25564420021070877
