feature,deployment_delta3d_blend_weight,component,interpretation,importance
delta3d__feat3d__polyhedron__donor_atomic_number_04,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.2988870727328121
delta3d__feat3d__polyhedron__donor_atomic_number_09,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.12194841299915112
pair__delta_Z,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.07031716471949039
pair__delta_ionic_radius,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.046944696293095424
base__cond__acid_concentration_M,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.018596156920473284
base__cond__metal_concentration_mM,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.018135122059566453
base__cond__extractant_concentration_M,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.01385449014963212
pair__ionic_radius_A,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.011835451555680492
base__ecfp_1911,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.011111207555707613
pair__Z_A,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010795144703793006
delta3d__feat3d__polyhedron__donor_angle_06_08_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.010545035517701664
delta3d__feat3d__polyhedron__donor_angle_06_09_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009500467204469799
base__ecfp_1454,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009131830738816163
pair__Z_mean,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.009009395906798013
delta3d__feat3d__polyhedron__coordination_number,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.008495254027187898
pair__Z_B,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.008126819428903946
pair__ionic_radius_mean,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.00795735763350756
delta3d__feat3d__polyhedron__donor_angle_05_06_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007411699368974847
base__MolWt,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.007174946262991784
delta3d__feat3d__complex_physical__coordination_number,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006798898735639428
delta3d__feat3d__polyhedron__donor_angle_01_09_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006664701738021269
base__MolLogP,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006418854994778166
delta3d__feat3d__polyhedron__donor_angle_04_09_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006322321498328243
base__NumRotatableBonds,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006232803153438673
delta3d__feat3d__polyhedron__donor_angle_02_09_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.006085375764652909
delta3d__feat3d__polyhedron__donor_angle_03_05_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.005348283883519451
delta3d__feat3d__polyhedron__donor_angle_05_09_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.0052937392407961525
base__ecfp_1272,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.005266542499283007
delta3d__feat3d__polyhedron__donor_angle_07_09_deg,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.005255049770642577
base__TPSA,1.0,full_delta3d_forest_only,raw impurity importance; not an attribution of the blended predictor,0.004898856160223096
