split_seed,model,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units,nn_lt_0_4__macro_mae,nn_lt_0_4__offset_mae,nn_lt_0_4__shape_mae,nn_lt_0_4__n_rows,nn_lt_0_6__macro_mae,nn_lt_0_6__offset_mae,nn_lt_0_6__shape_mae,nn_lt_0_6__n_rows
104729,GEN10_SET_ATTENTION,1.0360591804646393,0.8520242696125676,0.5445213965319681,0.2473462510222586,1.0457906281756566,1.185598328772935,0.2184529087940349,0.5246684812860741,0.9574410899589361,2.0028453038751,0.4133148271211855,0.6711237699263813,0.2759146341463415,0.4815167682926829,0.5367127553737958,5248,152,131,79,6.256051615740402,131,0.9119312801036547,0.7714193161612101,0.43900499724803027,396,1.1059890857560433,0.9534698023320126,0.5622195598595725,1282
130363,GEN10_SET_ATTENTION,0.9776994499327573,0.792514818790559,0.5389152039264177,0.27194389191208523,0.9887375445714538,1.093328626511233,0.2987699749819689,0.48753892747953576,0.8874574547397722,1.898632526454454,0.3549565814815357,0.6749025728309305,0.3090701219512195,0.541920731707317,0.5717545835027981,5248,152,131,79,6.256051615740402,131,0.8380151160977907,0.6703434566898243,0.4943898550844478,433,1.0302906789014359,0.8491090397539536,0.5628069915157957,1372
155921,GEN10_SET_ATTENTION,0.9784209396118972,0.7844620743662055,0.5299678201627858,0.33072074967037735,0.9879483314853843,1.0782067426359816,0.34699975934783167,0.49411645394096204,0.902427027702502,1.874730523129979,0.3513144400341261,0.6969101744006515,0.2896341463414634,0.522484756097561,0.5619841599003089,5248,152,131,79,6.256051615740402,131,0.9117977478048944,0.683334241262452,0.5581487289671085,397,1.099186709841913,0.8764166947017994,0.5913740805712282,1829
196613,GEN10_SET_ATTENTION,1.0072482052870286,0.8199395233705498,0.5232661051430001,0.27458094173531633,1.0010917831979973,1.134087970207973,0.24063783725132482,0.5284838825648963,0.9136962485327085,1.9381611499583111,0.3658725374444014,0.6790843782613111,0.28239329268292684,0.5167682926829268,0.5199969867393605,5248,152,131,79,6.256051615740402,131,0.8937527625116306,0.7304712249840722,0.4599764190792701,406,1.0928391763662249,0.947690582400264,0.5405582789335565,1159
262147,GEN10_SET_ATTENTION,1.0440797372261281,0.8569169661896682,0.5608935135069322,0.27103826932407393,1.0721017421756927,1.1432692268438704,0.2618055662292408,0.5125944190412857,0.9745219862955512,2.0693544579217225,0.28116743645242515,0.6862996936134044,0.2661966463414634,0.5051448170731707,0.5520518188044913,5248,152,131,79,6.256051615740402,131,0.9081400723919187,0.7508552562295917,0.4937087228535371,406,1.1568871769749562,0.9650131559352614,0.6211295339438884,1273
104729,GEN10_SET_MEAN,1.027130492927929,0.8520242696125676,0.5373194821076743,0.22283925899855705,1.038883289334073,1.1949511921514002,0.20635677605131075,0.5166718659253536,0.9803551099671932,1.96746077059166,0.36015707645637346,0.6424226627685331,0.2741996951219512,0.47103658536585363,0.5045800472822319,5248,152,131,79,6.256051615740402,131,0.8942680626925936,0.77141931616121,0.3907008581657654,396,1.0946054492794584,0.9534698023320126,0.5585245992545859,1282
130363,GEN10_SET_MEAN,0.9706565101249243,0.7925148187905591,0.546734451395652,0.23954159074784154,0.9832947390639928,1.1012667978302741,0.2827768846968226,0.4766674790859523,0.8739156344437546,1.9275789489878177,0.34694009299970474,0.6648641462784025,0.3044969512195122,0.546875,0.5694540185537872,5248,152,131,79,6.256051615740402,131,0.8011312711205877,0.6703434566898243,0.4073168831987436,433,1.0240979628060778,0.8491090397539536,0.5639871483090864,1372
155921,GEN10_SET_MEAN,0.9739802833344368,0.7844620743662055,0.5153946795816138,0.32505718085605617,0.9853305874915407,1.0765408151877343,0.34420434161115787,0.4920102156918061,0.9199586076232049,1.865528669078066,0.3794129302158083,0.6921756797919879,0.29592225609756095,0.518483231707317,0.5614248606540624,5248,152,131,79,6.256051615740402,131,0.8722294114839982,0.6833342412624521,0.5067104834463864,397,1.0819663864642004,0.8764166947017994,0.5617156704007029,1829
196613,GEN10_SET_MEAN,1.022524314959473,0.8199395233705498,0.5460848339348086,0.25428800379915684,1.0191700710671534,1.1398016624643263,0.23062167244504217,0.5216038061763968,0.9232139200095788,1.9507156421269864,0.3161781223996446,0.6780658809687553,0.28753810975609756,0.5139100609756098,0.5512373583119637,5248,152,131,79,6.256051615740402,131,0.920249233777564,0.7304712249840722,0.487678235960738,406,1.1369446824556706,0.9476905824002642,0.5895955321711768,1159
262147,GEN10_SET_MEAN,1.0351914557454875,0.8569169661896682,0.5516181051187532,0.27737288833030926,1.0626347727461998,1.1390229396903804,0.2649322001425297,0.5147747554601139,0.9485345735798094,2.0561379760344187,0.3215600114423027,0.6859343744406378,0.26657774390243905,0.5102896341463414,0.5456006767350206,5248,152,131,79,6.256051615740402,131,0.8973401811670402,0.7508552562295917,0.4566971986478791,406,1.1571036131326011,0.9650131559352614,0.615700147755666,1273
