model,split_seed,expected_rows,returned_rows,missing_rows,duplicate_rows,nan_predictions,inf_predictions,nan_truth,scored_rows
GEN10_SET_ATTENTION,104729,5248,5248,0,0,0,0,0,5248
GEN10_SET_ATTENTION,130363,5248,5248,0,0,0,0,0,5248
GEN10_SET_ATTENTION,155921,5248,5248,0,0,0,0,0,5248
GEN10_SET_ATTENTION,196613,5248,5248,0,0,0,0,0,5248
GEN10_SET_ATTENTION,262147,5248,5248,0,0,0,0,0,5248
GEN10_SET_MEAN,104729,5248,5248,0,0,0,0,0,5248
GEN10_SET_MEAN,130363,5248,5248,0,0,0,0,0,5248
GEN10_SET_MEAN,155921,5248,5248,0,0,0,0,0,5248
GEN10_SET_MEAN,196613,5248,5248,0,0,0,0,0,5248
GEN10_SET_MEAN,262147,5248,5248,0,0,0,0,0,5248
