global_model,adapter,policy,k,mae,n_ligands
GEN9_REL_MONOLITH,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,1,0.7538848498932323,143
GEN9_REL_MONOLITH,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,2,0.6178749916954337,143
GEN9_REL_MONOLITH,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,3,0.5392852737342606,140
GEN9_REL_MONOLITH,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,5,0.5191199199517904,99
GEN9_REL_MONOLITH,NEAREST_OBSERVED,D_OPTIMAL,1,1.0636892959958917,143
GEN9_REL_MONOLITH,NEAREST_OBSERVED,D_OPTIMAL,2,0.6825644627491755,143
GEN9_REL_MONOLITH,NEAREST_OBSERVED,D_OPTIMAL,3,0.5815156022922564,140
GEN9_REL_MONOLITH,NEAREST_OBSERVED,D_OPTIMAL,5,0.5533122148454758,99
GEN9_REL_MONOLITH,NEAREST_OBSERVED,MEDOID,1,0.7538848498932323,143
GEN9_REL_MONOLITH,NEAREST_OBSERVED,MEDOID,2,0.6981585258122832,143
GEN9_REL_MONOLITH,NEAREST_OBSERVED,MEDOID,3,0.6238363810167294,140
GEN9_REL_MONOLITH,NEAREST_OBSERVED,MEDOID,5,0.6217730265965451,99
GEN9_REL_MONOLITH,NO_MODEL,CENTRAL_THEN_SPREAD,1,0.7538848498932323,143
GEN9_REL_MONOLITH,NO_MODEL,CENTRAL_THEN_SPREAD,2,0.7281122188801588,143
GEN9_REL_MONOLITH,NO_MODEL,CENTRAL_THEN_SPREAD,3,0.7172105407461676,140
GEN9_REL_MONOLITH,NO_MODEL,CENTRAL_THEN_SPREAD,5,0.7615849126435005,99
GEN9_REL_MONOLITH,NO_MODEL,D_OPTIMAL,1,1.0636892959958917,143
GEN9_REL_MONOLITH,NO_MODEL,D_OPTIMAL,2,0.7561055897239792,143
GEN9_REL_MONOLITH,NO_MODEL,D_OPTIMAL,3,0.74581503755955,140
GEN9_REL_MONOLITH,NO_MODEL,D_OPTIMAL,5,0.7761169849969408,99
GEN9_REL_MONOLITH,NO_MODEL,MEDOID,1,0.7538848498932323,143
GEN9_REL_MONOLITH,NO_MODEL,MEDOID,2,0.7318114593322019,143
GEN9_REL_MONOLITH,NO_MODEL,MEDOID,3,0.7192407977421663,140
GEN9_REL_MONOLITH,NO_MODEL,MEDOID,5,0.7657437731812652,99
GEN9_REL_MONOLITH,OFFSET_K1,CENTRAL_THEN_SPREAD,1,0.63015227199747,143
GEN9_REL_MONOLITH,OFFSET_K1,CENTRAL_THEN_SPREAD,2,0.603170527711453,143
GEN9_REL_MONOLITH,OFFSET_K1,CENTRAL_THEN_SPREAD,3,0.5898499008297534,140
GEN9_REL_MONOLITH,OFFSET_K1,CENTRAL_THEN_SPREAD,5,0.6088239481264252,99
GEN9_REL_MONOLITH,OFFSET_K1,D_OPTIMAL,1,0.865597574160022,143
GEN9_REL_MONOLITH,OFFSET_K1,D_OPTIMAL,2,0.6325440200279762,143
GEN9_REL_MONOLITH,OFFSET_K1,D_OPTIMAL,3,0.6127964699212907,140
GEN9_REL_MONOLITH,OFFSET_K1,D_OPTIMAL,5,0.6163449913869864,99
GEN9_REL_MONOLITH,OFFSET_K1,MEDOID,1,0.63015227199747,143
GEN9_REL_MONOLITH,OFFSET_K1,MEDOID,2,0.6054416782260529,143
GEN9_REL_MONOLITH,OFFSET_K1,MEDOID,3,0.5881925201914354,140
GEN9_REL_MONOLITH,OFFSET_K1,MEDOID,5,0.6066140668398597,99
GEN9_REL_MONOLITH,OFFSET_K2,CENTRAL_THEN_SPREAD,1,0.63015227199747,143
GEN9_REL_MONOLITH,OFFSET_K2,CENTRAL_THEN_SPREAD,2,0.575608589276991,143
GEN9_REL_MONOLITH,OFFSET_K2,CENTRAL_THEN_SPREAD,3,0.5497599453379991,140
GEN9_REL_MONOLITH,OFFSET_K2,CENTRAL_THEN_SPREAD,5,0.5427997347578525,99
GEN9_REL_MONOLITH,OFFSET_K2,D_OPTIMAL,1,0.865597574160022,143
GEN9_REL_MONOLITH,OFFSET_K2,D_OPTIMAL,2,0.6023275002554058,143
GEN9_REL_MONOLITH,OFFSET_K2,D_OPTIMAL,3,0.5673176857889647,140
GEN9_REL_MONOLITH,OFFSET_K2,D_OPTIMAL,5,0.5417922995636181,99
GEN9_REL_MONOLITH,OFFSET_K2,MEDOID,1,0.63015227199747,143
GEN9_REL_MONOLITH,OFFSET_K2,MEDOID,2,0.6035867485001983,143
GEN9_REL_MONOLITH,OFFSET_K2,MEDOID,3,0.5774427764683207,140
GEN9_REL_MONOLITH,OFFSET_K2,MEDOID,5,0.5658101940245542,99
GEN9_REL_MONOLITH,OFFSET_K3,CENTRAL_THEN_SPREAD,1,0.63015227199747,143
GEN9_REL_MONOLITH,OFFSET_K3,CENTRAL_THEN_SPREAD,2,0.5409267803406813,143
GEN9_REL_MONOLITH,OFFSET_K3,CENTRAL_THEN_SPREAD,3,0.4886912190707198,140
GEN9_REL_MONOLITH,OFFSET_K3,CENTRAL_THEN_SPREAD,5,0.47792858490473245,99
GEN9_REL_MONOLITH,OFFSET_K3,D_OPTIMAL,1,0.865597574160022,143
GEN9_REL_MONOLITH,OFFSET_K3,D_OPTIMAL,2,0.559553625476698,143
GEN9_REL_MONOLITH,OFFSET_K3,D_OPTIMAL,3,0.5077583251092148,140
GEN9_REL_MONOLITH,OFFSET_K3,D_OPTIMAL,5,0.4761810242939291,99
GEN9_REL_MONOLITH,OFFSET_K3,MEDOID,1,0.63015227199747,143
GEN9_REL_MONOLITH,OFFSET_K3,MEDOID,2,0.5991669883774469,143
GEN9_REL_MONOLITH,OFFSET_K3,MEDOID,3,0.5561081351855939,140
GEN9_REL_MONOLITH,OFFSET_K3,MEDOID,5,0.5499146517306709,99
GEN9_REL_MONOLITH,SERIES_FIXED,CENTRAL_THEN_SPREAD,1,0.63015227199747,143
GEN9_REL_MONOLITH,SERIES_FIXED,CENTRAL_THEN_SPREAD,2,0.5389035137472532,143
GEN9_REL_MONOLITH,SERIES_FIXED,CENTRAL_THEN_SPREAD,3,0.48414943447181713,140
GEN9_REL_MONOLITH,SERIES_FIXED,CENTRAL_THEN_SPREAD,5,0.4637572279166046,99
GEN9_REL_MONOLITH,SERIES_FIXED,D_OPTIMAL,1,0.865597574160022,143
GEN9_REL_MONOLITH,SERIES_FIXED,D_OPTIMAL,2,0.5588050175656581,143
GEN9_REL_MONOLITH,SERIES_FIXED,D_OPTIMAL,3,0.5047734448024446,140
GEN9_REL_MONOLITH,SERIES_FIXED,D_OPTIMAL,5,0.4634593743390095,99
GEN9_REL_MONOLITH,SERIES_FIXED,MEDOID,1,0.63015227199747,143
GEN9_REL_MONOLITH,SERIES_FIXED,MEDOID,2,0.5959523194633447,143
GEN9_REL_MONOLITH,SERIES_FIXED,MEDOID,3,0.5503092330989818,140
GEN9_REL_MONOLITH,SERIES_FIXED,MEDOID,5,0.5335902993070734,99
GEN9_REL_MONOLITH,SERIES_INNER,CENTRAL_THEN_SPREAD,1,0.63015227199747,143
GEN9_REL_MONOLITH,SERIES_INNER,CENTRAL_THEN_SPREAD,2,0.5359411009801194,143
GEN9_REL_MONOLITH,SERIES_INNER,CENTRAL_THEN_SPREAD,3,0.5233935639335782,140
GEN9_REL_MONOLITH,SERIES_INNER,CENTRAL_THEN_SPREAD,5,0.44997894709914266,99
GEN9_REL_MONOLITH,SERIES_INNER,D_OPTIMAL,1,0.865597574160022,143
GEN9_REL_MONOLITH,SERIES_INNER,D_OPTIMAL,2,0.558736886479376,143
GEN9_REL_MONOLITH,SERIES_INNER,D_OPTIMAL,3,0.5454893878442059,140
GEN9_REL_MONOLITH,SERIES_INNER,D_OPTIMAL,5,0.44970271041779564,99
GEN9_REL_MONOLITH,SERIES_INNER,MEDOID,1,0.63015227199747,143
GEN9_REL_MONOLITH,SERIES_INNER,MEDOID,2,0.5922128161793424,143
GEN9_REL_MONOLITH,SERIES_INNER,MEDOID,3,0.563345252158599,140
GEN9_REL_MONOLITH,SERIES_INNER,MEDOID,5,0.5190546081659798,99
GEN9_REL_MONOLITH,SERIES_MAP,CENTRAL_THEN_SPREAD,1,0.63015227199747,143
GEN9_REL_MONOLITH,SERIES_MAP,CENTRAL_THEN_SPREAD,2,0.5958602245097017,143
GEN9_REL_MONOLITH,SERIES_MAP,CENTRAL_THEN_SPREAD,3,0.5728722701735506,140
GEN9_REL_MONOLITH,SERIES_MAP,CENTRAL_THEN_SPREAD,5,0.5734596996274665,99
GEN9_REL_MONOLITH,SERIES_MAP,D_OPTIMAL,1,0.865597574160022,143
GEN9_REL_MONOLITH,SERIES_MAP,D_OPTIMAL,2,0.6272996097931258,143
GEN9_REL_MONOLITH,SERIES_MAP,D_OPTIMAL,3,0.6003346824521287,140
GEN9_REL_MONOLITH,SERIES_MAP,D_OPTIMAL,5,0.582634017010942,99
GEN9_REL_MONOLITH,SERIES_MAP,MEDOID,1,0.63015227199747,143
GEN9_REL_MONOLITH,SERIES_MAP,MEDOID,2,0.5979919190332197,143
GEN9_REL_MONOLITH,SERIES_MAP,MEDOID,3,0.5755113766076377,140
GEN9_REL_MONOLITH,SERIES_MAP,MEDOID,5,0.5741348375290012,99
GEN9_REL_MONOLITH,SERIES_MAP_LEVELONLY,CENTRAL_THEN_SPREAD,1,0.63015227199747,143
GEN9_REL_MONOLITH,SERIES_MAP_LEVELONLY,CENTRAL_THEN_SPREAD,2,0.5970945797870009,143
GEN9_REL_MONOLITH,SERIES_MAP_LEVELONLY,CENTRAL_THEN_SPREAD,3,0.575035306618193,140
GEN9_REL_MONOLITH,SERIES_MAP_LEVELONLY,CENTRAL_THEN_SPREAD,5,0.5768449069899555,99
GEN9_REL_MONOLITH,SERIES_MAP_LEVELONLY,D_OPTIMAL,1,0.865597574160022,143
GEN9_REL_MONOLITH,SERIES_MAP_LEVELONLY,D_OPTIMAL,2,0.6289445244274968,143
GEN9_REL_MONOLITH,SERIES_MAP_LEVELONLY,D_OPTIMAL,3,0.602782210591585,140
GEN9_REL_MONOLITH,SERIES_MAP_LEVELONLY,D_OPTIMAL,5,0.5868145571250667,99
GEN9_REL_MONOLITH,SERIES_MAP_LEVELONLY,MEDOID,1,0.63015227199747,143
