global_model,policy,comparison,k_with_gain_ge_0.01,n_k_with_gain,all_seeds_positive_on_those_k,passes
GEN9_SHAPE_RECOMPOSED,D_OPTIMAL,SERIES_INNER_vs_OFFSET_K3,[5],1,True,False
GEN9_SHAPE_RECOMPOSED,D_OPTIMAL,SERIES_MAP_NOSERIES_vs_OFFSET_K3,[],0,,False
GEN9_SHAPE_RECOMPOSED,D_OPTIMAL,SERIES_MAP_vs_OFFSET_K3,[],0,,False
GEN9_SHAPE_RECOMPOSED,D_OPTIMAL,SERIES_ML_NOSERIES_vs_OFFSET_K3,"[2, 3, 5]",3,True,True
GEN9_SHAPE_RECOMPOSED,D_OPTIMAL,SERIES_ML_vs_OFFSET_K3,"[2, 3, 5]",3,True,True
GEN9_SHAPE_RECOMPOSED,D_OPTIMAL,SLOPE_L_s1_K3_vs_OFFSET_K3,[],0,,False
GEN9_SHAPE_RECOMPOSED,MEDOID,OFFSET_K1_vs_OFFSET_K3,[],0,,False
GEN9_SHAPE_RECOMPOSED,MEDOID,SERIES_FIXED_vs_OFFSET_K3,[5],1,True,False
GEN9_SHAPE_RECOMPOSED,MEDOID,SERIES_INNER_vs_OFFSET_K3,[5],1,False,False
GEN9_SHAPE_RECOMPOSED,MEDOID,SERIES_MAP_NOSERIES_vs_OFFSET_K3,[],0,,False
GEN9_SHAPE_RECOMPOSED,MEDOID,SERIES_MAP_vs_OFFSET_K3,[],0,,False
GEN9_SHAPE_RECOMPOSED,MEDOID,SERIES_ML_NOSERIES_vs_OFFSET_K3,"[3, 5]",2,True,True
GEN9_SHAPE_RECOMPOSED,MEDOID,SERIES_ML_vs_OFFSET_K3,"[2, 3, 5]",3,True,True
GEN9_SHAPE_RECOMPOSED,MEDOID,SLOPE_L_s1_K3_vs_OFFSET_K3,[],0,,False
