global_model,policy,k,comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_FIXED_vs_OFFSET_K3,0.0020232665934281375,-0.0004829869152709327,0.00411017537154008,-9.180051596155272e-05,0.004548695643826875,0.00045245331656897986,143,35,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_INNER_vs_OFFSET_K3,0.00498567936056192,-0.0023738314773221318,0.013979740068338114,-0.0008672905142773173,0.01840032331873069,0.003369238893173007,143,63,4,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_ML_vs_OFFSET_K3,0.02770893419211299,0.018924248315128213,0.037362456952390315,0.019367838574507797,0.03802254675448523,0.03123003013152829,143,92,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_ML_NOSERIES_vs_OFFSET_K3,0.01749367607390581,0.010375560018408383,0.024383233674615798,0.010497987113236565,0.02447397026188389,0.02097502622887867,143,88,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_MAP_vs_OFFSET_K3,-0.05493344416902041,-0.07194805900793573,-0.0391371192448814,-0.07345029934188206,-0.040281361084167494,-0.06157867301814284,143,34,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SERIES_MAP_NOSERIES_vs_OFFSET_K3,-0.06062302086074715,-0.0763741447625817,-0.04344639701671781,-0.07830335005611883,-0.04466749191125959,-0.0644170969774532,143,32,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,SLOPE_L_s1_K3_vs_OFFSET_K3,0.010125309710740688,0.0019001689784056241,0.019836606146839682,0.004180069947464911,0.026706180621783114,0.005066490987505584,143,19,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,2,OFFSET_K1_vs_OFFSET_K3,-0.06224374737077154,-0.07831671426463221,-0.04452692105439567,-0.0804840281380186,-0.04578534603636483,-0.06586422765157043,143,31,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_FIXED_vs_OFFSET_K3,0.004541784598902599,4.534797365151411e-05,0.008417287345795737,0.0008217161280181555,0.009271866241790784,0.001711755821422527,140,34,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_INNER_vs_OFFSET_K3,-0.0347023448628583,-0.05039660159122088,-0.02161644110986103,-0.05000145380298964,-0.021131065963483797,-0.04501691333736144,140,36,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_ML_vs_OFFSET_K3,0.03298242735089694,0.022754693474162903,0.04401934491175816,0.0228498493412445,0.04421407950398849,0.0341063688535912,140,91,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_ML_NOSERIES_vs_OFFSET_K3,0.019333367710243157,0.012760788020534253,0.027212479775434523,0.013269072060230558,0.027789473209036304,0.023540962812521386,140,93,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_MAP_vs_OFFSET_K3,-0.08418105110283078,-0.11166533068526545,-0.0616696477214657,-0.11226814195007723,-0.06211748908793851,-0.09745782525906742,140,27,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SERIES_MAP_NOSERIES_vs_OFFSET_K3,-0.09841626516049348,-0.12369131026758529,-0.07453554593270945,-0.12826428915914495,-0.07754802719295352,-0.10642089916632218,140,24,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,SLOPE_L_s1_K3_vs_OFFSET_K3,0.009197216532200634,0.0012109253221086243,0.017777354445817222,0.0030785818952952437,0.024084190460720526,0.004252544237810814,140,20,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,3,OFFSET_K1_vs_OFFSET_K3,-0.10115868175903366,-0.1270109309088635,-0.07638201006049973,-0.13205872437905444,-0.07982902647733929,-0.10914539131498752,140,24,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,5,SERIES_FIXED_vs_OFFSET_K3,0.014171356988127794,0.004002419867652837,0.023679693998032828,0.0059421908287847,0.026777834575527223,0.01039419486358298,99,32,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,5,SERIES_INNER_vs_OFFSET_K3,0.02794963780558975,0.017188320070890387,0.04426575311118824,0.01686109784760268,0.04399586179443448,0.03361135582918821,99,65,4,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,5,SERIES_ML_vs_OFFSET_K3,0.04380251632814937,0.028285482143763606,0.05828040297212667,0.0295240518946814,0.059345495255250874,0.04512090680913327,99,74,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,5,SERIES_ML_NOSERIES_vs_OFFSET_K3,0.016045493284214663,0.009993262851656796,0.024564017544810492,0.010061234428431725,0.024832887765134325,0.021879931045008346,99,64,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,5,SERIES_MAP_vs_OFFSET_K3,-0.09553111472273405,-0.13799633520528143,-0.06252934460020311,-0.13273040335498282,-0.05732681329228328,-0.12220038205463327,99,21,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,5,SERIES_MAP_NOSERIES_vs_OFFSET_K3,-0.12662673691099297,-0.15936904968801896,-0.09610720359026352,-0.16104617825629344,-0.09724639711290062,-0.14508681864265194,99,14,0,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,5,SLOPE_L_s1_K3_vs_OFFSET_K3,0.010184320423721372,0.0028995945585604194,0.02207756194680022,0.0043908033688878694,0.02844931072285711,0.0077057196168217115,99,22,5,5
GEN9_REL_MONOLITH,CENTRAL_THEN_SPREAD,5,OFFSET_K1_vs_OFFSET_K3,-0.1308953632216928,-0.16515044408352444,-0.09919765597641036,-0.16650989579980033,-0.10052172126260962,-0.1499620925193055,99,15,0,5
GEN9_REL_MONOLITH,D_OPTIMAL,2,SERIES_FIXED_vs_OFFSET_K3,0.0007486079110398037,-0.001626684088369228,0.00225463929271977,-0.0014506615243311042,0.0023601998826507397,-0.0003540920601317933,143,31,5,5
GEN9_REL_MONOLITH,D_OPTIMAL,2,SERIES_INNER_vs_OFFSET_K3,0.0008167389973219131,-0.007962315650045348,0.008848309262473172,-0.006330545872750051,0.011827099571930814,-0.002855062072389666,143,61,3,5
GEN9_REL_MONOLITH,D_OPTIMAL,2,SERIES_ML_vs_OFFSET_K3,0.022376710190422696,0.013741133685511709,0.0318250430118773,0.014219189807173278,0.03260133744498525,0.025155489710179908,143,88,5,5
GEN9_REL_MONOLITH,D_OPTIMAL,2,SERIES_ML_NOSERIES_vs_OFFSET_K3,0.016708853632077282,0.0101181479680553,0.0235148120704845,0.010454254560907008,0.02404607204581816,0.019194778236584043,143,86,5,5
GEN9_REL_MONOLITH,D_OPTIMAL,2,SERIES_MAP_vs_OFFSET_K3,-0.06774598431642777,-0.09101099685664302,-0.051717787773328264,-0.09267095825677765,-0.05235261195757758,-0.07635937958259142,143,30,0,5
GEN9_REL_MONOLITH,D_OPTIMAL,2,SERIES_MAP_NOSERIES_vs_OFFSET_K3,-0.07105375774162115,-0.08855170307249213,-0.05498088682864551,-0.09066741073988732,-0.05654008463837212,-0.07596173895612385,143,27,0,5
GEN9_REL_MONOLITH,D_OPTIMAL,2,SLOPE_L_s1_K3_vs_OFFSET_K3,0.011817660621546903,-0.0001317593263150614,0.02333631989165201,0.003300221609808443,0.0297850927022292,0.0036455754460039055,143,17,5,5
GEN9_REL_MONOLITH,D_OPTIMAL,2,OFFSET_K1_vs_OFFSET_K3,-0.07299039455127812,-0.09057628585869634,-0.056434576256584205,-0.09271061955928218,-0.05803166351872324,-0.0776831402259004,143,26,0,5
