model,k,zero_shot,offset_only,no_model,affine,n_ligands
NULL_metal_cond,0,1.0401801756676579,,,,143
NULL_metal_cond,1,1.0387249766222597,0.814956277970406,0.8650139793393643,,143
NULL_metal_cond,2,1.0382726825047677,0.6982863786953777,0.753785563959782,4.258247391973403,143
NULL_metal_cond,3,1.036379254979321,0.6643134083732614,0.7148353515483964,0.856618530233899,143
NULL_metal_cond,5,1.0693129124085912,0.6637643591485166,0.7089607213643077,0.6068998379998913,132
NULL_metal_cond,8,1.118113335275689,0.6669012245958564,0.751287810882555,0.5416484975844688,99
REAL_best_tree,0,1.019604558603973,,,,143
REAL_best_tree,1,1.0186884084381944,0.729969310253779,0.8600949721682689,,143
REAL_best_tree,2,1.0172169235277482,0.6356373566878111,0.7543917647293047,5.393183427258943,143
REAL_best_tree,3,1.0167805870548159,0.5995215470957981,0.7119052827186448,1.204039017925259,143
REAL_best_tree,5,1.0386954121931036,0.5928084979846309,0.7111888972270898,0.5437962298222933,132
REAL_best_tree,8,1.0742431739302887,0.6231027137089327,0.7538089375392081,0.5099156669524458,99
