outer_fold,ablation,n_rows,mae,rmse,r2,pearson,spearman
0,A0,956,0.30739411733392263,0.581040162607295,-0.23372507036889556,0.09123006776304331,0.08935774590163861
0,A1,956,0.3895142632802239,0.5144002243053033,0.03304028017787264,0.7126996442063188,0.4104259973435669
0,A2,956,0.4189821849833237,0.5848204026135332,-0.24983049097733923,0.552528142257833,0.33897778959886027
0,A3,956,0.425362716887946,0.552939451697333,-0.11727798063377115,0.6441045978559559,0.31143688513161016
0,A4,956,0.41585954325582397,0.5736530712458197,-0.20255439759786142,0.5588546604450244,0.3360422326731968
0,A5,956,0.4143657037701166,0.5602454179733092,-0.14699813375878623,0.5636574543836216,0.33412716948796756
0,A6,956,0.4120007240055875,0.5545848429488541,-0.12393727986719538,0.5669680104957833,0.3275918540875219
0,A2+D1,956,0.4197487963287099,0.5735351746959003,-0.20206015307013292,0.5521216360746434,0.33735009444492353
0,A2+D2,956,0.41893670456385906,0.5770514924227098,-0.21684488763547582,0.5583964094780187,0.3383494839726708
0,A2+D3,956,0.4150128140099977,0.57437510240922,-0.2055835043098262,0.5616796425931859,0.33992231477842894
0,A2+D4,956,0.42266624084669563,0.5828602973304692,-0.24146657645187797,0.5550935009722054,0.32942435653036367
0,A2+D5,956,0.41870669558232176,0.5791521077419985,-0.22572026710235127,0.5540016644130688,0.3356244770845718
0,A5_SHUFFLED_s1009,956,0.4192197254260805,0.5746194521809247,-0.20660947745371971,0.558750908114228,0.3340322245391381
0,A5_SHUFFLED_s2017,956,0.42532116369978085,0.5815200004396085,-0.23576359521090406,0.5453441797548265,0.32432891828546434
0,A5_SHUFFLED_s3019,956,0.4197775980846213,0.5728062903431094,-0.19900678813606842,0.5548632307393458,0.3300298386045854
1,A0,916,0.507965849889883,0.7213414863898153,-0.718785093006004,0.27328880367853225,0.040897071773981115
1,A1,916,0.2827416948885258,0.4186892415682415,0.4209402735932327,0.6952490669660919,0.6169807449310645
1,A2,916,0.2585944238706868,0.36355049724457633,0.5634145644978111,0.7801623806208969,0.6784387033915482
1,A3,916,0.2805721573895809,0.42382411770117434,0.4066498031758168,0.6822855854048517,0.643277405393217
1,A4,916,0.26675914848481475,0.36421206691458946,0.5618241692989008,0.771156467792473,0.6562005847940762
1,A5,916,0.27062747183887764,0.371461682325924,0.5442068435269674,0.7616171936031981,0.6575499065294568
1,A6,916,0.2690764225038397,0.3666782302048441,0.5558701014007532,0.7654162546430442,0.6629393751289013
1,A2+D1,916,0.2573972711021386,0.36568291236481765,0.5582779370467962,0.7707377366285083,0.6634593795061547
1,A2+D2,916,0.2674517025916303,0.3682090573825,0.5521540076985781,0.769704166073082,0.6589353215719532
1,A2+D3,916,0.26441325599281407,0.3672548172923875,0.5544722496542762,0.7755604342345658,0.6820956280560343
1,A2+D4,916,0.2630303821137181,0.3686831994759035,0.550999884253466,0.7718699717269676,0.6726638812671781
1,A2+D5,916,0.2567787780888163,0.36288182190013213,0.5650191033054143,0.7787097920512328,0.6813955943295689
1,A5_SHUFFLED_s1009,916,0.27217235970960185,0.37229116736490486,0.5421689712671784,0.760244976886031,0.6433009943460904
1,A5_SHUFFLED_s2017,916,0.2733465711786453,0.3705005154066835,0.5465625455325036,0.7641975730864382,0.6480383120764482
1,A5_SHUFFLED_s3019,916,0.27867123368168933,0.37430017736808013,0.5372144145132678,0.7605713554860541,0.6478514072427001
2,A0,915,0.9472198742246143,1.263244443776769,-0.8354164469719756,-0.21573870410951596,-0.24306784496319436
2,A1,915,0.4269550565476558,0.6042336864775083,0.5800769701556587,0.7785994742270267,0.8082583867278236
2,A2,915,0.4072099527370724,0.6155715357205226,0.5641702371359165,0.764188559047978,0.8114542621043584
2,A3,915,0.4554373045867162,0.6692520167614433,0.4848434776255003,0.7275442711085873,0.7870236689467772
2,A4,915,0.42046642382618915,0.6299535213568788,0.5435672047482023,0.7529253003902922,0.8040191933736938
2,A5,915,0.42943633826363276,0.6453232122060483,0.5210232868542224,0.7337456276621406,0.8034140904210388
2,A6,915,0.43392434813104375,0.6491667301553161,0.5153007655302302,0.730956766759864,0.8008772361974967
2,A2+D1,915,0.42538545453548743,0.6276319158755321,0.5469252438255298,0.7537196261299253,0.8093513178560603
2,A2+D2,915,0.41453035462287763,0.6199494156203408,0.557949042581635,0.7591651048961713,0.8122808749992005
2,A2+D3,915,0.40987856007717,0.637778952974904,0.5321569394633097,0.7379230241584285,0.7985705207250109
2,A2+D4,915,0.41795550008852833,0.6228778505257682,0.5537629756026239,0.756057700859243,0.8107069552630805
2,A2+D5,915,0.4105309528358218,0.6160590043831892,0.5634797000990182,0.7621794273963645,0.8159404813872869
2,A5_SHUFFLED_s1009,915,0.43425039001825216,0.6340268635098264,0.5376454413475541,0.7500542521983845,0.8009640250559327
2,A5_SHUFFLED_s2017,915,0.42690247909227685,0.6305209300422192,0.5427446025755256,0.7523238332304174,0.8089466491117165
2,A5_SHUFFLED_s3019,915,0.42385605237964374,0.6245505416563655,0.5513630863309116,0.7572228721393806,0.8127483519224368
3,A0,2921,0.7312620399701275,1.0027480731026428,-0.9259393407369374,0.024950447785586232,-0.03605412340114017
3,A1,2921,0.6320651136140564,0.9047551817045084,-0.5679098570736911,0.28590315663213195,0.2147877051190289
3,A2,2921,0.5047496195248569,0.7129462793457797,0.026417977111831692,0.49240387454627477,0.6134415768186098
3,A3,2921,0.6366171345294801,0.9443095286126085,-0.7079992523394931,0.1105885040896332,0.13614058013638516
3,A4,2921,0.5063534638792608,0.7176431280216767,0.01354791906927344,0.4818955468444326,0.6363252125354512
3,A5,2921,0.496554096567924,0.7047459165713506,0.04868560454816073,0.4931284862915601,0.6120593190452399
3,A6,2921,0.49009811017543253,0.6967840386069284,0.07005916300831128,0.5049239559867352,0.6203242689641593
3,A2+D1,2921,0.5036478632839723,0.7181974284884037,0.012023478869314541,0.47262522692666226,0.6480038566686819
3,A2+D2,2921,0.5037716709304059,0.7149266527380407,0.02100176610079607,0.48002330625294226,0.6313474575251927
3,A2+D3,2921,0.5079745429981394,0.7113356605748589,0.030811851689971803,0.49974403381501264,0.593695775004641
3,A2+D4,2921,0.5041194760543841,0.7181155820817545,0.012248647374046295,0.47498582051851107,0.632967895452125
3,A2+D5,2921,0.5119403877521974,0.7279689339652924,-0.015043430438617333,0.46138792157175024,0.6355396617197743
3,A5_SHUFFLED_s1009,2921,0.5008438518019066,0.7088395424138152,0.03760179264571484,0.4838469909329735,0.6213580246360265
3,A5_SHUFFLED_s2017,2921,0.5013674031634419,0.7130332676358622,0.026180384450198213,0.4819393033077517,0.6361944922389886
