ablation,outer_fold,candidate_index,inner_fold_count,inner_split_seed,max_features,min_samples_leaf,inner_macro_group_mae,inner_n_rows,inner_mae,inner_rmse,inner_r2,inner_pearson,inner_spearman,selected
A0,0,0,3,42,0.35,2,0.697997767699452,5743,0.7059707713156984,1.0030725207983964,-0.7595146265503483,-0.011820522546599774,-0.012379137392888508,True
A0,0,1,3,42,0.7,2,0.697997767699452,5743,0.7059707713156984,1.0030725207983964,-0.7595146265503483,-0.10244893988421593,-0.10803236553002225,False
A0,0,2,3,42,1.0,4,0.697997767699452,5743,0.7059707713156984,1.0030725207983964,-0.7595146265503483,0.021578096281527848,-0.024942737192722855,False
A1,0,0,3,42,0.35,2,0.39437583037319485,5743,0.5060510021965708,0.7656894093251068,-0.025258776389765814,0.43717631069641455,0.40760284328706825,True
A1,0,1,3,42,0.7,2,0.4094874076989178,5743,0.5278150209352827,0.8044734835024726,-0.13175307404089742,0.3919473364054934,0.32698525031080783,False
A1,0,2,3,42,1.0,4,0.42310961238227884,5743,0.5549106571623484,0.8538732465060551,-0.27501421954466165,0.33594593685250995,0.2641900859740643,False
A2,0,0,3,42,0.35,2,0.37248717593453257,5743,0.37513197122462716,0.5458170698361688,0.4790183311873527,0.6954262899105128,0.6916193540598944,True
A2,0,1,3,42,0.7,2,0.3755934430081523,5743,0.3874575627937039,0.5637749232131403,0.4441728913548225,0.6723159305959417,0.6754980652814401,False
A2,0,2,3,42,1.0,4,0.3886293667859273,5743,0.4035211903605742,0.5843707305358473,0.4028201769828633,0.6453977201517137,0.6660127280211142,False
A3,0,0,3,42,0.35,2,0.3805825796515553,5743,0.4817139832087687,0.7210739921596547,0.0907404346034395,0.48236922540121385,0.46551830793726545,True
A3,0,1,3,42,0.7,2,0.3848763033922875,5743,0.5216231795882218,0.8087507273450623,-0.14381973071631116,0.36722012909268115,0.3176906873064382,False
A3,0,2,3,42,1.0,4,0.389761713627919,5743,0.5266590639932168,0.8185698116890573,-0.1717626844513167,0.3540767408038997,0.3160854759768417,False
A4,0,0,3,42,0.35,2,0.3721445124902509,5743,0.36347791966731025,0.529826882667555,0.5090964245070039,0.7149602750339986,0.7045129427191097,True
A4,0,1,3,42,0.7,2,0.37332176230184727,5743,0.3792333856539286,0.5541644787027722,0.46296129811777,0.6847723809893413,0.6915618427110292,False
A4,0,2,3,42,1.0,4,0.3826622015617748,5743,0.39592822302782105,0.577499108382898,0.4167820911678589,0.6548524673153978,0.6825669328885993,False
A5,0,0,3,42,0.35,2,0.37039145509231836,5743,0.3666855781447479,0.5374702398781965,0.49483057262522345,0.7056191254001655,0.7038222073964447,True
A5,0,1,3,42,0.7,2,0.3722275266859655,5743,0.37510838034706684,0.5527521511291891,0.46569517256365056,0.6861133303670857,0.6937855734252478,False
A5,0,2,3,42,1.0,4,0.3812288274662603,5743,0.39261044571316683,0.5728426032210461,0.42614940718000627,0.6603209937467401,0.6805983444069315,False
A6,0,0,3,42,0.35,2,0.37325630310475505,5743,0.3626852277956735,0.5318744747729655,0.5052947578451885,0.7124846721466176,0.7066826562520545,False
A6,0,1,3,42,0.7,2,0.3716388819926795,5743,0.3700277145378844,0.5452153561685943,0.48016636782972344,0.6955929255083461,0.6968847244465125,True
A6,0,2,3,42,1.0,4,0.3803072225101167,5743,0.3922894595325142,0.5730788048049117,0.4256760751937191,0.6599239184840491,0.6853664398489385,False
A2+D1,0,0,3,42,0.35,2,0.374248176836739,5743,0.37745685254964995,0.5488282260887402,0.47325418585087675,0.6912592872554594,0.6977251999575341,False
A2+D1,0,1,3,42,0.7,2,0.37286074464071284,5743,0.385914844887238,0.5593214359728024,0.45291961584379514,0.677978758107543,0.6841768755092523,True
A2+D1,0,2,3,42,1.0,4,0.38116404428175843,5743,0.3975908306258236,0.5760874064113907,0.4196299693411554,0.6571469209879675,0.6790454680209435,False
A2+D2,0,0,3,42,0.35,2,0.37676723333175033,5743,0.3794090345629285,0.5497342986531001,0.47151351773073313,0.6904614297126335,0.6956669899827653,True
