,frac_donor_pairs_within_3
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,0.6666666666666666
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,0.6666666666666666
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,0.0
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.6666666666666666
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0.0
CCCCCCOP(=O)(O)OCCCCCC,1.0
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,0.5
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,1.0
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,0.39285714285714285
CCCCN(C)C(=O)CC(=O)N(C)CCCC,0.0
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,0.0
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,0.0
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,0.0
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,0.6666666666666666
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.5
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,0.3333333333333333
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0.6666666666666666
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,0.47619047619047616
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,0.5
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,0.5
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,0.5
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,0.5
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,0.5
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,0.6666666666666666
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,0.6666666666666666
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,0.6666666666666666
CCN(CC)C(=O)COCC(=O)N(CC)CC,0.6666666666666666
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,0.5
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,0.0
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,0.6666666666666666
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,0.6666666666666666
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,0.09523809523809523
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,0.6666666666666666
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,0.28888888888888886
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,0.3055555555555556
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,0.5
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0.1
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,0.4
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,0.4
