seed,target,n_chemotype_units,family_size,null_p95,observed_max_abs_rho,argmax,familywise_p
20260909,a,40,12,0.6043956043956044,0.6016511867905057,NAIVE__S14,0.054
20260909,abs_a,40,12,0.6099071207430341,0.4238866396761134,NAIVE__S3,0.3545
20260909,b,40,12,0.5913312693498451,0.7502579979360166,NAIVE__S14,0.005
777001,a,40,12,0.5957003368148878,0.6016511867905057,NAIVE__S14,0.047
777001,abs_a,40,12,0.6119711042311662,0.4238866396761134,NAIVE__S3,0.35
777001,b,40,12,0.6078905408317172,0.7502579979360166,NAIVE__S14,0.005
424243,a,40,12,0.6,0.6016511867905057,NAIVE__S14,0.0495
424243,abs_a,40,12,0.6058380221653878,0.4238866396761134,NAIVE__S3,0.3635
424243,b,40,12,0.6087912087912088,0.7502579979360166,NAIVE__S14,0.0035
