model,set,target,n,rho,p,partial_rho_n_metals,pearson
NAIVE,S8,a,62,0.39200725239857975,0.001627107947089192,0.3847158447130993,0.36883301536696844
NAIVE,S8,abs_a,62,-0.34355720077560375,0.006259420019470485,-0.3239561813806775,-0.2708220357217796
NAIVE,S8,b,62,0.48769862254790874,5.8070933113608426e-05,0.47728485658593006,0.3771229375734246
NAIVE,S14,a,39,0.6439271255060729,9.745568326920046e-06,0.6453296235637039,0.6642611356882219
NAIVE,S14,abs_a,39,-0.4246963562753037,0.0070423862449584245,-0.408887782770361,-0.45286503594661565
NAIVE,S14,b,39,0.640080971659919,1.144538545171916e-05,0.6480450918984773,0.6304021884742537
NAIVE,S3,a,81,0.4665085817524842,1.1353583454718009e-05,0.4446307016464595,0.3576076767311323
NAIVE,S3,abs_a,81,-0.40345528455284546,0.00018791676323412507,-0.35404348750501097,-0.27384185460724064
NAIVE,S3,b,81,0.37513550135501356,0.0005591883225309026,0.34522490714435633,0.23009354567353577
ELEM,S8,a,62,0.31338923723905215,0.013129495597396356,0.2989058994577894,0.2940694930515432
ELEM,S8,abs_a,62,-0.43199617234519405,0.00045480770138694386,-0.366106181996112,-0.4462838488800584
ELEM,S8,b,62,0.23895142403867947,0.0614269306552851,0.14965647746771807,0.2770557116172759
ELEM,S14,a,39,0.39635627530364376,0.012490839172481519,0.3963006897254867,0.33548557880449925
ELEM,S14,abs_a,39,-0.5548582995951417,0.0002465659193245822,-0.5399034306219835,-0.5540654752016144
ELEM,S14,b,39,0.18846153846153849,0.25056354350299703,0.13762339013342767,0.20333269268934856
ELEM,S3,a,81,0.20282294489611563,0.06937664256642796,0.18066888571922843,0.13263685575561793
ELEM,S3,abs_a,81,-0.1936088527551942,0.08330494529897174,-0.1436630688949583,-0.1803977012390241
ELEM,S3,b,81,0.21883468834688347,0.049674001053548196,0.19397512791101593,0.2693729524127678
SPECIES,S8,a,62,-0.08367958500163683,0.5178778229378215,-0.0808874825693345,-0.1566130798218486
SPECIES,S8,abs_a,62,0.0301427815970386,0.8160975680117113,0.020819221467888126,0.07198521246036807
SPECIES,S8,b,62,-0.06625368285865378,0.6089113843790471,-0.05889075516385779,-0.06775940351883747
SPECIES,S14,a,39,-0.04817813765182186,0.7708582247850755,-0.04615172679370828,-0.2007910097476833
SPECIES,S14,abs_a,39,0.012348178137651822,0.9405264886869139,-0.011137307148974936,0.10556747716895841
SPECIES,S14,b,39,-0.07510121457489878,0.6495479874452132,-0.05398552583947602,-0.16473394218623638
SPECIES,S3,a,81,-0.041666666666666664,0.711880348807313,-0.03773168993089576,-0.05899115531528582
SPECIES,S3,abs_a,81,-0.012262872628726286,0.9134765163875231,-0.027369538750108027,0.027385770423266443
SPECIES,S3,b,81,-0.14130532971996387,0.20828111351125803,-0.139407462463814,-0.1218922104384833
SPECIES_NFILLCOL,S8,a,62,0.3738258920702072,0.00276312036116654,0.3703399642659966,0.353027809706356
SPECIES_NFILLCOL,S8,abs_a,62,-0.3050288333207424,0.01592297850169909,-0.3020258299370031,-0.43445053734588646
SPECIES_NFILLCOL,S8,b,62,0.329707134043464,0.008873249705935228,0.32827791131023876,0.36256717075875033
SPECIES_NFILLCOL,S14,a,39,0.2641700404858299,0.10414515607681155,0.270913750438335,0.12447870669754589
SPECIES_NFILLCOL,S14,abs_a,39,-0.26336032388663966,0.1052502227283707,-0.333467996366511,-0.3743904585824218
SPECIES_NFILLCOL,S14,b,39,0.20445344129554657,0.21184500675005546,0.28237343938939924,0.002763353191030188
SPECIES_NFILLCOL,S3,a,81,0.3785004516711833,0.00049372645698915,0.37882389972840724,-0.043126437843627664
SPECIES_NFILLCOL,S3,abs_a,81,-0.17000903342366758,0.12917356742832395,-0.1743191906997257,0.07071912630604812
SPECIES_NFILLCOL,S3,b,81,0.30679765130984643,0.00533987439338991,0.30660213993551333,0.17515937768039563
SPECIES_CONST,S8,a,19,0.16666666666666666,0.49526609078386524,0.15606411973695308,-0.007215264624351682
SPECIES_CONST,S8,abs_a,19,0.02280701754385965,0.9261610601906637,-0.034119028362820505,-0.1511530976596716
SPECIES_CONST,S8,b,19,-0.12105263157894736,0.6215490254755144,-0.05315765233906667,0.0032809140480965435
SPECIES_CONST,S14,a,11,0.15454545454545454,0.6500339654975799,0.1620076565842964,-0.19024733605707114
SPECIES_CONST,S14,abs_a,11,0.018181818181818184,0.9576852410216187,0.020994555243259105,-0.19786032885820917
SPECIES_CONST,S14,b,11,-0.30000000000000004,0.37008312228206763,-0.3273268353539884,-0.10745551630628765
SPECIES_CONST,S3,a,33,0.1985294117647059,0.2680520068083982,0.20705341722359846,0.06705501589388503
SPECIES_CONST,S3,abs_a,33,-0.012366310160427808,0.945544926243306,0.0555928437691945,-0.07061983651607855
SPECIES_CONST,S3,b,33,0.06417112299465241,0.7227491000021532,0.05727750872061096,-0.024272660405751625
CYCLE_ADD,S8,a,62,0.2906247639193171,0.0219336391080249,0.27518249741584616,0.21563436735761227
CYCLE_ADD,S8,abs_a,62,-0.3852081287300748,0.001990401456708168,-0.32408718784755447,-0.36128518741543364
CYCLE_ADD,S8,b,62,0.1573619400166201,0.22190428470606247,0.07241242851186566,0.10337621164026953
CYCLE_ADD,S14,a,39,0.39655870445344127,0.012441889161204655,0.39789237932257876,0.25605443119937676
CYCLE_ADD,S14,abs_a,39,-0.4348178137651822,0.005671496035784683,-0.3986715883980631,-0.40024689034833993
CYCLE_ADD,S14,b,39,0.20303643724696357,0.21509771728808194,0.13869689592203394,0.0784194761668622
CYCLE_ADD,S3,a,81,0.15749774164408312,0.1602506635780746,0.13911153834285844,0.04732426534278868
CYCLE_ADD,S3,abs_a,81,-0.19751580849141823,0.07714964039679902,-0.1634574534763371,-0.09615315654728933
CYCLE_ADD,S3,b,81,0.1287262872628726,0.25208402981077943,0.10677345650003418,0.1784764776166543
CYCLE_CONSTGAMMA,S8,a,62,0.1892422754400544,0.14071928839456108,0.20450863101131814,-0.031010368373406687
CYCLE_CONSTGAMMA,S8,abs_a,62,0.033869708644959834,0.7938319429885711,-0.007203130823258607,0.20133150467244376
CYCLE_CONSTGAMMA,S8,b,62,0.13832439374480623,0.2836454863848824,0.19100765332440492,0.03171966646892876
CYCLE_CONSTGAMMA,S14,a,39,0.22267206477732795,0.17303355835696915,0.23180149596329913,0.015204038524912486
CYCLE_CONSTGAMMA,S14,abs_a,39,0.06923076923076923,0.6753750646225941,0.010034625090583903,0.19382326216511198
CYCLE_CONSTGAMMA,S14,b,39,0.22955465587044535,0.15978944261815253,0.32972306926398376,0.15818213511611068
CYCLE_CONSTGAMMA,S3,a,81,0.32332881662149954,0.0032373824879400786,0.31817853052203204,0.05674195294826749
CYCLE_CONSTGAMMA,S3,abs_a,81,-0.1242999096657633,0.26889723825448447,-0.10870903027324967,0.06969097487681031
CYCLE_CONSTGAMMA,S3,b,81,0.12183830171635049,0.27856699969781457,0.11141424318695639,0.0016660677244308177
SPECIES_NODELTA,S8,a,62,0.034474075193271385,0.7902361821136845,0.030998208423127276,0.000737441186817418
SPECIES_NODELTA,S8,abs_a,62,-0.17992495782025134,0.16170861761426344,-0.1775178588045754,-0.07417457976674831
SPECIES_NODELTA,S8,b,62,0.243635264788094,0.05636437494248599,0.24492883889992562,0.17734958017579489
SPECIES_NODELTA,S14,a,39,0.3038461538461539,0.060037953959115944,0.30224740693703384,0.21416075368863524
SPECIES_NODELTA,S14,abs_a,39,-0.2755060728744939,0.08958589290440082,-0.24623165637908348,-0.17976919892516638
SPECIES_NODELTA,S14,b,39,0.35769230769230775,0.02537442922804153,0.33504918613013523,0.2901490678382751
SPECIES_NODELTA,S3,a,81,-0.027145438121047877,0.8098992517452844,-0.03339862437902954,-0.019311054526017297
SPECIES_NODELTA,S3,abs_a,81,-0.17093495934959352,0.1270705051876812,-0.17886475766756044,-0.012738241638805728
SPECIES_NODELTA,S3,b,81,0.1210478771454381,0.2817205855397954,0.11747347600122045,0.06344114973768195
