n,rho_true,power_alpha0.05
19,0.2,0.11927126740892141
19,0.3,0.21507051605753158
19,0.4,0.3591281821820749
19,0.5,0.5449684321220414
19,0.6,0.7439892055132119
19,0.644,0.8229716846697747
39,0.2,0.20921834882264775
39,0.3,0.4177304992303989
39,0.4,0.6693311194203203
39,0.5,0.8747873642701726
39,0.6,0.9752065662976893
39,0.644,0.991108424301982
62,0.2,0.3120549448932557
62,0.3,0.6113970505282417
62,0.4,0.8664900311350643
62,0.5,0.9783346531150765
62,0.6,0.9989037371150647
62,0.644,0.999830390935608
