extractant,n_comp,nligs_range,step_r,frac_at_max_nligs,mean_nligs,mean_nNO3,mean_nH2O,n_series_rows,a,b,abs_a,n_metals,n_cells,chemotype,S8,S14,n_computed_metals
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,2,0.0,,1.0,1.0,1.0,0.75,4,0.07601097493086181,0.08206296817636363,0.07601097493086181,5.0,1,sc000,False,False,4
C1COCCOCCOCCOCCOCCO1,2,0.0,,1.0,1.0,1.0,0.75,4,0.05620718295732292,0.12910069076729588,0.05620718295732292,5.0,1,sc001,False,False,4
CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.39938883955557464,-0.1699606779354635,0.39938883955557464,14.0,1,sc007,True,True,14
CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1,0.0,,1.0,4.0,0.0,1.0,4,0.049124075720208875,-0.15507499511061024,0.049124075720208875,6.0,1,sc008,False,False,4
CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,2,1.0,-0.49135303401225666,0.625,2.625,0.375,0.0,8,-0.2693053833143338,-0.05096963941908241,0.2693053833143338,8.0,1,sc010,True,False,8
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,1,0.0,,1.0,1.0,2.0,0.0,13,-0.16376265295219228,-0.30430381692878367,0.16376265295219228,14.0,1,sc012,True,False,13
CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,1,0.0,,1.0,3.0,0.0,0.0,13,-1.1208407620802023,-0.3852941095623312,1.1208407620802023,14.0,1,sc015,True,False,13
CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.4482833055526018,-0.2596426328844968,0.4482833055526018,14.0,1,sc009,True,True,14
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.2600410324986765,-0.03929510873838907,0.2600410324986765,11.0,4,sc009,True,True,14
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1,0.0,,1.0,4.0,0.0,1.0,3,0.03929164417066978,-0.11854091718079607,0.03929164417066978,6.0,1,sc017,False,False,3
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,2,1.0,-0.49135303401225666,0.5,2.5,0.0,1.0,6,-0.46063267360784843,0.1401303860221489,0.46063267360784843,5.7272727272727275,11,sc018,False,False,6
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.7847921858795874,-0.10437334281597316,0.7847921858795874,14.0,1,sc009,True,True,14
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.569600970402105,-0.09861878784918293,0.569600970402105,14.0,1,sc019,True,True,14
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,1,0.0,,1.0,2.0,0.0,1.0,4,0.029087123427637352,-0.4690365346128549,0.029087123427637352,7.0,3,sc020,False,False,4
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,2,1.0,-0.26778740353667696,0.5384615384615384,2.5384615384615383,0.0,0.9230769230769231,13,-1.2616648349370063,-0.10111352330586142,1.2616648349370063,13.0,1,sc009,True,False,13
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,-1.0989182138161144,-0.09950622864584704,1.0989182138161144,14.0,1,sc021,True,True,14
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,2,1.0,-0.26778740353667696,0.4,2.4,0.6,0.0,5,-0.05578616328538173,-0.11153818975655101,0.05578616328538173,6.7272727272727275,11,sc009,False,False,5
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,3,1.0,0.9188301736029262,0.9285714285714286,1.9285714285714286,0.0,0.7857142857142857,14,0.07325366982190169,0.025548324705261766,0.07325366982190169,7.2,10,sc009,True,True,14
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,2,1.0,-0.26778740353667696,0.7777777777777778,2.7777777777777777,0.2222222222222222,0.0,9,-0.20480419002779032,-0.18495142442585483,0.20480419002779032,8.0,5,sc027,True,False,9
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,-0.08144215954670339,0.007402979123800198,0.08144215954670339,6.4,20,sc009,True,True,14
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,2,1.0,-0.49135303401225666,0.7142857142857143,2.7142857142857144,0.2857142857142857,0.0,7,-0.3037287353869552,0.045045909590600695,0.3037287353869552,8.0,1,sc009,False,False,7
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,-0.06633072708891824,-0.20675673490621135,0.06633072708891824,14.0,1,sc027,True,True,14
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,2,1.0,-0.26778740353667696,0.45454545454545453,2.4545454545454546,0.5454545454545454,0.0,11,0.35530751853699627,-0.24873810458277856,0.35530751853699627,13.0,1,sc028,True,False,11
