descriptor,set,n,rho_vs_a,p,partial_rho_n_metals,loco_min,loco_max,loco_sign_stable,ci_lo,ci_hi,n_boot,ci_excludes_zero,passes_registered_bar
competitor,S8,61,-0.4157773988772158,0.0008610089471607595,-0.420594650453073,-0.49676304431576845,-0.28001140206045044,True,-0.6696136193260891,0.04279932192335288,1958,False,False
competitor,S14,39,-0.45714618649016936,0.0034363310545745844,-0.45893251643556726,-0.5999237784158138,-0.27285723149660385,True,-0.5891493287908718,0.22013063864478427,498,False,False
competitor,S3,79,-0.52216492831038,7.995339739905229e-07,-0.499133738284864,-0.5866659031945286,-0.3790374436202068,True,-0.7216083593148688,-0.11660786632240654,1999,True,True
competitor,S8_no_sc009,42,-0.28001140206045044,0.07248870830936496,-0.2688177193796451,-0.38136761043352496,-0.21723406983816426,True,-0.6240562568483716,0.13667956424516964,1965,False,False
competitor,all82,80,-0.5299729567002173,4.2928974221560643e-07,-0.5087111819393386,-0.5928930198289881,-0.40145597359119123,True,-0.717250766696393,-0.1551200137845488,2000,True,True
nligs_range,S8,62,-0.49953320242673555,3.576021475067841e-05,-0.5068562211129355,-0.5592496463668964,-0.42935954177374697,True,,,0,False,False
nligs_range,S14,39,-0.6379167649804026,1.2517006028957494e-05,-0.6608287076771415,-0.6852499321907808,-0.5531337789229193,True,,,0,False,False
nligs_range,S3,81,-0.5496475271758959,1.0704576816159599e-07,-0.5358277446889153,-0.6042536437040112,-0.43869906656776264,True,,,0,False,False
nligs_range,S8_no_sc009,43,-0.42935954177374697,0.0040639445660624616,-0.4274787221729442,-0.5131406956886068,-0.3670088729452094,True,,,0,False,False
nligs_range,all82,81,-0.5496475271758959,1.0704576816159599e-07,-0.5358277446889153,-0.6042536437040112,-0.43869906656776264,True,,,0,False,False
frac_at_max_nligs,S8,62,0.3167911069156819,0.01212007396841072,0.30768296566118164,0.21266754897422377,0.4111710944869757,True,-0.12133215777509128,0.6186128234370991,2000,False,False
frac_at_max_nligs,S14,39,0.6951331990232184,9.07662223749547e-07,0.7020414227771932,0.6340493175965002,0.7492073587131288,True,,,0,False,False
frac_at_max_nligs,S3,81,0.4304860944476029,6.036196255577992e-05,0.4033169484512443,0.3117410966016785,0.515791150247034,True,0.04628705765181826,0.6539059366207555,1999,True,True
frac_at_max_nligs,S8_no_sc009,43,0.21266754897422377,0.17094231632588047,0.20375158672386853,0.12490378601697359,0.33561560511862654,True,-0.23023990299990862,0.5682378180588843,1996,False,False
frac_at_max_nligs,all82,81,0.4304860944476029,6.036196255577992e-05,0.4033169484512443,0.3117410966016785,0.515791150247034,True,0.03679103461470101,0.6488291424300552,1996,True,True
n_comp,S8,62,0.1270594845620844,0.3250649972376066,0.11360965037229669,0.056406897250825504,0.23156515713496786,True,,,0,False,False
n_comp,S14,39,-0.004162333158820582,0.9799368182366073,-0.016330371001803626,-0.19611613513818404,0.20419486206940102,False,,,0,False,False
n_comp,S3,81,0.05757911846238969,0.6096441241886136,0.060139425652363375,0.01052881778334009,0.14673956076215347,True,,,0,False,False
n_comp,S8_no_sc009,43,0.12269995671334805,0.4331240619708804,0.11484685279874296,0.02565739277627508,0.2559973571385648,True,,,0,False,False
n_comp,all82,81,0.05757911846238969,0.6096441241886136,0.060139425652363375,0.01052881778334009,0.14673956076215347,True,,,0,False,False
mean_nligs,S8,62,-0.24502311575903507,0.05493111596031678,-0.28844362237612875,-0.34182816510347325,-0.1708607516564045,True,-0.5223275506011626,0.13618145990843916,2000,False,False
mean_nligs,S14,39,-0.5641927067270064,0.0001834262484960628,-0.5635546779916286,-0.6818395281857736,-0.4791610122874525,True,-0.6873851753996075,-0.22581731155340362,716,True,True
mean_nligs,S3,81,-0.17343000779520704,0.12153358043696022,-0.19274181445651728,-0.2886182229733939,-0.11876151848995496,True,-0.46964833548218077,0.15691096280485994,2000,False,False
mean_nligs,S8_no_sc009,43,-0.1959996860751213,0.2077981820789104,-0.24883505597186012,-0.30692224439512983,-0.10234703777279894,True,-0.542205468238133,0.20465054930593365,2000,False,False
mean_nligs,all82,81,-0.17343000779520704,0.12153358043696022,-0.19274181445651728,-0.2886182229733939,-0.11876151848995496,True,-0.4452785802727926,0.16678924013667085,2000,False,False
slope_NAIVE,S8,62,0.39200725239857975,0.001627107947089192,0.3847158447130993,0.21926910299003324,0.5046957488191165,True,-0.12344063360169176,0.703746970014783,2000,False,False
slope_NAIVE,S14,39,0.6439271255060729,9.745568326920046e-06,0.6453296235637039,0.5984615384615385,0.7450486924171135,True,0.26614593556316873,0.8317416897721703,1983,True,True
slope_NAIVE,S3,81,0.4665085817524842,1.1353583454718009e-05,0.4446307016464595,0.3041311636777508,0.5584712755598833,True,0.027394219336135568,0.6676574241431362,2000,True,True
slope_NAIVE,S8_no_sc009,43,0.21926910299003324,0.15773404735756888,0.20353347044267708,0.11332385016595542,0.35853658536585375,True,-0.24227422585396016,0.6093485487240101,2000,False,False
slope_NAIVE,all82,81,0.4665085817524842,1.1353583454718009e-05,0.4446307016464595,0.3041311636777508,0.5584712755598833,True,0.019234651862451775,0.6742938710869139,2000,True,True
slope_SPECIES,S8,62,-0.08367958500163683,0.5178778229378215,-0.0808874825693345,-0.12886913031397612,0.000453035336756267,False,-0.29756353593052726,0.23575741226154218,2000,False,False
slope_SPECIES,S14,39,-0.04817813765182186,0.7708582247850755,-0.04615172679370828,-0.12178575336470072,0.03307692307692307,False,-0.34615850560085004,0.3561252484923176,1983,False,False
slope_SPECIES,S3,81,-0.041666666666666664,0.711880348807313,-0.03773168993089576,-0.0735349273323957,0.04475683656833492,False,-0.22528269307371426,0.234955822255274,2000,False,False
slope_SPECIES,S8_no_sc009,43,0.000453035336756267,0.9976995350852984,-0.003400526597868967,-0.06602787456445994,0.0597165991902834,False,-0.273142158718137,0.33652713745709384,2000,False,False
slope_SPECIES,all82,81,-0.041666666666666664,0.711880348807313,-0.03773168993089576,-0.0735349273323957,0.04475683656833492,False,-0.2232650806314305,0.2456097079981506,2000,False,False
slope_CYCLE_ADD,S8,62,0.2906247639193171,0.0219336391080249,0.27518249741584616,-0.025823014195107217,0.35071770334928226,False,-0.2894854957450266,0.5467338445262332,2000,False,False
slope_CYCLE_ADD,S14,39,0.39655870445344127,0.012441889161204655,0.39789237932257876,-0.0015384615384615385,0.48769011926906664,False,-0.3086630293582749,0.6157439820262371,1983,False,False
slope_CYCLE_ADD,S3,81,0.15749774164408312,0.1602506635780746,0.13911153834285844,-0.032575594450767485,0.21769559032716929,False,-0.26993821933290435,0.3894015671248292,2000,False,False
slope_CYCLE_ADD,S8_no_sc009,43,-0.025823014195107217,0.8694395804995634,-0.047764922630837536,-0.11184668989547039,0.10241820768136557,False,-0.37402369425898424,0.3757614480274709,2000,False,False
slope_CYCLE_ADD,all82,81,0.15749774164408312,0.1602506635780746,0.13911153834285844,-0.032575594450767485,0.21769559032716929,False,-0.28565709031938763,0.4005689210457158,2000,False,False
