feature_set,split_seed,fold,n_blocks,n_candidates,n_ligands,skipped_ligands,identity_exact_share,identity_max_gap,identity_mean_gap,identity_spearman_median,blend_alpha,blend_anchor,blend_selection
geometry,155921,0,712,5480,89,7,0.6278089887640449,0.7997546105918591,0.017759616667296432,0.942857142857143,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.5925274153158558, ""dist_medoid_l1@0.25"": 0.5794762067787561, ""dist_medoid_l1@0.5"": 0.5598173964943238, ""dist_medoid_l1@0.75"": 0.5719434742881816, ""dist_medoid_l1@1.0"": 0.5751779182808467, ""dist_centre_l2@0.0"": 0.5925274153158558, ""dist_centre_l2@0.25"": 0.5678816976551689, ""dist_centre_l2@0.5"": 0.5601146928971654, ""dist_centre_l2@0.75"": 0.5580023050298146, ""dist_centre_l2@1.0"": 0.5572980040903087}"
geometry,155921,1,984,10192,123,7,0.6128048780487805,0.7997546105918591,0.015284728024466948,0.9549937104572924,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6284351422466756, ""dist_medoid_l1@0.25"": 0.632520065486369, ""dist_medoid_l1@0.5"": 0.6189320392256377, ""dist_medoid_l1@0.75"": 0.6021646192131566, ""dist_medoid_l1@1.0"": 0.5962915948820516, ""dist_centre_l2@0.0"": 0.6284351422466756, ""dist_centre_l2@0.25"": 0.6322336371878323, ""dist_centre_l2@0.5"": 0.6195418276382634, ""dist_centre_l2@0.75"": 0.6019658915127379, ""dist_centre_l2@1.0"": 0.5876550981842089}"
geometry,155921,2,992,10896,124,8,0.5846774193548387,0.7997546105918591,0.01640992203366631,0.9500325662179766,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6722915697528005, ""dist_medoid_l1@0.25"": 0.6656052162935804, ""dist_medoid_l1@0.5"": 0.6581440038114966, ""dist_medoid_l1@0.75"": 0.6525227013490302, ""dist_medoid_l1@1.0"": 0.639902761955942, ""dist_centre_l2@0.0"": 0.6722915697528005, ""dist_centre_l2@0.25"": 0.6710767253081779, ""dist_centre_l2@0.5"": 0.6637070408946155, ""dist_centre_l2@0.75"": 0.6460654749936869, ""dist_centre_l2@1.0"": 0.628052881084786}"
geometry,155921,3,1008,10496,126,7,0.5912698412698413,0.7997546105918591,0.015897111759644124,0.9433409470726795,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6132820821885593, ""dist_medoid_l1@0.25"": 0.6367564117636716, ""dist_medoid_l1@0.5"": 0.6223549846024236, ""dist_medoid_l1@0.75"": 0.6080247992628482, ""dist_medoid_l1@1.0"": 0.5931321270508162, ""dist_centre_l2@0.0"": 0.6132820821885593, ""dist_centre_l2@0.25"": 0.6408973690942081, ""dist_centre_l2@0.5"": 0.6150502530505068, ""dist_centre_l2@0.75"": 0.5995337207996552, ""dist_centre_l2@1.0"": 0.580743558004542}"
geometry,155921,4,880,10360,110,7,0.575,0.43165558262815706,0.01616671643112782,0.9486832980505139,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6489076673845364, ""dist_medoid_l1@0.25"": 0.6251430029247967, ""dist_medoid_l1@0.5"": 0.5976688647980749, ""dist_medoid_l1@0.75"": 0.6079875296039337, ""dist_medoid_l1@1.0"": 0.5824189220759309, ""dist_centre_l2@0.0"": 0.6489076673845364, ""dist_centre_l2@0.25"": 0.6202625663302624, ""dist_centre_l2@0.5"": 0.60546334410668, ""dist_centre_l2@0.75"": 0.598528130513772, ""dist_centre_l2@1.0"": 0.5781816064355683}"
geometry,196613,0,664,5264,83,5,0.6355421686746988,0.8660139907035929,0.020217526353787107,0.9486832980505139,0.0,dist_medoid_l1,"{""dist_medoid_l1@0.0"": 0.6351017494563265, ""dist_medoid_l1@0.25"": 0.6372300902440955, ""dist_medoid_l1@0.5"": 0.6474480129259024, ""dist_medoid_l1@0.75"": 0.6584682410357695, ""dist_medoid_l1@1.0"": 0.667955819941715, ""dist_centre_l2@0.0"": 0.6351017494563265, ""dist_centre_l2@0.25"": 0.6418273958947485, ""dist_centre_l2@0.5"": 0.6482275404818368, ""dist_centre_l2@0.75"": 0.6460878227096905, ""dist_centre_l2@1.0"": 0.6435684373523257}"
geometry,196613,1,984,10560,123,8,0.6046747967479674,0.8660139907035929,0.015255548887053515,0.9536614741164805,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.654179407054958, ""dist_medoid_l1@0.25"": 0.6621408528307597, ""dist_medoid_l1@0.5"": 0.642439436124339, ""dist_medoid_l1@0.75"": 0.6228454065615914, ""dist_medoid_l1@1.0"": 0.6223753285665062, ""dist_centre_l2@0.0"": 0.654179407054958, ""dist_centre_l2@0.25"": 0.6602689656855053, ""dist_centre_l2@0.5"": 0.6477266521904482, ""dist_centre_l2@0.75"": 0.61698792174058, ""dist_centre_l2@1.0"": 0.6112923197347069}"
geometry,196613,2,1024,10664,128,7,0.6181640625,0.493135078854817,0.0134654747558439,0.955492835432045,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6166692044043985, ""dist_medoid_l1@0.25"": 0.624546245955027, ""dist_medoid_l1@0.5"": 0.6205922798934765, ""dist_medoid_l1@0.75"": 0.6019780817113219, ""dist_medoid_l1@1.0"": 0.5931449025111999, ""dist_centre_l2@0.0"": 0.6166692044043985, ""dist_centre_l2@0.25"": 0.6258793952012287, ""dist_centre_l2@0.5"": 0.6279705613039548, ""dist_centre_l2@0.75"": 0.5917587984148275, ""dist_centre_l2@1.0"": 0.5821202138352306}"
geometry,196613,3,992,11216,124,8,0.5897177419354839,0.8660139907035929,0.01426387567852487,0.9519211507718005,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6062574290708178, ""dist_medoid_l1@0.25"": 0.6217539598964908, ""dist_medoid_l1@0.5"": 0.5984912524799477, ""dist_medoid_l1@0.75"": 0.5948640930855221, ""dist_medoid_l1@1.0"": 0.5925909311587226, ""dist_centre_l2@0.0"": 0.6062574290708178, ""dist_centre_l2@0.25"": 0.618169263394628, ""dist_centre_l2@0.5"": 0.6141417874118633, ""dist_centre_l2@0.75"": 0.5908911454871367, ""dist_centre_l2@1.0"": 0.5777812871252356}"
geometry,196613,4,912,9720,114,8,0.5932017543859649,0.8660139907035929,0.017494421349886297,0.9468987230933358,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.5957033666747983, ""dist_medoid_l1@0.25"": 0.5966066529075714, ""dist_medoid_l1@0.5"": 0.5902543032163984, ""dist_medoid_l1@0.75"": 0.5873427300000252, ""dist_medoid_l1@1.0"": 0.5781041046659251, ""dist_centre_l2@0.0"": 0.5957033666747983, ""dist_centre_l2@0.25"": 0.5972805920260096, ""dist_centre_l2@0.5"": 0.5858756661550466, ""dist_centre_l2@0.75"": 0.5941875944009364, ""dist_centre_l2@1.0"": 0.5776666451004788}"
geometry,262147,0,992,10560,124,9,0.6038306451612904,0.8003389383963402,0.01696086345250589,0.9487764031487682,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7000291860899217, ""dist_medoid_l1@0.25"": 0.69035981175503, ""dist_medoid_l1@0.5"": 0.6874747466041977, ""dist_medoid_l1@0.75"": 0.68247565672142, ""dist_medoid_l1@1.0"": 0.6794763168977922, ""dist_centre_l2@0.0"": 0.7000291860899217, ""dist_centre_l2@0.25"": 0.6922605540829967, ""dist_centre_l2@0.5"": 0.68903000622791, ""dist_centre_l2@0.75"": 0.6781075430334907, ""dist_centre_l2@1.0"": 0.6655079758071748}"
geometry,262147,1,648,4792,81,7,0.6265432098765432,0.8003389383963402,0.012828230643954119,0.9442508710801395,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.49168963534141513, ""dist_medoid_l1@0.25"": 0.4820059034826578, ""dist_medoid_l1@0.5"": 0.47610308301120796, ""dist_medoid_l1@0.75"": 0.47690159194072734, ""dist_medoid_l1@1.0"": 0.47115614399454214, ""dist_centre_l2@0.0"": 0.49168963534141513, ""dist_centre_l2@0.25"": 0.48912979238556886, ""dist_centre_l2@0.5"": 0.48168652924501254, ""dist_centre_l2@0.75"": 0.47046799938173695, ""dist_centre_l2@1.0"": 0.4663937012896126}"
