policy,mae,regret,gap_recovered,rank_percentile,frac_harmed,matches_surrogate,n_ligands
ORACLE,0.4627743512719403,0.0,1.0,0.0002707268802235071,0.0770979020979021,1.0,143
SURROGATE_ORACLE,0.48035943643119833,0.017585085159258124,0.34644156517849223,0.11754826777625298,0.12167832167832167,1.0,143
MEDOID,0.6285530451945075,0.16577869392256728,-7.704729688420204,0.4361051714753882,0.28496503496503495,0.24318181818181817,143
CENTRAL,0.6316888751283979,0.16891452385645755,-5.429663455147398,0.4334115304809247,0.2947552447552447,0.24860139860139857,143
LEARNED_BLEND[geometry],0.6342363005608818,0.17146194928894143,-5.96229617996322,0.4354839454100057,0.2993006993006993,0.2465034965034965,143
LEARNED_BLEND[geometry+prediction],0.6382799518105224,0.17550560053858222,-5.585477236774701,0.4428039868430526,0.30699300699300697,0.2410839160839161,143
LEARNED_SCALAR[geometry],0.6404111968719249,0.17763684559998463,-23.22446732824185,0.43324351349215606,0.3066433566433567,0.22604895104895106,143
MEDIAN_PREDICTION,0.6446736803996217,0.18189932912768142,-7.672366917108187,0.4354228762889002,0.29580419580419576,0.2522727272727273,143
LEARNED_RANK[geometry],0.6478343255021222,0.18505997423018186,-9.881616904273022,0.4398941573282588,0.3103146853146853,0.2138111888111888,143
MAX_CONDITION_COVERAGE,0.6526723949884959,0.1898980437165557,-8.505374863170823,0.44169054875368186,0.3062937062937063,0.24632867132867134,143
LEARNED_RANK[geometry+prediction],0.6536546814697726,0.19088033019783232,-12.205863751320818,0.45448670900773713,0.3237762237762238,0.20279720279720279,143
MIN_GP_DESIGN_VAR,0.6556166444770248,0.19284229320508467,-12.862818579524196,0.4750236891916597,0.311013986013986,0.20332167832167833,143
LEARNED_SCALAR[geometry+prediction],0.665206737914386,0.20243238664244576,-11.555131409790684,0.4694637952609197,0.32342657342657344,0.19125874125874126,143
MID_ACID,0.6722563340080147,0.20948198273607438,-7.404817276491838,0.49771026643232097,0.30996503496503497,0.17762237762237762,143
MAX_PREDICTION,0.6789145447164916,0.21614019344455132,-19.55186691496139,0.5174210602917891,0.3730769230769231,0.1491258741258741,143
MAX_ENSEMBLE_SD,0.687511078419324,0.22473672714738385,-6.50964206696276,0.5170025601695672,0.34335664335664334,0.16555944055944055,143
RANDOM,0.6916592833782195,0.22888493210627925,-9.53068079768768,0.4912083343317119,0.34195804195804197,0.20524475524475524,143
MIN_ENSEMBLE_SD,0.6950010982088084,0.23222674693686818,-8.556448371330346,0.5001959461951028,0.33269230769230773,0.19073426573426575,143
FARTHEST_FROM_EXISTING,0.7540045111864573,0.291230159914517,-12.94407412977934,0.553925942176038,0.3966783216783217,0.14702797202797202,143
MIN_PREDICTION,0.781435847326756,0.31866149605481575,-17.552905070311816,0.5981062129836939,0.37709790209790206,0.13513986013986012,143
