descriptor,set,n,rho_a,p_a,rho_abs_a,rho_naive_slope
steppos_n_H2O,S14,27,0.8325454150566612,7.215180754807674e-08,-0.6698641270570836,0.8612538776448219
slope_n_H2O_vs_r,S14,39,0.7579430936752503,2.303686717994711e-08,-0.5656530910515082,0.6756857036639827
steppos_n_fill,S14,38,0.6763187941002861,3.151208221879615e-06,-0.39236815535589115,0.8053872662568292
slope_n_ligs_vs_r,S14,39,-0.6705078505666339,3.0101528537949353e-06,0.35959177829843975,-0.8120324658495731
slope_n_fill_vs_r,S14,39,0.6686970102881677,3.27315402327156e-06,-0.3616360314905155,0.8153293107000885
naive_slope,S14,39,0.6439271255060729,9.745568326920046e-06,-0.4246963562753037,1.0
range_n_ligs,S14,39,-0.6379167649804026,1.2517006028957494e-05,0.20251325872393733,-0.6682937537889931
is_nitrate,S14,39,0.620250033564972,2.5349635426431674e-05,-0.42728335645586957,0.26188334750521036
mean_n_ligs,S14,39,-0.5641927067270064,0.0001834262484960628,0.2436397322837504,-0.7153418313505918
mean_n_fill,S14,39,-0.5214926536087544,0.0006630457625451685,0.41990476135811444,-0.632116007429764
range_n_fill,S14,39,-0.5178296286477938,0.0007346156965107531,0.06752176011370668,-0.4765595474209714
mean_n_H2O,S14,39,-0.5167551016417204,0.0007568754546622611,0.41814750213473106,-0.10747480509645872
range_n_H2O,S14,39,-0.39368256141197855,0.013152870740176566,0.2875965957451957,0.05128022509572583
slope_coreCN_vs_r,S14,39,-0.27386127875258304,0.0915949596780691,-0.24503377572599536,-0.24503377572599536
range_coreCN,S14,39,-0.27386127875258304,0.0915949596780691,-0.24503377572599536,-0.24503377572599536
mean_coreCN,S14,39,-0.27386127875258304,0.0915949596780691,-0.24503377572599536,-0.24503377572599536
mean_n_NO3,S14,39,0.16268128799957748,0.3224176038732128,-0.14656425637113635,-0.25182861919439237
slope_n_NO3_vs_r,S14,39,-0.112315564160699,0.49603056349870256,0.20700312497779053,0.3178077174233232
range_n_NO3,S14,39,0.0455654832128859,0.7829772910545245,-0.268330067809217,-0.3797123601073825
n_compositions,S14,39,-0.004162333158820582,0.9799368182366073,-0.34591179251461573,0.17021751917913644
steppos_n_ligs,S14,26,,,,
steppos_n_NO3,S14,11,,,,
steppos_coreCN,S14,38,,,,
steppos_n_H2O,S8,29,0.7795548852141913,6.236465035691968e-07,-0.6178858323146572,0.7917354302956631
slope_n_H2O_vs_r,S8,62,0.6753668845756498,1.7322123090518807e-09,-0.5572859073912014,0.6778899823787363
slope_n_fill_vs_r,S8,62,0.5473750119188058,4.146631739463363e-06,-0.33390662562234386,0.741985581561237
steppos_n_NO3,S8,21,-0.509974329511542,0.018186540687673176,0.4790667943896304,0.2556896087358144
range_n_ligs,S8,62,-0.49953320242673555,3.576021475067841e-05,0.21035423094374814,-0.6109227237469261
steppos_n_fill,S8,50,0.47686310227475803,0.0004632531774601121,-0.23059871437202492,0.6807779527328099
slope_n_ligs_vs_r,S8,62,-0.45993729356766083,0.00016928184848430383,0.3043968650026355,-0.7286075653559165
is_nitrate,S8,62,0.45116109824253886,0.0002330326057096101,-0.3316226875970798,0.27378152115572874
naive_slope,S8,62,0.39200725239857975,0.001627107947089192,-0.34355720077560375,1.0
range_n_fill,S8,62,-0.376352517538579,0.0025716379621702513,0.1088233882858979,-0.5998993573306945
mean_n_ligs,S8,62,-0.24502311575903507,0.05493111596031678,0.12755746890950517,-0.11140528373257341
mean_coreCN,S8,62,-0.22103960869538034,0.08426228718797159,0.052927432930215325,0.08516055930012681
slope_coreCN_vs_r,S8,62,0.18573185898654973,0.14837339926931037,-0.20266876730217018,0.10107602403271122
mean_n_H2O,S8,62,-0.17547727015566458,0.17250397548622712,0.1891021891188636,-0.005179062763789101
range_n_H2O,S8,62,-0.17088107833793198,0.18420214415325298,0.17974058436330786,0.00778562650714851
mean_n_fill,S8,62,-0.15273691803778383,0.23596000383278865,0.1921928570028507,-0.40992532980874063
range_coreCN,S8,62,0.1506067363456596,0.24263591840514742,-0.29955845361059763,-0.35913914051657286
n_compositions,S8,62,0.1270594845620844,0.3250649972376066,-0.3604986169711683,-0.005181422502892651
mean_n_NO3,S8,62,0.0821428345692455,0.5256212073833116,-0.08095808214757369,-0.2231001643571987
steppos_n_ligs,S8,31,0.05728597946246329,0.7595292213777597,0.023606859668597508,-0.07963380661540227
range_n_NO3,S8,62,-0.017724860039567795,0.8912394094485385,-0.15206064139208159,-0.3703562860899165
slope_n_NO3_vs_r,S8,62,-0.01696270183930811,0.8958895025138484,0.14950846504878543,0.3220940942277924
steppos_coreCN,S8,44,-0.007559622204785162,0.9611568431207228,0.1197727643070649,-0.20599970508039567
