model,set,n,rho,p,fisher_lo,fisher_hi,partial_n_metals,rho_no_sc009,n_no_sc009,loco_min,loco_max,rho_abs_a,rho_b
FIXCYC_ALL,S8,62,0.2896678502178238,0.022393376486587034,0.027721037870391072,0.5143885899192019,0.2741370156833405,-0.02567200241618846,43,-0.02567200241618846,0.34941900205058096,-0.3882803253506585,0.16013195336304803
FIXCYC_ALL,S14,39,0.3937246963562753,0.01314221168319848,0.06982632876592933,0.6425241096154584,0.39528191945079916,-0.0015384615384615385,25,-0.0015384615384615385,0.4846263267315899,-0.4421052631578948,0.202834008097166
FIXCYC_ALL,S3,81,0.1510614272809395,0.17825064025965345,-0.0828209336986883,0.36917193018831523,0.13281389039025193,-0.03792795841151682,58,-0.03792795841151682,0.2105832147937411,-0.19381210478771455,0.13102981029810298
FIXCYC_CONSTCOMP,S8,62,0.3254765682052832,0.009841425247900423,0.06718359994522256,0.5428841666708901,0.31166502809445984,0.009966777408637875,43,0.009966777408637875,0.39179767600820237,-0.43637782982045276,0.2339150361360832
FIXCYC_CONSTCOMP,S14,39,0.4647773279352227,0.002873226738820732,0.15584705265365384,0.6908855984317477,0.4665178418682556,0.04923076923076923,25,0.04923076923076923,0.563190721085458,-0.5398785425101215,0.27753036437246964
FIXCYC_CONSTCOMP,S3,81,0.22000903342366757,0.04843194969876144,-0.011571435562536312,0.429189831675473,0.19716036596760264,0.04617182933956751,58,0.04617182933956751,0.287624466571835,-0.2531391147244806,0.19559620596205962
FIXCYC_CONSTNLIGS,S8,62,0.33847044899398154,0.007128019674438108,0.08170600221059494,0.5531020113444909,0.3256451489968808,0.03699788583509513,43,0.03699788583509513,0.40813397129186607,-0.4431265896099318,0.20933746317141344
FIXCYC_CONSTNLIGS,S14,39,0.44777327935222677,0.004257832144848311,0.13482537094306876,0.6794932103688037,0.4505367882980661,0.019999999999999997,25,0.019999999999999997,0.5430572272677535,-0.531578947368421,0.24372469635627533
FIXCYC_CONSTNLIGS,S3,81,0.22940379403794037,0.039388546554284004,-0.001677501484275199,0.4372272903404023,0.20384811967376065,0.06628933526100465,58,0.06628933526100465,0.2995732574679943,-0.2561201445347787,0.17944896115627823
FIXCYC_CONSTNLIGS_GAMMACONST,S8,62,0.23507340535368032,0.06589077954645456,-0.030912753777820216,0.46996733937289975,0.2477350947312351,0.24871639987919059,43,0.1753264795776605,0.33892747985551547,-0.03084787590340208,0.21376948452569816
FIXCYC_CONSTNLIGS_GAMMACONST,S14,39,0.34939271255060733,0.0292430543240482,0.01848944498615983,0.6113111396950034,0.35773228146315206,0.4061538461538462,25,0.24092664092664096,0.44173323120691543,-0.06315789473684211,0.33461538461538465
FIXCYC_CONSTNLIGS_GAMMACONST,S3,81,0.34957091237579047,0.001380013761836154,0.12899459301962216,0.5371864626541024,0.3425363243362611,0.3339075332984712,58,0.29339081970660913,0.43675754625121715,-0.15869467028003614,0.17136404697380306
SPECIES_NODELTA,S8,62,0.034474075193271385,0.7902361821136845,-0.23170246637320907,0.2958480741138782,0.03099820842312727,-0.08230141951072183,43,-0.08230141951072183,0.11453181439288694,-0.17992495782025134,0.243635264788094
SPECIES_NODELTA,S14,39,0.3038461538461539,0.060037953959115944,-0.0324973187473054,0.5783712937865058,0.3022474069370339,0.37538461538461537,25,0.25637378268957217,0.3795820111609585,-0.2755060728744939,0.35769230769230775
SPECIES_NODELTA,S3,81,-0.027145438121047877,0.8098992517452844,-0.2565293031657007,0.2051332310636477,-0.03339862437902954,-0.1657079577963026,58,-0.1657079577963026,0.028602726387536515,-0.17093495934959352,0.1210478771454381
SPECIES_GLOBALDELTA,S8,62,0.00410465614061595,0.974741226218071,-0.2602446685988629,0.2678815421153698,-0.0009405859306044501,-0.05376019329507702,43,-0.05376019329507702,0.0818005001389275,-0.16184432524993075,0.24131852635289971
SPECIES_GLOBALDELTA,S14,39,0.204251012145749,0.21230758096949237,-0.13820549064537854,0.5030827380816137,0.2016018820081108,0.3376923076923077,25,0.1686180107232739,0.3376923076923077,-0.25485829959514167,0.28927125506072876
SPECIES_GLOBALDELTA,S3,81,-0.05426829268292682,0.6303899039618878,-0.28172906396912173,0.17896757046230796,-0.06288186410471307,-0.1574640868682519,58,-0.1574640868682519,0.0004138266796494645,-0.14911924119241193,0.12956187895212287
SPECIES_LIGDELTA,S8,62,0.00022663745561683158,0.9986051173246434,-0.26385639787834053,0.2642780652473287,0.005228101904412583,0.05285412262156447,43,-0.04590163934426231,0.05285412262156447,-0.046913953312684144,0.021732013799702854
SPECIES_LIGDELTA,S14,39,-0.013967611336032389,0.932743393988814,-0.3454155723766315,0.3205785412571951,-0.009296089223555737,-0.006153846153846154,25,-0.07823613086770981,0.053288105919684865,-0.08198380566801619,-0.07348178137651823
SPECIES_LIGDELTA,S3,81,0.031210478771454383,0.78209049077849,-0.20123268868023605,0.26032609195839584,0.039918705542936514,0.10375588298624998,58,0.0015822784810126582,0.10375588298624998,-0.04817073170731707,-0.05300361336946703
SPECIES_FIXLIG,S8,62,-0.11117826294981241,0.3896378842155492,-0.36454305614276095,0.15751334260817776,-0.113417429726941,-0.12700090607067352,43,-0.1485457429931253,-0.0404556821339261,0.048525597441514946,-0.06580040794742012
SPECIES_FIXLIG,S14,39,-0.0674089068825911,0.6834671993813861,-0.39167039642768653,0.2717468721101811,-0.06805889902542021,0.020769230769230772,25,-0.1346974504869242,0.020769230769230772,0.026923076923076925,-0.04412955465587045
SPECIES_FIXLIG,S3,81,-0.08473351400180669,0.45198929157703244,-0.30966490908574046,0.14917873508137736,-0.08668543048659398,-0.08160817004521824,58,-0.13977604673807206,-0.03176728334956183,0.01750225835591689,-0.09889340560072267
