model,band,n,rho,p
NAIVE,n_metals<=14,62,0.39200725239857975,0.001627107947089192
NAIVE,n_metals>14,0,,
NAIVE,n_computed 8-11,11,0.45454545454545453,0.16014543725525887
NAIVE,n_computed 12-14,51,0.3673303167420815,0.008010339467612228
NAIVE,absa low half,31,0.6153225806451614,0.00022955668663867876
NAIVE,absa high half,31,0.1528225806451613,0.41178793916869194
NAIVE,comp constant,4,,
NAIVE,comp varies,58,0.4577501614937403,0.00030283499813064127
NAIVE,nligs constant,19,-0.02631578947368421,0.9148378965354743
NAIVE,nligs varies,43,0.18755662941709453,0.22844544385510496
ELEM,n_metals<=14,62,0.31338923723905215,0.013129495597396356
ELEM,n_metals>14,0,,
ELEM,n_computed 8-11,11,-0.690909090909091,0.01856503338159501
ELEM,n_computed 12-14,51,0.43746606334841626,0.0013267819542946285
ELEM,absa low half,31,-0.3459677419354839,0.056591306748536845
ELEM,absa high half,31,0.5221774193548387,0.002585234772643831
ELEM,comp constant,4,,
ELEM,comp varies,58,0.29274970008305395,0.025741658005049246
ELEM,nligs constant,19,0.2789473684210526,0.24747875892631568
ELEM,nligs varies,43,0.4477499244941105,0.002606347585494775
SPECIES,n_metals<=14,62,-0.08367958500163683,0.5178778229378215
SPECIES,n_metals>14,0,,
SPECIES,n_computed 8-11,11,-0.3727272727272728,0.2589258736842221
SPECIES,n_computed 12-14,51,-0.04751131221719457,0.7405885365209725
SPECIES,absa low half,31,-0.27419354838709686,0.1355193468293413
SPECIES,absa high half,31,-0.0016129032258064518,0.9931293296828099
SPECIES,comp constant,4,,
SPECIES,comp varies,58,-0.1730290073518103,0.19398303442236683
SPECIES,nligs constant,19,0.1649122807017544,0.49988058994796
SPECIES,nligs varies,43,-0.08773784355179705,0.5758459070363362
SPECIES_CONST,n_metals<=14,19,0.16666666666666666,0.49526609078386524
SPECIES_CONST,n_metals>14,0,,
SPECIES_CONST,n_computed 8-11,4,,
SPECIES_CONST,n_computed 12-14,15,0.1464285714285714,0.602549920983054
SPECIES_CONST,absa low half,10,-0.0303030303030303,0.9337729580941466
SPECIES_CONST,absa high half,9,0.25,0.5164895523012261
SPECIES_CONST,comp constant,4,,
SPECIES_CONST,comp varies,15,0.10714285714285714,0.7039010016261618
SPECIES_CONST,nligs constant,19,0.16666666666666666,0.49526609078386524
SPECIES_CONST,nligs varies,0,,
SPECIES_NFILLCOL,n_metals<=14,62,0.3738258920702072,0.00276312036116654
SPECIES_NFILLCOL,n_metals>14,0,,
SPECIES_NFILLCOL,n_computed 8-11,11,0.7000000000000001,0.016470978836514428
SPECIES_NFILLCOL,n_computed 12-14,51,0.3077828054298642,0.028009193540414538
SPECIES_NFILLCOL,absa low half,31,0.5745967741935484,0.0007231016131104294
SPECIES_NFILLCOL,absa high half,31,0.08790322580645162,0.6381950172756906
SPECIES_NFILLCOL,comp constant,4,,
SPECIES_NFILLCOL,comp varies,58,0.4010274077947646,0.0018101934761482418
SPECIES_NFILLCOL,nligs constant,19,0.38421052631578945,0.10435774849730087
SPECIES_NFILLCOL,nligs varies,43,-0.06689821806100876,0.6699385381692429
