k_nitrate,k_water,gamma_no3,gamma_h2o,rho_S8,p_S8,rho_S14,rms_median
-2.0,-1,-434.74283,-139.184912,-0.08211830475183199,0.5257452746188561,-0.06275303643724696,0.5645960621640517
-2.0,0,-434.74283,-138.875323,-0.10296895066858051,0.4258005519573386,-0.07246963562753037,0.5658048549211264
-2.0,1,-434.74283,-138.56573400000002,-0.1758958474981743,0.17146616948525487,-0.13198380566801618,0.567018984957006
-1.0,-1,-433.35669,-139.184912,-0.06907406008410767,0.5937159912372452,-0.055465587044534415,0.563282972174376
-1.0,0,-433.35669,-138.875323,-0.09793256276598424,0.4488991149519552,-0.06538461538461539,0.5636684011389306
-1.0,1,-433.35669,-138.56573400000002,-0.16894563219259148,0.18929576513934204,-0.11619433198380567,0.5648773416141777
-0.5,-1,-432.66362,-139.184912,-0.06257711968975851,0.6289685481807294,-0.055465587044534415,0.5626932357783756
-0.5,0,-432.66362,-138.875323,-0.08906852005741482,0.4911860236019852,-0.05,0.5628871938658073
-0.5,1,-432.66362,-138.56573400000002,-0.16713253254765684,0.1941584799635785,-0.11133603238866398,0.5638122935600329
-0.25,-1,-432.317085,-139.184912,-0.060864747802875784,0.6384033261414489,-0.055465587044534415,0.5623999992240615
-0.25,0,-432.317085,-138.875323,-0.08821233411397347,0.495378071019189,-0.04817813765182186,0.562592603766877
-0.25,1,-432.317085,-138.56573400000002,-0.16491652187051448,0.2002223394643311,-0.10546558704453442,0.5632812222616629
0.0,-1,-431.97055,-139.184912,-0.052856891037747725,0.6832655926777081,-0.048785425101214586,0.5621078520604212
0.0,0,-431.97055,-138.875323,-0.08367958500163683,0.5178778229378215,-0.04817813765182186,0.5622991021378356
0.0,1,-431.97055,-138.56573400000002,-0.16511797738661832,0.19966557524234543,-0.10546558704453442,0.5627511230137971
0.25,-1,-431.624015,-139.184912,-0.05406562413437084,0.6764187986579805,-0.048785425101214586,0.5618167955058189
0.25,0,-431.624015,-138.875323,-0.08085920777618293,0.5321330910337098,-0.04817813765182186,0.5620066901988332
0.25,1,-431.624015,-138.56573400000002,-0.16486615799148852,0.2003617029816969,-0.10546558704453442,0.562221998497275
0.5,-1,-431.27748,-139.184912,-0.048878144594696686,0.7059803224387373,-0.03906882591093117,0.5615268307797441
0.5,0,-431.27748,-138.875323,-0.08085920777618293,0.5321330910337098,-0.04817813765182186,0.5617153691674617
0.5,1,-431.27748,-138.56573400000002,-0.16577270781395584,0.19786370638389647,-0.09959514170040486,0.5619101267587086
1.0,-1,-430.58441,-139.184912,-0.046712497796580287,0.7184537482706489,-0.03906882591093117,0.5609501816776453
1.0,0,-430.58441,-138.875323,-0.07990229407468964,0.5370133200805148,-0.04817813765182186,0.5611360046987237
1.0,1,-430.58441,-138.56573400000002,-0.16406033592707311,0.20260091248150816,-0.09959514170040486,0.5613280527904858
2.0,-1,-429.19827,-139.184912,-0.035884263805998344,0.7818631040316215,-0.029352226720647776,0.5598100388865597
2.0,0,-429.19827,-138.875323,-0.07602427538969052,0.5570128137670335,-0.04089068825910932,0.5599904201663066
2.0,1,-429.19827,-138.56573400000002,-0.15257737150915363,0.23645558388118754,-0.08502024291497977,0.5601770382348561
