set,n_extractants,n_chemotypes,kish_chemotype,n_modal_pubs,kish_modal_pub,frac_sc009
S8,62,29,8.32034632034632,29,15.5,0.3064516129032258
S14,39,18,6.157894736842105,18,9.331288343558283,0.358974358974359
S3,81,39,9.836581709145428,35,18.074380165289256,0.2839506172839506
