model,set,rho_extractant,rho_between_chemotype,n_chemo,p_between,rho_within_chemotype,n_within,icc_chemotype
NAIVE,S8,0.39200725239857975,0.20443349753694576,29,0.28743388266556574,0.35337492909812823,42,0.7629165750378659
NAIVE,S14,0.6439271255060729,0.6202270381836945,18,0.006032002847171182,0.3094017094017094,26,0.6949815857683226
NAIVE,S3,0.4665085817524842,0.31963562753036434,39,0.047305240613870723,0.17851959361393324,53,0.7020374728500955
ELEM,S8,0.31338923723905215,0.1615763546798029,29,0.40238805228358693,0.529373632606758,42,0.6895927930286759
ELEM,S14,0.39635627530364376,0.023735810113519093,18,0.9255178937138382,0.4817094017094017,26,0.7982007690186327
ELEM,S3,0.20282294489611563,0.15931174089068825,39,0.3326761167474354,0.48129333978390576,53,0.7915350008060728
SPECIES,S8,-0.08367958500163683,0.018719211822660092,29,0.9232187120998647,-0.15711854792966537,42,0.3594352714743875
SPECIES,S14,-0.04817813765182186,-0.03199174406604747,18,0.8997186782888819,-0.3921367521367521,26,0.3229091976166668
SPECIES,S3,-0.041666666666666664,0.10425101214574899,39,0.5276548931185479,-0.09829059829059829,53,0.4678277995162565
SPECIES_CONST,S8,0.16666666666666666,0.1912087912087912,14,0.5125839704707786,,9,0.6770299315574438
SPECIES_CONST,S14,0.15454545454545454,0.19047619047619052,8,0.6514014957024814,,5,0.6660600889795734
SPECIES_CONST,S3,0.1985294117647059,0.18086956521739128,24,0.3976742074169041,0.09010989010989012,14,0.7924981245839926
SPECIES_NFILLCOL,S8,0.3738258920702072,0.38571428571428557,29,0.038780822140160695,0.06782270480512113,42,0.9102960830153473
SPECIES_NFILLCOL,S14,0.2641700404858299,0.2425180598555212,18,0.3322310909053101,-0.15418803418803417,26,0.7968512890194644
SPECIES_NFILLCOL,S3,0.3785004516711833,0.4467611336032389,39,0.0043560012839807104,0.13747782615707144,53,0.9982817892432868
