model,set,n_all,rho_all,p_all,n_no_sc009,rho_no_sc009,p_no_sc009,n_sc009_only,rho_sc009_only,p_sc009_only
NAIVE,S8,62,0.39200725239857975,0.001627107947089192,43,0.21926910299003324,0.15773404735756888,19,0.612280701754386,0.005327427941488913
NAIVE,S14,39,0.6439271255060729,9.745568326920046e-06,25,0.5984615384615385,0.001576187975682213,14,0.5648351648351648,0.03533018486755275
NAIVE,S3,81,0.4665085817524842,1.1353583454718009e-05,58,0.3041311636777508,0.02028410039294455,23,0.4298418972332016,0.04064697629864636
ELEM,S8,62,0.31338923723905215,0.013129495597396356,43,0.03095741467834491,0.8437754120364725,19,0.7526315789473684,0.00020063428764089896
ELEM,S14,39,0.39635627530364376,0.012490839172481519,25,-0.07923076923076922,0.7065712517454968,14,0.6879120879120879,0.0065400424918419155
ELEM,S3,81,0.20282294489611563,0.06937664256642796,58,0.08031622012365806,0.548956649890799,23,0.6254940711462451,0.0014134791654659405
SPECIES,S8,62,-0.08367958500163683,0.5178778229378215,43,0.000453035336756267,0.9976995350852984,19,-0.3403508771929824,0.15391941164078843
SPECIES,S14,39,-0.04817813765182186,0.7708582247850755,25,0.03307692307692307,0.875276314151181,14,-0.3054945054945055,0.2881698858754571
SPECIES,S3,81,-0.041666666666666664,0.711880348807313,58,0.04475683656833492,0.7386775670597873,23,-0.18379446640316205,0.40120109039639584
SPECIES_CONST,S8,19,0.16666666666666666,0.49526609078386524,18,0.19091847265221878,0.4479306707266413,1,,
SPECIES_CONST,S14,11,0.15454545454545454,0.6500339654975799,10,0.19999999999999998,0.5795840000000002,1,,
SPECIES_CONST,S3,33,0.1985294117647059,0.2680520068083982,32,0.20931085043988265,0.25025761007287484,1,,
SPECIES_NFILLCOL,S8,62,0.3738258920702072,0.00276312036116654,43,0.45922681969193596,0.001950616989285671,19,-0.3578947368421052,0.1324602775246397
SPECIES_NFILLCOL,S14,39,0.2641700404858299,0.10414515607681155,25,0.2815384615384615,0.17275952616715787,14,-0.0945054945054945,0.7479382611415479
SPECIES_NFILLCOL,S3,81,0.3785004516711833,0.00049372645698915,58,0.472515303454428,0.0001802959623979057,23,-0.23023715415019763,0.290564282427289
