arm,macro_mae_extractant,macro_mae_extractant_seed_sd,macro_mae_chemotype,macro_mae_adjacent,macro_mae_far,macro_sign_acc_strong,macro_pair_spearman,pooled_mae,pooled_mae_adjacent,pooled_mae_far,pooled_sign_acc_strong,n_units_mae_all,n_units_adjacent,n_units_far,n_units_sign,n_seeds,macro_curve_spearman
V2_BAG4@lean,0.5362991881603903,0.01698592458878466,0.5924476614705088,0.1943919257384336,0.7103543003721893,0.6878354360782067,0.39880803138147763,0.5349397949405608,0.1664844505477005,0.8153917889741464,0.8085279940674824,90,83,88,86,5,0.32579599884258054
V2_BAG_MIX5,0.5449463342660188,0.015199404871343844,0.5996472548324935,0.19383402391529195,0.7244204629458222,0.6708110487755056,0.36647545626404004,0.5357827184772916,0.1663806482181533,0.8182951392920264,0.8140155728587319,90,83,88,86,5,0.2847843527147527
S4_CENTRED_ROW@lean,0.5567937818397801,0.023412961386062404,0.618096140617043,0.20375198974567468,0.7375586132663432,0.6947899357532068,0.41692789158499577,0.5399386547103793,0.17496684651922223,0.8142702368701357,0.7733283895686566,90,83,88,86,5,0.3534320761248419
V2_BAG_MIX3,0.557250866097756,0.012789531384811533,0.612899447146579,0.19729863031198375,0.742389640864619,0.6533267783518634,0.3437217048038671,0.5522923766027261,0.17105943232078735,0.8411952210267485,0.7634408602150538,90,83,88,86,5,0.2581557496469057
S4_BAG_MIX3C,0.5706627372804423,0.012556416371766672,0.6288993203148856,0.20242804265437092,0.7589081361553414,0.6462878698799995,0.34604021193588197,0.5693040018149149,0.1772762917677413,0.8659904024083867,0.7210233592880979,90,83,88,86,5,0.2581598756763157
S2_CENTRED_ROW_basic,0.5753177304521581,0.04235844728571564,0.6146013989579193,0.2011340280672178,0.7726376143521472,0.6341439839892559,0.3292107586981886,0.5745302328231691,0.1754396272357702,0.8797003984305276,0.7182548510690892,90,83,88,86,5,0.24609921108442973
C_DIRECT_ROW,0.5834318225287154,0.014001404992333329,0.6033781206643865,0.2005114716218876,0.7929658957048314,0.6349154024101079,0.32764766692200936,0.5720965729431615,0.1727092763620539,0.8822766981771439,0.8012853788159684,90,83,88,86,5,0.25290708283735647
S3_EXT_LEVEL,0.5846444906609177,0.03886605169379048,0.6144897525481707,0.20704884976240806,0.7898027293892971,0.5853500879176384,0.2134869302162123,0.5913186281780844,0.17944758765945437,0.9072933049330218,0.7031022123346928,90,83,88,86,5,0.1568074166981012
S2_CENTRED_ROW,0.5877046967929527,0.041837863831097596,0.6280981687073901,0.21150884278702792,0.7854816303748651,0.6303053857060732,0.3195511963301182,0.5790776940247687,0.18087849593127153,0.8824417414863441,0.6988258558892597,90,83,88,86,5,0.23658959077430133
V2_DIRECT@cond,0.624578611404633,0.009745319250334162,0.6835693990430417,0.20645988701732762,0.8443968764258862,0.6192789493683841,0.27800233092887466,0.5731364534690627,0.1778185081807192,0.8779370802511887,0.774860956618465,90,83,88,86,5,0.22002685158549964
B1_MEAN_CURVE,0.638466968630768,0.01670600021509384,0.6693868998221966,0.21657924740286028,0.8744674313277798,0.5530678662625489,0.20030120324068398,0.6469054124482309,0.19412891403434196,0.9982546454100089,0.6326535656902731,90,83,88,86,5,0.06513093402952363
