arm,k,mae,n_ligands
NEAREST_OBSERVED@CENTRAL,1,0.8318047597214827,99
NEAREST_OBSERVED@CENTRAL,2,0.7652427802847994,99
NEAREST_OBSERVED@CENTRAL,3,0.6963713714779662,99
NEAREST_OBSERVED@CENTRAL,5,0.6062102267411391,99
NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,1,0.8252974768084728,99
NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,2,0.6950799164142283,99
NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,3,0.6004034513413431,99
NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,5,0.5191199199517904,99
NEAREST_OBSERVED@D_OPTIMAL,1,1.199971537757043,99
NEAREST_OBSERVED@D_OPTIMAL,2,0.8021406853605014,99
NEAREST_OBSERVED@D_OPTIMAL,3,0.6608554276600818,99
NEAREST_OBSERVED@D_OPTIMAL,5,0.5533122148454758,99
NEAREST_OBSERVED@MAX_PREDICTIVE_VARIANCE,1,0.9933416796226432,99
NEAREST_OBSERVED@MAX_PREDICTIVE_VARIANCE,2,0.7178350507232893,99
NEAREST_OBSERVED@MAX_PREDICTIVE_VARIANCE,3,0.6151474953629152,99
NEAREST_OBSERVED@MAX_PREDICTIVE_VARIANCE,5,0.5285390514560736,99
NEAREST_OBSERVED@MEDOID,1,0.8252974768084728,99
NEAREST_OBSERVED@MEDOID,2,0.7720468667569355,99
NEAREST_OBSERVED@MEDOID,3,0.7089494683909865,99
NEAREST_OBSERVED@MEDOID,5,0.6217730265965451,99
NEAREST_OBSERVED@ORACLE[OFFSET_K1],1,0.7045211018679696,99
NEAREST_OBSERVED@ORACLE[OFFSET_K1],2,0.6332959679218835,99
NEAREST_OBSERVED@ORACLE[OFFSET_K1],3,0.5927427345436963,99
NEAREST_OBSERVED@ORACLE[OFFSET_K1],5,0.5380514717599514,99
NEAREST_OBSERVED@RANDOM,1,0.9459775028894392,99
NEAREST_OBSERVED@RANDOM,2,0.7630663154930473,99
NEAREST_OBSERVED@RANDOM,3,0.6700591572967497,99
NEAREST_OBSERVED@RANDOM,5,0.5619447134754055,99
NO_MODEL@CENTRAL,1,0.8318047597214827,99
NO_MODEL@CENTRAL,2,0.7918850754543143,99
NO_MODEL@CENTRAL,3,0.7713157574750913,99
NO_MODEL@CENTRAL,5,0.7612714879985231,99
NO_MODEL@CENTRAL_THEN_SPREAD,1,0.8252974768084728,99
NO_MODEL@CENTRAL_THEN_SPREAD,2,0.8172571360213573,99
NO_MODEL@CENTRAL_THEN_SPREAD,3,0.7879096274409648,99
NO_MODEL@CENTRAL_THEN_SPREAD,5,0.7615849126435005,99
NO_MODEL@D_OPTIMAL,1,1.199971537757043,99
NO_MODEL@D_OPTIMAL,2,0.8623267800819991,99
NO_MODEL@D_OPTIMAL,3,0.825175852676328,99
NO_MODEL@D_OPTIMAL,5,0.7761169849969408,99
NO_MODEL@MAX_PREDICTIVE_VARIANCE,1,0.9933416796226432,99
NO_MODEL@MAX_PREDICTIVE_VARIANCE,2,0.8284704648508263,99
NO_MODEL@MAX_PREDICTIVE_VARIANCE,3,0.7822647993093259,99
NO_MODEL@MAX_PREDICTIVE_VARIANCE,5,0.7620576859005267,99
NO_MODEL@MEDOID,1,0.8252974768084728,99
NO_MODEL@MEDOID,2,0.7958143257403774,99
NO_MODEL@MEDOID,3,0.7792362829525142,99
NO_MODEL@MEDOID,5,0.7657437731812652,99
NO_MODEL@ORACLE[OFFSET_K1],1,0.7045211018679696,99
NO_MODEL@ORACLE[OFFSET_K1],2,0.6833788254616318,99
NO_MODEL@ORACLE[OFFSET_K1],3,0.6790174280096747,99
NO_MODEL@ORACLE[OFFSET_K1],5,0.6968201040819488,99
NO_MODEL@RANDOM,1,0.9459775028894392,99
NO_MODEL@RANDOM,2,0.8466128596341697,99
NO_MODEL@RANDOM,3,0.8014821783216913,99
NO_MODEL@RANDOM,5,0.7687039885593794,99
OFFSET_K1@CENTRAL,1,0.6963986244888282,99
