arm	task_index	model_seed	split_seed	descriptor_permutation	permutation_seed
real	0	42	104729	none	0
real	1	7	130363	none	0
real	2	137	169087	none	0
real	3	2027	214087	none	0
real	4	9001	275015	none	0
null	5	42	104729	metal-preserving	8100011
null	6	7	130363	metal-preserving	8100012
null	7	137	169087	metal-preserving	8100013
null	8	2027	214087	metal-preserving	8100014
null	9	9001	275015	metal-preserving	8100015
