comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds,statistic
all 143 ligands | zero-shot: SLOPE_L_s1 vs ZERO_SHOT,0.006809941973196404,0.0011313703576419226,0.011602688207599349,0.002414331632136993,0.013691453786212938,0.00283870699378002,143,18,5,5,mae
all 143 ligands | zero-shot: SLOPE_L_s1 vs ZERO_SHOT,0.012886507841532863,0.0023507644435229093,0.024309449234260903,0.0052643963931765176,0.032962277669259334,0.0053314811630979534,143,23,5,5,shape_mae
all 143 ligands | k=1: SLOPE_L_s1_K1 vs OFFSET_K1,0.015635116464039315,0.0006383531643543765,0.028993063741252333,0.0036287458097857698,0.03696597599088948,0.004531105548911083,143,24,5,5,mae
all 143 ligands | k=1: SLOPE_L_s1_K1 vs OFFSET_K1,0.012886507841532864,0.0023507644435229093,0.024309449234260903,0.005264396393176516,0.03296227766925934,0.0053314811630979534,143,23,5,5,shape_mae
all 143 ligands | k=2: SLOPE_L_s1_K3 vs OFFSET_K3,0.013431025306105826,0.0019849394431994635,0.029790139950421537,0.004903557116067336,0.045254661283997924,0.005384897846793317,143,22,5,5,mae
all 143 ligands | k=2: SLOPE_L_s1_K3 vs OFFSET_K3,0.011375150821342253,0.0021751250409204866,0.022278563445719636,0.004841098385169423,0.031067978329729767,0.0048881440006133025,143,22,5,5,shape_mae
all 143 ligands | k=3: SLOPE_L_s1_K3 vs OFFSET_K3,0.01253871544205869,0.001247436185113826,0.027779882328606047,0.003742313082145543,0.04183222689072392,0.005436304788640274,140,23,5,5,mae
all 143 ligands | k=3: SLOPE_L_s1_K3 vs OFFSET_K3,0.010607827112172043,0.0018890885706706793,0.02110460884110763,0.003876227594725841,0.030693707551960735,0.004594469529747018,140,22,5,5,shape_mae
all 143 ligands | k=5: SLOPE_L_s1_K3 vs OFFSET_K3,0.013224310379241587,0.001925685459951315,0.028112784806634806,0.004545963813536163,0.0406179954574673,0.008634680292155614,99,21,5,5,mae
all 143 ligands | k=5: SLOPE_L_s1_K3 vs OFFSET_K3,0.0126796468688559,0.003105642921958845,0.02696347239357222,0.0053169352046543855,0.03841102848304695,0.009047314881729497,99,20,5,5,shape_mae
the 26 with an extractant titration | zero-shot: SLOPE_L_s1 vs ZERO_SHOT,0.03745468085258022,0.019157202073928473,0.057266989887984246,0.018302968418862836,0.056789190493077166,0.037161674489061235,26,18,5,5,mae
the 26 with an extractant titration | zero-shot: SLOPE_L_s1 vs ZERO_SHOT,0.07087579312843076,0.041488368288054356,0.11084541076894866,0.04197253647435577,0.11130067278405441,0.06544042934131632,26,23,5,5,shape_mae
the 26 with an extractant titration | k=1: SLOPE_L_s1_K1 vs OFFSET_K1,0.08599314055221624,0.018917611600593864,0.1253356235716636,0.04270812856216297,0.13397597667024838,0.05717105469614841,26,24,5,5,mae
the 26 with an extractant titration | k=1: SLOPE_L_s1_K1 vs OFFSET_K1,0.07087579312843074,0.041488368288054356,0.11084541076894867,0.04187455685442443,0.11122686614197608,0.0654404293413163,26,23,5,5,shape_mae
the 26 with an extractant titration | k=2: SLOPE_L_s1_K3 vs OFFSET_K3,0.07387063918358204,0.03159718446281226,0.1377781232200951,0.032237456949020714,0.13824101383065307,0.064657228820434,26,22,5,5,mae
the 26 with an extractant titration | k=2: SLOPE_L_s1_K3 vs OFFSET_K3,0.06256332951738239,0.0361038546898034,0.10212238239020784,0.03576783831606632,0.10192548968703014,0.059012508139072155,26,22,5,5,shape_mae
the 26 with an extractant titration | k=3: SLOPE_L_s1_K3 vs OFFSET_K3,0.06751616007262373,0.02185271642401662,0.13080136278230955,0.025392543605017713,0.1322950971072269,0.05562882716791309,26,23,5,5,mae
the 26 with an extractant titration | k=3: SLOPE_L_s1_K3 vs OFFSET_K3,0.05711906906554176,0.03126662870080002,0.09691185102947592,0.03148049508678453,0.09737705807395564,0.052013212588969585,26,22,5,5,shape_mae
the 26 with an extractant titration | k=5: SLOPE_L_s1_K3 vs OFFSET_K3,0.05455028031437154,0.020131910688689136,0.1146818039876109,0.02022108344192851,0.11490536991717018,0.04978780619095021,24,21,5,5,mae
the 26 with an extractant titration | k=5: SLOPE_L_s1_K3 vs OFFSET_K3,0.05230354333403059,0.02661586615455695,0.10922865422565688,0.025277685034408186,0.10629401907028761,0.054840231920624156,24,20,5,5,shape_mae
