comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds,statistic
k=1: SLOPE_RESTORE_s025 vs OFFSET_K1,-0.2979000389916597,-0.43555494243836795,-0.17875255388904712,-0.4509574143686715,-0.19155332182615914,-0.30782411109262525,143,52,0,1,mae
k=1: SLOPE_RESTORE_s025_K1 vs OFFSET_K1,-0.019136230554404925,-0.06059949029868644,0.01731725514465861,-0.06309886180292726,0.014763188368389368,-0.0262823836949264,143,71,0,1,mae
k=1: SLOPE_RESTORE_s025_K3 vs OFFSET_K1,-0.01913623055440493,-0.06059949029868644,0.01731725514465862,-0.06309886180292726,0.014763188368389368,-0.026282383694926397,143,71,0,1,mae
k=1: SLOPE_RESTORE_s05 vs OFFSET_K1,-0.32900352689880585,-0.478808968097793,-0.20754635372896743,-0.49388790901221885,-0.21497960659628482,-0.3471607140073204,143,45,0,1,mae
k=1: SLOPE_RESTORE_s05_K1 vs OFFSET_K1,-0.06956867865714383,-0.16056758862276374,-0.0016257134511885555,-0.16569321685999855,-0.0038628384009117395,-0.1020564457602125,143,65,0,1,mae
k=1: SLOPE_RESTORE_s05_K3 vs OFFSET_K1,-0.06956867865714383,-0.16056758862276374,-0.0016257134511885546,-0.16569321685999852,-0.003862838400911736,-0.1020564457602125,143,65,0,1,mae
k=1: SLOPE_RESTORE_s1 vs OFFSET_K1,-0.421876656268994,-0.607928858986078,-0.28309571454442045,-0.6132201656345959,-0.2871732277726685,-0.47253172162799273,143,39,0,1,mae
k=1: SLOPE_RESTORE_s1_K1 vs OFFSET_K1,-0.22506695073705188,-0.4356507198486672,-0.08580354501504141,-0.4292795789438528,-0.08269913261182624,-0.32026634703238077,143,53,0,1,mae
k=1: SLOPE_RESTORE_s1_K3 vs OFFSET_K1,-0.22506695073705188,-0.4356507198486673,-0.08580354501504141,-0.4292795789438528,-0.08269913261182679,-0.32026634703238077,143,53,0,1,mae
k=1: SLOPE_RESTORE_s025 vs OFFSET_K1,-0.007530974308664494,-0.036812824767508565,0.015173508481861017,-0.03909652238952309,0.01384750993396727,-0.01618811320958076,143,73,0,1,shape_mae
k=1: SLOPE_RESTORE_s025_K1 vs OFFSET_K1,-0.007530974308664493,-0.03681282476750855,0.015173508481861013,-0.039096522389523075,0.013847509933967266,-0.016188113209580753,143,72,0,1,shape_mae
k=1: SLOPE_RESTORE_s025_K3 vs OFFSET_K1,-0.00753097430866449,-0.03681282476750855,0.015173508481861013,-0.039096522389523075,0.013847509933967269,-0.01618811320958075,143,72,0,1,shape_mae
k=1: SLOPE_RESTORE_s05 vs OFFSET_K1,-0.046258958807541495,-0.1120736077908583,-0.0012757764305160629,-0.1117942749972656,-0.001103749297203637,-0.07810739131299756,143,66,0,1,shape_mae
k=1: SLOPE_RESTORE_s05_K1 vs OFFSET_K1,-0.046258958807541474,-0.11207360779085829,-0.0012757764305160629,-0.11179427499726559,-0.0011037492972036378,-0.07810739131299756,143,65,0,1,shape_mae
k=1: SLOPE_RESTORE_s05_K3 vs OFFSET_K1,-0.046258958807541474,-0.11207360779085829,-0.0012757764305160596,-0.1117942749972656,-0.0011037492972036352,-0.07810739131299756,143,65,0,1,shape_mae
k=1: SLOPE_RESTORE_s1 vs OFFSET_K1,-0.15984510546275899,-0.31254729741880805,-0.059560663540336165,-0.30275186431812245,-0.05410391369861349,-0.24313480586170697,143,55,0,1,shape_mae
k=1: SLOPE_RESTORE_s1_K1 vs OFFSET_K1,-0.15984510546275896,-0.31254729741880805,-0.05956066354033615,-0.30275186431812245,-0.05410391369861348,-0.24313480586170697,143,54,0,1,shape_mae
k=1: SLOPE_RESTORE_s1_K3 vs OFFSET_K1,-0.15984510546275896,-0.31254729741880805,-0.05956066354033615,-0.30275186431812245,-0.054103913698613476,-0.24313480586170697,143,54,0,1,shape_mae
k=2: SLOPE_RESTORE_s025 vs OFFSET_K1,-0.3715278593350853,-0.4997724329782319,-0.25308634921189055,-0.5151086087533318,-0.266734083388825,-0.3661631481249719,143,39,0,1,mae
k=2: SLOPE_RESTORE_s025_K1 vs OFFSET_K1,-0.022413925648618056,-0.06169210621972654,0.013116193268199825,-0.064929784658448,0.009559540367212934,-0.03025481090613756,143,68,0,1,mae
k=2: SLOPE_RESTORE_s025_K3 vs OFFSET_K1,0.020112012829114456,-0.020228494549731375,0.050377594579284514,-0.023179927884728977,0.048484268619737904,0.009381111561457477,143,85,1,1,mae
k=2: SLOPE_RESTORE_s05 vs OFFSET_K1,-0.40263134724223154,-0.5417636880030205,-0.28022535325097936,-0.5630542091859575,-0.2941888683264384,-0.40549975103966707,143,35,0,1,mae
k=2: SLOPE_RESTORE_s05_K1 vs OFFSET_K1,-0.07649386537729091,-0.1658374285212635,-0.012525309189856665,-0.17177007393592755,-0.015416187207707824,-0.11579617283069821,143,61,0,1,mae
k=2: SLOPE_RESTORE_s05_K3 vs OFFSET_K1,-0.026322536219887664,-0.1122696809184754,0.03215239113151055,-0.1143832770712918,0.03099743657812663,-0.06300471874740426,143,78,0,1,mae
k=2: SLOPE_RESTORE_s1 vs OFFSET_K1,-0.49550447661241953,-0.6726916662214093,-0.3629840490477282,-0.6817425342067293,-0.3693430415201678,-0.5308707586603395,143,33,0,1,mae
k=2: SLOPE_RESTORE_s1_K1 vs OFFSET_K1,-0.23016490537659876,-0.4347856397363259,-0.0962232843465914,-0.43154931451042844,-0.0924987939596675,-0.3364809110662026,143,50,0,1,mae
k=2: SLOPE_RESTORE_s1_K3 vs OFFSET_K1,-0.15995736751597844,-0.3460825123682659,-0.03845313649389383,-0.34008598407208307,-0.03293726870217765,-0.2543364908020467,143,62,0,1,mae
