adapter,policy,k,mae,n_ligands,offset,shape_mae,spearman
SLOPE_LH_s05_K3,RANDOM,5,0.4973135267731227,99,0.26583898544475887,0.4379347270664914,0.5749577072012628
SLOPE_L_s1_K3,RANDOM,5,0.5003371656243039,99,0.2648291742633648,0.4396219712473682,0.5743228899631206
SLOPE_L_s05_K3,RANDOM,5,0.5024427669634284,99,0.26570831151149205,0.4417931956207164,0.5718007042006636
SLOPE_LH_s1_K3,RANDOM,5,0.5099800600060952,99,0.27490706795315584,0.4482806150827087,0.5759001927219085
SLOPE_LHM_s05_K3,RANDOM,5,0.5115676583827241,99,0.2731868911114537,0.4492121086964124,0.5286081472036068
OFFSET_K3,RANDOM,5,0.5135614760035455,99,0.2697735834399575,0.4523016181162241,0.5524195773012139
SLOPE_L_s1_K3,RANDOM,3,0.5282837246440052,140,0.33729223756297994,0.4162920805941846,0.566006020362453
SLOPE_L_s05_K3,RANDOM,3,0.5305679496327286,140,0.33799143239253077,0.41781496109879096,0.5644469322197464
OFFSET_K3,RANDOM,3,0.540822440086064,140,0.3429811264231121,0.4268999077063566,0.5477371142791753
SLOPE_L_s1_K3,MEDOID,5,0.5486134574695245,99,0.3045648523550602,0.48362382450637814,0.5019459418194911
SLOPE_LH_s05_K3,MEDOID,5,0.5494200827880922,99,0.3136462212537217,0.48290215940741904,0.5081627738226088
SLOPE_LHM_s1_K3,RANDOM,5,0.5512524298751902,99,0.29680958779184535,0.4811633625684978,0.4640948022116135
SLOPE_L_s05_K3,MEDOID,5,0.5528679024337136,99,0.3094088010704488,0.48690200003619655,0.4982406998526733
SLOPE_L_s1_K3,MEDOID,3,0.5561571262515024,140,0.362840508809319,0.44568458786456494,0.5141309673508908
SLOPE_L_s05_K3,MEDOID,3,0.5599473293345122,140,0.36530686184973354,0.4480863172146765,0.5121018497090355
NEAREST_OBSERVED,RANDOM,5,0.5619447134754055,99,0.2970544977192973,0.522854361445384,0.5389504351660062
OFFSET_K2,RANDOM,5,0.5652111413858665,99,0.2883796972852202,0.4929106952925618,0.5199931605645963
OFFSET_K3,MEDOID,5,0.5664847580064398,99,0.3181680069845016,0.49921918125811776,0.47468826937618686
SLOPE_LH_s1_K3,MEDOID,5,0.5672033817949188,99,0.32802109319030504,0.49904030323464693,0.5155471537123437
SLOPE_LHM_s05_K3,MEDOID,5,0.5686747292722689,99,0.32312411023045773,0.49751711750663097,0.4488859673520892
SLOPE_LH_s05_K3,RANDOM,3,0.5712353457499595,140,0.3713611726871142,0.4424709130582989,0.5011001605452992
OFFSET_K3,MEDOID,3,0.5726333716459436,140,0.3735448551415147,0.4582271637342992,0.49211859880710573
OFFSET_K2,MEDOID,5,0.5831146283380099,99,0.32641586297108066,0.5105686109451218,0.4768871473448656
SLOPE_L_s1_K3,RANDOM,2,0.5849200525059425,143,0.4122034914120736,0.4311824729097398,0.5149447522989623
