model,curve_type,n_curves,n_ligands,slope_true_median,slope_pred_median,slope_mae,slope_pearson,slope_spearman,slope_sign_agree,y_span_true_median,y_span_pred_median,span_ratio_median,linear_r2_true_median,linear_r2_pred_median,curvature_pearson,curvature_sign_agree,n_curvature,slope_mae_median_null
NULL_metal_cond,acid,2105,68,1.6557758087863772,0.4060643141438965,1.4941176878054818,0.23618306771251815,0.10593346832518327,0.7619952494061758,1.9269282814614344,0.6275647980123191,0.32287742129560615,0.917337219586492,0.7873767575708572,0.10077187473124934,0.5377672209026129,2105,1.047681672508679
NULL_metal_cond,contact_time,40,8,0.00014296899524398737,4.9546938047827826e-05,0.0025325222205856935,-0.003932810554255234,0.0023635708877695885,0.5,0.06287846248431395,0.01895111680164735,0.2662980157989192,0.1646628381999693,0.7064985927760911,-0.07084288324976193,0.525,40,0.0016831216850647646
NULL_metal_cond,extractant,775,25,2.573675226299942,0.1393774134078565,2.4074909833063827,-0.1973961033680196,-0.28107540803944414,0.7316129032258064,2.073913043478258,0.1600851307215303,0.08808610943252354,0.9940258395786431,0.7237317217398871,0.06515031996469935,0.4593548387096774,775,0.7428950459491453
NULL_metal_cond,metal_concentration,45,4,-1.1226193871745382,0.018465054040083775,0.8627608976138864,-0.00283318555139956,-0.013916748518532019,0.3111111111111111,0.72923076923077,0.022428025135972085,0.02533595899298644,0.7515429813530872,0.7418121534399895,0.038247892022435157,0.5111111111111111,45,0.6851102183169577
NULL_metal_cond,metal_series,1605,84,0.08443469855079262,0.04540440293648405,0.1002140563276174,0.2566517917469684,0.2555927096864883,0.7576323987538941,1.0261096605744122,0.6809218806339874,0.634190797699262,0.8742223263723046,0.8063992434701721,0.09414055909470237,0.6809968847352025,1605,0.09224350501774514
NULL_metal_cond,temperature,160,5,-0.04032650561688559,-9.073100578220113e-05,0.041633267894785816,-0.2002061658808244,-0.2902687629195512,0.575,1.1765941508309075,0.19149216360081528,0.14814047717446482,0.9893613987029377,0.5682282726158936,-0.06383855650830114,0.53125,160,0.009655720345671633
REC_ecfp_plus_recovered,acid,2105,68,1.6557758087863772,0.35523643585793424,1.5666908751005,0.1707553611246137,0.1921868178613629,0.8285035629453682,1.9269282814614344,0.4422492695042016,0.21836566880181502,0.917337219586492,0.9466729428165759,0.032604239333382135,0.5486935866983373,2105,1.047681672508679
REC_ecfp_plus_recovered,contact_time,40,8,0.00014296899524398737,4.0960977073687636e-17,0.001763495257770173,0.27911845900163434,0.3053160546350179,0.775,0.06287846248431395,0.005289278461911203,0.04974910506496452,0.1646628381999693,0.7365265996871002,0.00023551795100489742,0.6,40,0.0016831216850647646
REC_ecfp_plus_recovered,extractant,775,25,2.573675226299942,0.11642844967037344,2.432927218700885,-0.054729471527538265,-0.23011720801146485,0.8503225806451613,2.073913043478258,0.10891940530238078,0.050717658529375556,0.9940258395786431,0.8202931537191764,0.016770701895590587,0.49290322580645163,775,0.7428950459491453
REC_ecfp_plus_recovered,metal_concentration,45,4,-1.1226193871745382,-2.6298638788314296e-16,0.8480255286498475,0.05956690546291538,-0.02385728317462632,0.5555555555555556,0.72923076923077,0.006240692287574005,0.011044509819555274,0.7515429813530872,0.6059693021026406,-0.19142439268934813,0.35555555555555557,45,0.6851102183169577
