adapter,policy,k,mae,n_ligands,offset,shape_mae,spearman
SLOPE_L_s1_K3,RANDOM,5,0.4826385641576042,99,0.25057980615542097,0.42440471765935167,0.5774313564865546
SLOPE_LH_s05_K3,RANDOM,5,0.48306743443796574,99,0.25072194032704403,0.423455233856615,0.5770768366037593
SLOPE_L_s05_K3,RANDOM,5,0.4875056003648576,99,0.2531590450570678,0.4289677514776988,0.5715966654305222
SLOPE_LH_s1_K3,RANDOM,5,0.49056223576879004,99,0.2559591588865559,0.4302208608778939,0.589751336456634
SLOPE_LHM_s05_K3,RANDOM,5,0.49391832141437947,99,0.25601964643202263,0.4329917248414282,0.5269627990000864
OFFSET_K3,RANDOM,5,0.4996037936997476,99,0.2591489806107408,0.43863917912126293,0.5439135821453681
SLOPE_L_s1_K3,RANDOM,3,0.5127179666588697,140,0.3235975454697475,0.3995510244433931,0.5878877943160077
SLOPE_L_s05_K3,RANDOM,3,0.5168684489038077,140,0.32531297683580196,0.4035896342203381,0.5798089701715636
SLOPE_LHM_s1_K3,RANDOM,5,0.521188670926809,99,0.27113861633576836,0.45623643159938454,0.4663257730989429
OFFSET_K3,RANDOM,3,0.5279685500958896,140,0.33268944015775564,0.4125888760936352,0.5557338407691268
SLOPE_L_s1_K3,MEDOID,5,0.5390079774001807,99,0.3042359997611483,0.46704116325076545,0.5275421707104986
OFFSET_K2,RANDOM,5,0.5403858893207926,99,0.27456297698006443,0.47304894068410536,0.5346899650954002
SLOPE_LH_s05_K3,MEDOID,5,0.5437895099532275,99,0.31949394078480037,0.46947892978067246,0.533508065676581
SLOPE_L_s05_K3,MEDOID,5,0.5455738299958123,99,0.30879033838374514,0.47291136177633813,0.5204043815353706
SLOPE_L_s1_K3,MEDOID,3,0.5509657011233134,140,0.35756612283078615,0.4293476479954226,0.5224124447902501
SLOPE_LH_s05_K3,RANDOM,3,0.5541158160652454,140,0.3518561329855587,0.42770402677623565,0.5063501921146313
SLOPE_L_s05_K3,MEDOID,3,0.5555736542729632,140,0.3573141674436,0.4334496593505658,0.520163657688957
NEAREST_OBSERVED,RANDOM,5,0.5576166508233475,99,0.2956623141775935,0.5195338486840244,0.5305894947190846
SLOPE_LH_s1_K3,MEDOID,5,0.5586572516765412,99,0.3393786836003012,0.4816016572520061,0.5437876496250429
OFFSET_K3,MEDOID,5,0.5591557039515213,99,0.31716655469336275,0.48473071078525737,0.49001142244740314
SLOPE_LHM_s05_K3,MEDOID,5,0.5606867524239709,99,0.3268391431741662,0.4840749466192008,0.46017190012201586
SLOPE_L_s1_K3,RANDOM,2,0.5631690705062755,143,0.3973424668171451,0.4143782565185325,0.5545453225911142
OFFSET_K3,MEDOID,3,0.5667423251172553,140,0.36552087777494346,0.442875536886637,0.4977579058125536
SLOPE_L_s05_K3,RANDOM,2,0.567260973863817,143,0.39720260895871384,0.4186806566472662,0.5470791728060852
OFFSET_K2,RANDOM,3,0.5678398407273413,140,0.3538914110206087,0.4400117180532715,0.5253235992030102
SLOPE_LHM_s05_K3,RANDOM,3,0.5720151086991934,140,0.3628570819090168,0.4410038133693748,0.4415924936966052
OFFSET_K2,MEDOID,5,0.5724922754889973,99,0.32327408445045186,0.4929369510186713,0.5129063193014414
OFFSET_K3,RANDOM,2,0.5791718836803109,143,0.4059930867300009,0.4281510766437772,0.5265624829650308
SLOPE_L_s1_K1,MEDOID,3,0.583081318261362,140,0.3736581022243266,0.45394150759939833,0.4828874704300526
SLOPE_L_s05_K1,MEDOID,3,0.5875145746756293,140,0.37273451534559776,0.4582952480177047,0.4796032562847942
OFFSET_K2,MEDOID,3,0.5885247614543332,140,0.3759238718861965,0.45922087965718716,0.4769115985161699
SLOPE_L_s1_K1,RANDOM,3,0.5885551561891254,140,0.362650362878014,0.45394150759939833,0.4828874704300526
SLOPE_L_s05_K1,RANDOM,3,0.5922025018886917,140,0.36251339782453507,0.4582952480177047,0.4796032562847942
SLOPE_L_s1_K1,RANDOM,5,0.5930556516127559,99,0.30918808287430427,0.5085245390563127,0.45145759819543735
SLOPE_LH_s05_K1,RANDOM,5,0.594157106390724,99,0.30953771374679606,0.5081356715110052,0.46684194152731967
SLOPE_L_s1_K3,MEDOID,2,0.5964727623176665,143,0.41333448245312726,0.44207694668757946,0.4824188512392731
SLOPE_L_s05_K1,RANDOM,5,0.5965856729305273,99,0.30753518946804054,0.5131215592768156,0.4487928407984419
SLOPE_LH_s05_K3,MEDOID,3,0.5968278163351494,140,0.38749120086494715,0.4608722188693232,0.45136584892797627
NEAREST_OBSERVED,RANDOM,3,0.5978689266559577,140,0.3800383014955028,0.5012623944146607,0.4663690849561925
SLOPE_L_s05_K3,MEDOID,2,0.5989019955685001,143,0.4124851285964168,0.44622423531246,0.4813114040168462
OFFSET_K1,MEDOID,3,0.5992186278992745,140,0.3809552403298633,0.4685410805675703,0.4603662107366021
SLOPE_L_s1_K1,MEDOID,5,0.6011611987597999,99,0.3424513466697145,0.5085245390563127,0.45145759819543735
SLOPE_L_s1_K1,MEDOID,2,0.6031757831014474,143,0.4170018614002508,0.4465030439765262,0.4828874704300526
SLOPE_LH_s05_K1,MEDOID,5,0.6033120455830258,99,0.35389392648051854,0.5081356715110052,0.46684194152731967
OFFSET_K2,RANDOM,2,0.6042584745295537,143,0.4147796783290596,0.4437228511692081,0.5080206117404206
OFFSET_K1,RANDOM,3,0.6044222790865259,140,0.3704413309116881,0.4685410805675703,0.4603662107366021
