adapter,policy,k,mae,n_ligands,offset,shape_mae,spearman
SLOPE_L_s1_K3,D_OPTIMAL,5,0.47429956979762583,99,0.2494564134178524,0.41437580664192636,0.6092889045336018
SLOPE_L_s1_K3,MAX_PREDICTIVE_VARIANCE,5,0.47643389623593774,99,0.2404206455589652,0.41876943087284346,0.6010360344714416
SLOPE_L_s1_K3,CENTRAL_THEN_SPREAD,5,0.4772405328678428,99,0.24426169074173684,0.42114374605087385,0.5990071648275517
SLOPE_L_s1_K3,MAX_EXPECTED_VARIANCE_REDUCTION,5,0.4790283858124709,99,0.2363149589483803,0.4259578642323543,0.5902107449078426
SLOPE_LH_s1_K3,D_OPTIMAL,5,0.48441790802715023,99,0.25757869838949987,0.42372273735898497,0.6055322655078844
OFFSET_K3,D_OPTIMAL,5,0.4865291963234963,99,0.2522465118404728,0.424963728925115,0.5891401758513091
SLOPE_LH_s1_K3,CENTRAL_THEN_SPREAD,5,0.48728540184170466,99,0.2548532197327251,0.42985051106624006,0.598555745716288
SLOPE_LH_s1_K3,MAX_EXPECTED_VARIANCE_REDUCTION,5,0.4876015008251924,99,0.2477401013864252,0.4342085945327225,0.588317774498391
SLOPE_LH_s1_K3,MAX_PREDICTIVE_VARIANCE,5,0.48805171798481994,99,0.2527715512012912,0.4271127558582486,0.5980312475423524
OFFSET_K3,MAX_PREDICTIVE_VARIANCE,5,0.48877616135682317,99,0.24317822771571265,0.4298115124138525,0.5816531457528925
SLOPE_L_s1_K3,CENTRAL_THEN_SPREAD,3,0.4890707223289524,140,0.2946511652586222,0.39421422479686374,0.6156297955570433
SLOPE_L_s1_K3,MAX_PREDICTIVE_VARIANCE,3,0.48981662223980604,140,0.2960173524699926,0.3942017248539375,0.6076977192931239
SLOPE_L_s1_K3,MAX_EXPECTED_VARIANCE_REDUCTION,3,0.490043213710595,140,0.28337337054261713,0.40230425636220557,0.5978221976680714
OFFSET_K3,CENTRAL_THEN_SPREAD,5,0.4903840661580898,99,0.24884681520773347,0.4325033797351577,0.5805058646757515
OFFSET_K3,MAX_EXPECTED_VARIANCE_REDUCTION,5,0.492707129923458,99,0.23844451403025946,0.4388578530657012,0.5679389739183971
SLOPE_L_s1_K3,RANDOM,5,0.5003371656243039,99,0.2648291742633648,0.4396219712473682,0.5743228899631206
SLOPE_L_s1_K3,D_OPTIMAL,3,0.5009550510792931,140,0.3256400184867932,0.38788234626664114,0.6163938654828953
OFFSET_K3,MAX_EXPECTED_VARIANCE_REDUCTION,3,0.5019327537456796,140,0.2853456146966032,0.41380344755806586,0.5740706000528706
OFFSET_K3,CENTRAL_THEN_SPREAD,3,0.501936814710037,140,0.2985894443303491,0.4054488071118299,0.5943679782315427
OFFSET_K3,MAX_PREDICTIVE_VARIANCE,3,0.5047260484275106,140,0.3039160965056251,0.4050933584915139,0.5889120726355421
SLOPE_LH_s1_K3,RANDOM,5,0.5099800600060952,99,0.27490706795315584,0.4482806150827087,0.5759001927219085
